id	token	Настя	Денис	Лена	tag
0	Создание	O	O	O	O
1	системы	B-TERM	B-TERM	B-TERM	O
2	автоматического	I-TERM	I-TERM	I-TERM	O
3	реферирования	I-TERM	I-TERM	I-TERM	O
4	научных	I-TERM	I-TERM	I-TERM	O
5	текстов	I-TERM	I-TERM	I-TERM	O
6	Описан	O	O	O	O
7	новый	O	O	O	O
8	метод	B-TERM	B-TERM	B-TERM	O
9	автоматического	I-TERM	I-TERM	I-TERM	O
10	реферирования	I-TERM	I-TERM	I-TERM	O
11	текстов	I-TERM	I-TERM	I-TERM	O
12	.	O	O	O	O
13	На	O	O	O	O
14	основе	O	O	O	O
15	предложенного	O	O	O	O
16	метода	B-TERM	B-TERM	B-TERM	O
17	создана	O	O	O	O
18	система	B-TERM	B-TERM	B-TERM	O
19	,	O	O	O	O
20	позволяющая	O	O	O	O
21	получать	O	O	O	O
22	краткие	B-TERM	O	O	O
23	аннотации	I-TERM	B-TERM	B-TERM	O
24	научно	I-TERM	I-TERM	I-TERM	O
25	-	I-TERM	I-TERM	I-TERM	O
26	технических	I-TERM	I-TERM	I-TERM	O
27	текстов	I-TERM	I-TERM	I-TERM	O
28	и	O	O	O	O
29	определять	O	O	O	O
30	их	O	O	O	O
31	темы	B-TERM	B-TERM	B-TERM	O
32	.	O	O	O	O
33	Процесс	B-TERM	B-TERM	B-TERM	O
34	реферирования	I-TERM	I-TERM	I-TERM	O
35	состоит	O	O	O	O
36	из	O	O	O	O
37	пяти	O	O	O	O
38	основных	O	O	O	O
39	шагов	B-TERM	O	O	O
40	:	O	O	O	O
41	предобработка	B-TERM	B-TERM	B-TERM	O
42	,	O	O	O	O
43	риторический	B-TERM	B-TERM	B-TERM	O
44	анализ	I-TERM	I-TERM	I-TERM	O
45	и	O	O	O	O
46	преобразование	B-TERM	B-TERM	B-TERM	O
47	текста	I-TERM	I-TERM	I-TERM	O
48	,	O	O	O	O
49	оценка	B-TERM	B-TERM	B-TERM	O
50	весов	I-TERM	I-TERM	I-TERM	O
51	,	O	O	O	O
52	выбор	B-TERM	B-TERM	B-TERM	O
53	предложений	I-TERM	I-TERM	I-TERM	O
54	и	O	O	O	O
55	сглаживание	B-TERM	B-TERM	B-TERM	O
56	.	O	O	O	O
57	Предлагаемый	O	O	O	O
58	метод	B-TERM	B-TERM	B-TERM	O
59	формирует	O	O	O	O
60	аннотацию	B-TERM	B-TERM	B-TERM	O
61	на	O	O	O	O
62	основе	O	O	O	O
63	наиболее	B-TERM	O	O	O
64	значимых	I-TERM	O	O	O
65	предложений	I-TERM	B-TERM	B-TERM	O
66	исходного	O	O	O	O
67	документа	O	B-TERM	B-TERM	O
68	.	O	O	O	O
69	Значимость	B-TERM	B-TERM	B-TERM	O
70	предложений	I-TERM	I-TERM	I-TERM	O
71	частично	O	O	O	O
72	определяется	O	O	O	O
73	в	O	O	O	O
74	процессе	O	B-TERM	O	O
75	риторического	B-TERM	I-TERM	B-TERM	O
76	анализа	I-TERM	I-TERM	I-TERM	O
77	,	O	O	O	O
78	который	O	O	O	O
79	выполняется	O	O	O	O
80	с	O	O	O	O
81	помощью	O	O	O	O
82	дискурсивных	B-TERM	B-TERM	B-TERM	O
83	маркеров	I-TERM	I-TERM	I-TERM	O
84	и	O	O	O	O
85	коннекторов	B-TERM	B-TERM	B-TERM	O
86	.	O	O	O	O
87	Также	O	O	O	O
88	учитываются	O	O	O	O
89	ключевые	B-TERM	B-TERM	B-TERM	O
90	слова	I-TERM	I-TERM	I-TERM	O
91	,	O	O	O	O
92	многословные	B-TERM	B-TERM	B-TERM	O
93	термины	I-TERM	I-TERM	I-TERM	O
94	и	O	O	O	O
95	некоторые	O	O	O	O
96	специальные	B-TERM	B-TERM	B-TERM	O
97	слова	I-TERM	I-TERM	I-TERM	O
98	,	O	O	O	O
99	которые	O	O	O	O
100	часто	O	O	O	O
101	встречаются	O	O	O	O
102	в	O	O	O	O
103	научно	B-TERM	B-TERM	B-TERM	O
104	-	I-TERM	I-TERM	I-TERM	O
105	технических	I-TERM	I-TERM	I-TERM	O
106	текстах	I-TERM	I-TERM	I-TERM	O
107	.	O	O	O	O
108	Для	O	O	O	O
109	извлечения	O	O	O	O
110	ключевых	B-TERM	B-TERM	B-TERM	O
111	слов	I-TERM	I-TERM	I-TERM	O
112	и	O	O	O	O
113	определения	O	O	O	O
114	тем	I-TERM	B-TERM	B-TERM	O
115	текста	I-TERM	I-TERM	I-TERM	O
116	применялась	O	O	O	O
117	аддитивная	B-TERM	B-TERM	B-TERM	O
118	регуляризация	I-TERM	I-TERM	I-TERM	O
119	тематических	I-TERM	I-TERM	I-TERM	O
120	моделей	I-TERM	I-TERM	I-TERM	O
121	.	O	O	O	O
