id	token	Настя	Денис	Лена	tag	tag
0	Математическое	B-TERM	B-TERM	O	O	O
1	обоснование	I-TERM	I-TERM	O	O	O
2	нового	I-TERM	O	O	O	O
3	электромагнитного	I-TERM	B-TERM	B-TERM	O	O
4	зонда	I-TERM	I-TERM	I-TERM	O	O
5	с	I-TERM	O	O	O	O
6	тороидальными	I-TERM	B-TERM	B-TERM	O	O
7	катушками	I-TERM	I-TERM	I-TERM	O	O
8	для	O	O	O	O	O
9	высокоразрешающего	B-TERM	B-TERM	B-TERM	O	O
10	каротажа	I-TERM	I-TERM	I-TERM	O	O
11	нефтегазовых	I-TERM	I-TERM	I-TERM	O	O
12	скважин	I-TERM	I-TERM	I-TERM	O	O
13	Представленная	O	O	O	O	O
14	работа	O	O	O	O	O
15	посвящена	O	O	O	O	O
16	обоснованию	O	B-TERM	O	O	O
17	нового	O	O	O	O	O
18	электромагнитного	B-TERM	B-TERM	B-TERM	O	O
19	зонда	I-TERM	I-TERM	I-TERM	O	O
20	для	O	O	O	O	O
21	каротажа	B-TERM	B-TERM	B-TERM	O	O
22	нефтегазовых	I-TERM	I-TERM	I-TERM	O	O
23	скважин	I-TERM	I-TERM	I-TERM	O	O
24	на	O	O	O	O	O
25	основе	O	O	O	O	O
26	компьютерного	B-TERM	B-TERM	B-TERM	B-TERM	B-TERM
27	моделирования	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
28	.	O	O	O	O	O
29	Получено	O	O	O	O	O
30	решение	O	O	O	O	O
31	прямой	O	O	B-TERM	O	O
32	задачи	O	O	I-TERM	O	O
33	электромагнитного	B-TERM	B-TERM	B-TERM	O	O
34	каротажа	I-TERM	I-TERM	I-TERM	O	O
35	для	I-TERM	O	O	O	O
36	тороидального	I-TERM	B-TERM	B-TERM	O	O
37	источника	I-TERM	I-TERM	I-TERM	O	O
38	в	O	O	O	O	O
39	цилиндрически	B-TERM	B-TERM	B-TERM	O	O
40	-	I-TERM	I-TERM	I-TERM	O	O
41	слоистой	I-TERM	I-TERM	I-TERM	O	O
42	геоэлектрической	I-TERM	I-TERM	I-TERM	O	O
43	модели	I-TERM	I-TERM	I-TERM	O	O
44	.	O	O	O	O	O
45	Разработаны	O	O	O	O	O
46	комплексы	O	O	O	O	O
47	алгоритмов	B-TERM	B-TERM	B-TERM	O	O
48	и	O	O	O	O	O
49	компьютерных	B-TERM	B-TERM	B-TERM	O	O
50	программ	I-TERM	I-TERM	I-TERM	O	O
51	для	O	O	O	O	O
52	анализа	B-TERM	B-TERM	B-TERM	O	O
53	сигналов	I-TERM	I-TERM	I-TERM	O	O
54	электромагнитного	I-TERM	I-TERM	I-TERM	O	O
55	зонда	I-TERM	I-TERM	I-TERM	O	O
56	с	I-TERM	O	O	O	O
57	тороидальными	I-TERM	B-TERM	B-TERM	O	O
58	катушками	I-TERM	I-TERM	I-TERM	O	O
59	в	O	O	O	O	O
60	пространственно	B-TERM	B-TERM	B-TERM	O	O
61	неоднородных	I-TERM	I-TERM	I-TERM	O	O
62	анизотропных	I-TERM	I-TERM	I-TERM	O	O
63	средах	I-TERM	I-TERM	I-TERM	O	O
64	.	O	O	O	O	O
65	Путем	O	O	O	O	O
66	масштабного	B-TERM	O	O	O	O
67	компьютерного	I-TERM	B-TERM	B-TERM	B-TERM	B-TERM
68	моделирования	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
69	выполнено	O	O	O	O	O
70	обоснование	O	B-TERM	O	O	O
71	оптимальной	B-TERM	I-TERM	B-TERM	O	O
72	конфигурации	I-TERM	I-TERM	I-TERM	O	O
73	зондовой	I-TERM	I-TERM	I-TERM	O	O
74	системы	I-TERM	I-TERM	I-TERM	O	O
75	и	O	O	O	O	O
76	исследованы	O	O	O	O	O
77	ее	O	O	O	O	O
78	возможности	O	O	O	O	O
79	изучения	O	O	O	O	O
80	макроанизотропных	B-TERM	B-TERM	B-TERM	O	O
81	свойств	I-TERM	I-TERM	I-TERM	O	O
82	геологических	I-TERM	I-TERM	I-TERM	O	O
83	сред	I-TERM	I-TERM	I-TERM	O	O
84	.	O	O	O	O	O
