id	token	Денис	Настя	Лена		
0	Применение	O	O	O		
1	метода	B-TERM	B-TERM	B-TERM		
2	K	I-TERM	I-TERM	I-TERM		
3	-	I-TERM	I-TERM	I-TERM		
4	средних	I-TERM	I-TERM	I-TERM		
5	для	O	O	O		
6	идентификации	B-TERM	B-TERM	B-TERM		
7	пользователя	O	I-TERM	I-TERM		
8	по	O	O	O		
9	клавиатурному	B-TERM	B-TERM	B-TERM		
10	почерку	I-TERM	I-TERM	I-TERM		
11	В	O	O	O		
12	данной	O	O	O		
13	статье	O	O	O		
14	рассматривается	O	O	O		
15	проблема	O	O	O		
16	защиты	O	B-TERM	B-TERM		
17	от	O	I-TERM	I-TERM		
18	несанкционированного	B-TERM	I-TERM	I-TERM		
19	доступа	I-TERM	I-TERM	I-TERM		
20	к	O	I-TERM	O		
21	данным	B-TERM	I-TERM	B-TERM		
22	путем	O	O	O		
23	идентификации	B-TERM	B-TERM	B-TERM		
24	пользователей	I-TERM	I-TERM	I-TERM		
25	по	O	O	O		
26	биометрическим	B-TERM	B-TERM	B-TERM		
27	характеристикам	I-TERM	I-TERM	I-TERM		
28	,	O	O	O		
29	а	O	O	O		
30	именно	O	O	O		
31	,	O	O	O		
32	клавиатурному	B-TERM	B-TERM	B-TERM		
33	почерку	I-TERM	I-TERM	I-TERM		
34	.	O	O	O		
35	Для	O	O	O		
36	решения	O	O	O		
37	этой	O	O	O		
38	задачи	O	O	O		
39	авторами	O	O	O		
40	была	O	O	O		
41	проведена	O	O	O		
42	серия	O	O	O		
43	опытов	B-TERM	O	O		
44	для	O	O	O		
45	получения	O	O	O		
46	статистической	B-TERM	B-TERM	B-TERM	или	B-TERM
47	выборки	I-TERM	I-TERM	I-TERM		I-TERM
48	образцов	I-TERM	O	O		B-TERM
49	клавиатурного	I-TERM	B-TERM	B-TERM		I-TERM
50	почерка	I-TERM	I-TERM	I-TERM		I-TERM
51	,	O	O	O		
52	которые	O	O	O		
53	используются	O	O	O		
54	в	O	O	O		
55	качестве	O	O	O		
56	биометрической	B-TERM	B-TERM	B-TERM		
57	характеристики	I-TERM	I-TERM	I-TERM		
58	для	O	O	O		
59	установления	O	O	B-TERM		
60	личности	O	O	I-TERM		
61	ее	O	O	O		
62	владельца	O	O	O		
63	.	O	O	O		
64	Для	O	O	O		
65	анализа	B-TERM	B-TERM	B-TERM		
66	данных	I-TERM	I-TERM	I-TERM		
67	и	O	O	O		
68	определения	B-TERM	B-TERM	B-TERM		
69	автора	I-TERM	I-TERM	I-TERM		
70	конкретного	O	O	O		
71	образца	O	B-TERM	B-TERM		
72	почерка	O	I-TERM	I-TERM		
73	в	O	O	O		
74	работе	O	O	O		
75	рассматривается	O	O	O		
76	метод	B-TERM	B-TERM	B-TERM		
77	k	I-TERM	I-TERM	I-TERM		
78	-	I-TERM	I-TERM	I-TERM		
79	средних	I-TERM	I-TERM	I-TERM		
80	,	O	O	O		
81	являющийся	O	O	O		
82	одним	O	O	O		
83	из	O	O	O		
84	наиболее	O	O	O		
85	простых	O	O	O		
86	и	O	O	O		
87	эффективных	O	O	O		
88	статистических	B-TERM	O	B-TERM		
89	методов	I-TERM	B-TERM	I-TERM		
90	классификации	I-TERM	I-TERM	I-TERM		
91	в	O	O	O		
92	случае	O	O	O		
93	,	O	O	O		
94	когда	O	O	O		
95	число	O	O	O		
96	кластеров	B-TERM	B-TERM	B-TERM		
97	заранее	O	O	O		
98	известно	O	O	O		
99	.	O	O	O		
100	Оценка	B-TERM	O	O		
101	эффективности	I-TERM	O	O		
102	предложенного	O	O	O		
103	метода	B-TERM	B-TERM	B-TERM		
104	для	O	O	O		
105	решения	B-TERM	O	B-TERM		
106	поставленной	O	O	O		
107	задачи	B-TERM	O	B-TERM		
108	оценивается	O	O	O		
109	с	O	O	O		
110	помощью	O	O	O		
111	коэффициентов	B-TERM	B-TERM	B-TERM		
112	ложного	I-TERM	I-TERM	I-TERM		
113	доступа	I-TERM	O	I-TERM		
114	и	O	O	O		
115	ложного	O	B-TERM	B-TERM		
116	отказа	O	I-TERM	I-TERM		
117	в	O	I-TERM	I-TERM		
118	доступе	O	I-TERM	I-TERM		
119	,	O	O	O		
120	которые	O	O	O		
121	являются	O	O	O		
122	основными	O	O	O		
123	характеристиками	B-TERM	B-TERM	B-TERM		
124	биометрических	B-TERM	I-TERM	B-TERM		
125	систем	I-TERM	O	I-TERM		
126	аутентификации	I-TERM	O	I-TERM		
127	.	O	O	O		
128	Полученные	O	O	O		
129	результаты	O	O	O		
130	позволяют	O	O	O		
131	сделать	O	O	O		
132	вывод	B-TERM	O	O		
133	о	O	O	O		
134	наличии	O	O	O		
135	ряда	O	O	O		
136	ограничений	B-TERM	O	O		
137	при	O	O	O		
138	использовании	O	O	O		
139	данного	O	O	O		
140	метода	B-TERM	O	O		
141	,	O	O	O		
142	возникающих	O	O	O		
143	в	O	O	O		
144	силу	O	O	O		
145	того	O	O	O		
146	,	O	O	O		
147	что	O	O	O		
148	данная	O	O	O		
149	задача	B-TERM	O	O		
150	является	O	O	O		
151	слабоформализуемой	O	O	O		
152	,	O	O	O		
153	зависящей	O	O	O		
154	от	O	O	O		
155	множества	O	O	O		
156	факторов	B-TERM	O	O		
157	,	O	O	O		
158	в	O	O	O		
159	том	O	O	O		
160	числе	O	O	O		
161	и	O	O	O		
162	не	O	O	O		
163	поддающихся	O	O	O		
164	математическому	B-TERM	O	B-TERM		
165	описанию	I-TERM	O	I-TERM		
166	,	O	O	O		
167	таких	O	O	O		
168	как	O	O	O		
169	нестабильность	B-TERM	O	B-TERM		
170	клавиатурного	I-TERM	O	I-TERM		
171	почерка	I-TERM	O	I-TERM		
172	,	O	O	O		
