id	token	Настя	Денис	Лена	tag
0	Восстановление	B-TERM	B-TERM	O	O
1	трехмерной	I-TERM	I-TERM	O	O
2	геометрии	I-TERM	I-TERM	B-TERM	O
3	сосудов	I-TERM	I-TERM	I-TERM	O
4	по	O	O	O	O
5	данным	O	B-TERM	O	O
6	компьютерной	B-TERM	I-TERM	B-TERM	O
7	томографии	I-TERM	I-TERM	I-TERM	O
8	Рассматриваются	O	O	O	O
9	алгоритмы	B-TERM	B-TERM	B-TERM	O
10	построения	I-TERM	I-TERM	I-TERM	O
11	триангуляции	I-TERM	I-TERM	I-TERM	O
12	внутренней	I-TERM	I-TERM	I-TERM	O
13	поверхности	I-TERM	I-TERM	I-TERM	O
14	коронарных	I-TERM	I-TERM	I-TERM	O
15	артерий	I-TERM	I-TERM	I-TERM	O
16	сердца	I-TERM	I-TERM	I-TERM	O
17	по	O	O	O	O
18	данным	O	B-TERM	O	O
19	компьютерной	B-TERM	I-TERM	B-TERM	O
20	томографии	I-TERM	I-TERM	I-TERM	O
21	.	O	O	O	O
22	Точное	O	O	O	O
23	определение	O	O	O	O
24	геометрии	B-TERM	B-TERM	B-TERM	O
25	сосудов	I-TERM	I-TERM	I-TERM	O
26	необходимо	O	O	O	O
27	для	O	O	O	O
28	построения	O	O	O	O
29	гидродинамической	B-TERM	B-TERM	B-TERM	O
30	модели	I-TERM	I-TERM	I-TERM	O
31	кровоснабжения	I-TERM	I-TERM	I-TERM	O
32	сердца	I-TERM	I-TERM	I-TERM	O
33	и	O	O	O	O
34	расчета	B-TERM	B-TERM	O	O
35	параметров	I-TERM	I-TERM	B-TERM	O
36	кровотока	I-TERM	I-TERM	I-TERM	O
37	с	O	O	O	O
38	помощью	O	O	O	O
39	уравнений	B-TERM	B-TERM	B-TERM	O
40	Навье	I-TERM	I-TERM	I-TERM	O
41	–	I-TERM	I-TERM	I-TERM	O
42	Стокса	I-TERM	I-TERM	I-TERM	O
43	.	O	O	O	O
44	Для	O	O	O	O
45	восстановления	B-TERM	B-TERM	O	O
46	трехмерной	I-TERM	I-TERM	B-TERM	O
47	геометрии	I-TERM	I-TERM	I-TERM	O
48	применяется	O	O	O	O
49	комбинация	O	O	O	O
50	двух	O	O	O	O
51	основных	O	O	O	O
52	методов	B-TERM	B-TERM	B-TERM	O
53	:	O	O	O	O
54	трехмерного	B-TERM	B-TERM	B-TERM	O
55	алгоритма	I-TERM	I-TERM	I-TERM	O
56	роста	I-TERM	I-TERM	I-TERM	O
57	области	I-TERM	I-TERM	I-TERM	O
58	из	I-TERM	I-TERM	I-TERM	O
59	семени	I-TERM	I-TERM	I-TERM	O
60	и	O	O	O	O
61	ячеечного	B-TERM	B-TERM	B-TERM	O
62	метода	I-TERM	I-TERM	I-TERM	O
63	,	O	O	O	O
64	использующего	O	O	O	O
65	разбиение	B-TERM	B-TERM	B-TERM	O
66	пространства	I-TERM	I-TERM	I-TERM	O
67	на	I-TERM	O	O	O
68	тетраэдры	I-TERM	B-TERM	B-TERM	O
69	.	O	O	O	O
70	При	O	O	O	O
71	этом	O	O	O	O
72	используется	O	O	O	O
73	тетраэдрическая	B-TERM	B-TERM	B-TERM	O
74	сеть	I-TERM	I-TERM	I-TERM	O
75	,	O	O	O	O
76	предложенная	O	O	O	O
77	в	O	O	O	O
78	работах	O	O	O	O
79	S	O	O	O	O
80	.	O	O	O	O
81	Chan	O	O	O	O
82	,	O	O	O	O
83	E	O	O	O	O
84	.	O	O	O	O
85	Purisima	O	O	O	O
86	(	O	O	O	O
87	1998	O	O	O	O
88	)	O	O	O	O
89	и	O	O	O	O
90	V	O	O	O	O
91	.	O	O	O	O
92	Skala	O	O	O	O
93	(	O	O	O	O
94	2000	O	O	O	O
95	),	O	O	O	O
96	в	O	O	O	O
97	которой	O	O	O	O
98	тетраэдры	B-TERM	B-TERM	B-TERM	O
99	строятся	O	O	O	O
100	в	O	O	O	O
101	кубической	B-TERM	B-TERM	B-TERM	O
102	решетке	I-TERM	I-TERM	I-TERM	O
103	на	O	O	O	O
104	общих	B-TERM	B-TERM	B-TERM	O
105	гранях	I-TERM	I-TERM	I-TERM	O
106	смежных	B-TERM	B-TERM	B-TERM	O
107	кубов	I-TERM	I-TERM	I-TERM	O
108	.	O	O	O	O
109	Эта	O	O	O	O
110	сеть	B-TERM	B-TERM	B-TERM	O
111	строится	O	O	O	O
112	не	O	O	O	O
113	на	O	O	O	O
114	всем	O	O	O	O
115	пространстве	B-TERM	B-TERM	B-TERM	O
116	,	O	O	O	O
117	а	O	O	O	O
118	только	O	O	O	O
119	в	O	O	O	O
120	окрестности	B-TERM	B-TERM	B-TERM	O
121	границы	I-TERM	I-TERM	I-TERM	O
122	множества	I-TERM	B-TERM	I-TERM	O
123	вокселей	I-TERM	I-TERM	I-TERM	O
124	,	O	O	O	O
125	вычисленного	O	O	O	O
126	на	O	O	O	O
127	первом	O	O	O	O
128	этапе	O	O	O	O
129	как	O	O	O	O
130	результат	O	O	O	O
131	применения	O	O	O	O
132	трехмерного	B-TERM	B-TERM	B-TERM	O
133	алгоритма	I-TERM	I-TERM	I-TERM	O
134	роста	I-TERM	I-TERM	I-TERM	O
135	области	I-TERM	I-TERM	I-TERM	O
136	.	O	O	O	O
