id	token	Денис	Настя	Лена	auto_tag
0	Мобильное	B-TERM	B-TERM	B-TERM	O
1	приложение	I-TERM	I-TERM	I-TERM	O
2	непрерывной	O	O	O	O
3	передачи	O	O	O	O
4	видеоданных	B-TERM	B-TERM	B-TERM	O
5	в	O	O	O	O
6	облачные	B-TERM	B-TERM	B-TERM	B-TERM
7	сервисы	I-TERM	I-TERM	I-TERM	I-TERM
					
8	Представлен	O	O	O	O
9	способ	O	O	O	O
10	получения	O	O	O	O
11	видеодоказательств	B-TERM	B-TERM	B-TERM	O
12	с	O	O	O	O
13	помощью	O	O	O	O
14	мобильного	B-TERM	B-TERM	B-TERM	O
15	устройства	I-TERM	I-TERM	I-TERM	O
16	–	O	O	O	O
17	приложения	B-TERM	B-TERM	B-TERM	O
18	для	O	O	O	O
19	Android	B-TERM	B-TERM	B-TERM	O
20	,	O	O	O	O
21	позволяющего	O	O	O	O
22	оперативно	O	O	O	O
23	начать	O	O	O	O
24	видеотрансляцию	B-TERM	B-TERM	B-TERM	O
25	в	O	O	O	O
26	облачные	B-TERM	B-TERM	B-TERM	B-TERM
27	сервисы	I-TERM	I-TERM	I-TERM	I-TERM
28	.	O	O	O	O
29	Для	O	O	O	O
30	оперативности	O	O	O	O
31	запуска	O	O	O	O
32	пользователю	O	O	O	O
33	доступен	O	O	O	O
34	виджет	B-TERM	O	B-TERM	O
35	,	O	O	O	O
36	который	O	O	O	O
37	можно	O	O	O	O
38	разместить	O	O	O	O
39	на	O	O	O	O
40	экране	B-TERM	O	B-TERM	O
41	устройства	I-TERM	B-TERM	I-TERM	O
42	.	O	O	O	O
43	При	O	O	O	O
44	нажатии	O	O	O	O
45	на	O	O	O	O
46	виджет	B-TERM	O	B-TERM	O
47	начинается	O	O	O	O
48	видеосъемка	B-TERM	B-TERM	B-TERM	O
49	и	O	O	O	O
50	отправка	O	O	O	O
51	получаемой	O	O	O	O
52	записи	O	O	O	O
53	в	O	O	O	O
54	облачный	B-TERM	B-TERM	B-TERM	B-TERM
55	сервис	I-TERM	I-TERM	I-TERM	I-TERM
56	,	O	O	O	O
57	необходимая	O	O	O	O
58	для	O	O	O	O
59	обеспечения	O	O	O	O
60	сохранности	O	O	O	O
61	уже	O	O	O	O
62	полученных	O	O	O	O
63	данных	O	O	O	O
64	даже	O	O	O	O
65	в	O	O	O	O
66	случае	O	O	O	O
67	повреждения	O	O	O	O
68	устройства	B-TERM	B-TERM	B-TERM	O
69	.	O	O	O	O
70	Для	O	O	O	O
71	того	O	O	O	O
72	чтобы	O	O	O	O
73	в	O	O	O	O
74	непредвиденной	O	O	O	O
75	ситуации	O	O	O	O
76	,	O	O	O	O
77	повлекшей	O	O	O	O
78	за	O	O	O	O
79	собой	O	O	O	O
80	утрату	O	O	O	O
81	телефона	B-TERM	O	O	O
82	,	O	O	O	O
83	как	O	O	O	O
84	можно	O	O	O	O
85	больше	O	O	O	O
86	данных	O	O	O	O
87	оказалось	O	O	O	O
88	сохранено	O	O	O	O
89	на	O	O	O	O
90	облачном	B-TERM	B-TERM	B-TERM	B-TERM
91	сервисе	I-TERM	I-TERM	I-TERM	I-TERM
92	,	O	O	O	O
93	выбрана	O	O	O	O
94	малая	O	O	O	O
95	продолжительность	O	O	O	O
96	одного	O	O	O	O
97	передаваемого	O	O	O	O
98	фрагмента	O	O	O	O
99	–	O	O	O	O
100	одна	O	O	O	O
101	секунда	O	O	O	O
102	.	O	O	O	O
103	По	O	O	O	O
104	завершении	O	O	O	O
105	записи	O	O	O	O
106	пользователь	O	O	O	O
107	имеет	O	O	O	O
108	возможность	O	O	O	O
109	собрать	O	O	O	O
110	составляющие	O	O	O	O
111	записи	O	O	O	O
112	воедино	O	O	O	O
113	,	O	O	O	O
114	при	O	O	O	O
115	необходимости	O	O	O	O
116	загружая	O	O	O	O
117	недостающие	O	O	O	O
118	фрагменты	O	O	O	O
119	из	O	O	O	O
120	облачного	B-TERM	B-TERM	B-TERM	B-TERM
121	сервиса	I-TERM	I-TERM	I-TERM	I-TERM
122	.	O	O	O	O
123	Практическая	O	O	O	O
124	ценность	O	O	O	O
125	приложения	O	B-TERM	B-TERM	O
126	заключается	O	O	O	O
127	в	O	O	O	O
128	том	O	O	O	O
129	,	O	O	O	O
130	что	O	O	O	O
131	оно	O	O	O	O
132	позволяет	O	O	O	O
133	достаточно	O	O	O	O
134	быстро	O	O	O	O
135	и	O	O	O	O
136	надежно	O	O	O	O
137	фиксировать	O	O	O	O
138	события	O	O	O	O
139	,	O	O	O	O
140	а	O	O	O	O
141	собранные	O	O	O	O
142	видеоматериалы	O	B-TERM	B-TERM	O
143	могут	O	O	O	O
144	быть	O	O	O	O
145	полезны	O	O	O	O
146	как	O	O	O	O
147	в	O	O	O	O
148	судебных	O	O	O	O
149	процессах	O	O	O	O
150	,	O	O	O	O
151	так	O	O	O	O
152	и	O	O	O	O
153	для	O	O	O	O
154	самостоятельного	O	O	O	O
155	изучения	O	O	O	O
156	.	O	O	O	O
157	В	O	O	O	O
158	статье	O	O	O	O
159	проведен	O	O	O	O
160	анализ	O	O	O	O
161	существующих	O	O	O	O
162	решений	O	O	O	O
163	,	O	O	O	O
164	позволяющих	O	O	O	O
165	вести	O	O	O	O
166	видеотрансляцию	B-TERM	B-TERM	B-TERM	O
167	;	O	O	O	O
168	выявлены	O	O	O	O
169	их	O	O	O	O
170	недостатки	O	O	O	O
171	,	O	O	O	O
172	затрудняющие	O	O	O	O
173	использование	O	O	O	O
174	этих	O	O	O	O
175	средств	O	O	O	O
176	для	O	O	O	O
177	получения	O	O	O	O
178	доказательств	O	O	O	O
179	.	O	O	O	O
180	Рассмотрена	O	O	O	O
181	архитектура	B-TERM	O	B-TERM	O
182	приложения	I-TERM	B-TERM	I-TERM	O
183	,	O	O	O	O
184	построенная	O	O	O	O
185	на	O	O	O	O
186	базе	O	O	O	O
187	шаблона	O	O	B-TERM	O
188	проектирования	O	O	I-TERM	O
189	MVC	B-TERM	B-TERM	I-TERM	O
190	и	O	O	O	O
191	включающая	O	O	O	O
192	в	O	O	O	O
193	себя	O	O	O	O
194	6	O	O	O	O
195	модулей	B-TERM	O	B-TERM	O
196	.	O	O	O	O
197	Описана	O	O	O	O
198	реализация	O	O	O	O
199	приложения	B-TERM	B-TERM	B-TERM	O
200	и	O	O	O	O
201	показан	O	O	O	O
202	разработанный	O	O	O	O
203	интерфейс	B-TERM	O	B-TERM	O
204	.	O	O	O	O
