id	token	Настя	Денис	Лена	tag
0	Параллельный	B-TERM	B-TERM	B-TERM	B-TERM
1	алгоритм	I-TERM	I-TERM	I-TERM	I-TERM
2	для	I-TERM	O	I-TERM	O
3	численного	I-TERM	B-TERM	I-TERM	B-TERM
4	моделирования	I-TERM	I-TERM	I-TERM	I-TERM
5	встречных	I-TERM	I-TERM	I-TERM	O
6	пучков	I-TERM	I-TERM	I-TERM	O
7	ультра	I-TERM	I-TERM	I-TERM	O
8	-	I-TERM	I-TERM	I-TERM	O
9	релятивистских	I-TERM	I-TERM	I-TERM	O
10	частиц	I-TERM	I-TERM	I-TERM	O
11	с	O	O	O	O
12	учетом	O	O	O	O
13	угла	B-TERM	B-TERM	B-TERM	O
14	встречи	I-TERM	I-TERM	I-TERM	O
15	Представлен	O	O	O	O
16	алгоритм	B-TERM	B-TERM	B-TERM	O
17	для	I-TERM	O	I-TERM	O
18	численного	I-TERM	B-TERM	I-TERM	B-TERM
19	моделирования	I-TERM	I-TERM	I-TERM	I-TERM
20	динамики	I-TERM	I-TERM	I-TERM	O
21	пучков	I-TERM	I-TERM	I-TERM	O
22	в	I-TERM	I-TERM	I-TERM	O
23	суперколлайдерах	I-TERM	I-TERM	I-TERM	O
24	.	O	O	O	O
25	При	O	O	O	O
26	взаимодействии	O	B-TERM	B-TERM	O
27	высокоэнергетичных	B-TERM	I-TERM	I-TERM	O
28	пучков	I-TERM	I-TERM	I-TERM	O
29	возможна	O	O	O	O
30	их	O	O	O	O
31	деформация	B-TERM	B-TERM	B-TERM	O
32	и	O	O	O	O
33	разрушение	B-TERM	B-TERM	B-TERM	O
34	,	O	O	O	O
35	и	O	O	O	O
36	изучение	O	O	O	O
37	устойчивости	B-TERM	B-TERM	B-TERM	O
38	пучка	I-TERM	I-TERM	I-TERM	O
39	является	O	O	O	O
40	актуальной	O	O	O	O
41	задачей	O	B-TERM	O	O
42	.	O	O	O	O
43	Рассматривается	O	O	O	O
44	движение	B-TERM	B-TERM	B-TERM	O
45	пучков	I-TERM	I-TERM	I-TERM	O
46	в	O	O	O	O
47	самосогласованных	B-TERM	B-TERM	B-TERM	O
48	электромагнитных	I-TERM	I-TERM	I-TERM	O
49	полях	I-TERM	I-TERM	I-TERM	O
50	с	O	O	O	O
51	учетом	O	O	O	O
52	угла	B-TERM	B-TERM	B-TERM	O
53	встречи	I-TERM	I-TERM	I-TERM	O
54	в	I-TERM	O	O	O
55	полностью	I-TERM	O	O	O
56	трехмерном	I-TERM	O	O	O
57	случае	I-TERM	O	O	O
58	.	O	O	O	O
59	Задача	O	B-TERM	B-TERM	O
60	решается	O	O	O	O
61	методом	B-TERM	B-TERM	B-TERM	B-TERM
62	частиц	I-TERM	I-TERM	I-TERM	I-TERM
63	-	I-TERM	I-TERM	I-TERM	O
64	в	I-TERM	I-TERM	I-TERM	O
65	-	I-TERM	I-TERM	I-TERM	O
66	ячейках	I-TERM	I-TERM	I-TERM	O
67	.	O	O	O	O
68	Распараллеливание	B-TERM	B-TERM	B-TERM	O
69	по	I-TERM	O	O	O
70	области	I-TERM	B-TERM	O	O
71	и	I-TERM	O	O	O
72	по	I-TERM	O	O	O
73	частицам	I-TERM	B-TERM	O	O
74	позволяет	O	O	O	O
75	проводить	O	O	O	O
76	численные	B-TERM	B-TERM	B-TERM	B-TERM
77	эксперименты	I-TERM	I-TERM	I-TERM	I-TERM
78	с	I-TERM	O	O	O
79	10	I-TERM	O	O	O
80	^	I-TERM	O	O	O
81	9	I-TERM	O	O	O
82	модельных	I-TERM	B-TERM	B-TERM	B-TERM
83	частиц	I-TERM	I-TERM	I-TERM	I-TERM
84	.	O	O	O	O
85	Приведены	O	O	O	O
86	результаты	B-TERM	B-TERM	B-TERM	O
87	моделирования	I-TERM	I-TERM	I-TERM	O
88	и	O	O	O	O
89	сравнение	B-TERM	B-TERM	B-TERM	O
90	с	I-TERM	O	O	O
91	существующим	I-TERM	O	O	O
92	аналитическим	I-TERM	B-TERM	B-TERM	O
93	решением	I-TERM	I-TERM	I-TERM	O
94	.	O	O	O	O
