id	token	Денис	Настя	Лена	auto_tag
0	Информационно	B-TERM	B-TERM	B-TERM	O
1	-	I-TERM	I-TERM	I-TERM	O
2	аналитическая	I-TERM	I-TERM	I-TERM	O
3	система	I-TERM	I-TERM	I-TERM	O
4	с	O	O	O	O
5	алгоритмами	B-TERM	B-TERM	B-TERM	O
6	геномного	I-TERM	I-TERM	I-TERM	O
7	анализа	I-TERM	I-TERM	I-TERM	O
8	патогенов	I-TERM	I-TERM	I-TERM	O
9	вирусных	I-TERM	I-TERM	I-TERM	O
10	инфекций	I-TERM	I-TERM	I-TERM	O
					
11	Работа	O	O	O	O
12	посвящена	O	O	O	O
13	описанию	O	O	O	O
14	структуры	B-TERM	B-TERM	B-TERM	O
15	информационно	B-TERM	I-TERM	I-TERM	O
16	-	I-TERM	I-TERM	I-TERM	O
17	аналитической	I-TERM	I-TERM	I-TERM	O
18	системы	I-TERM	I-TERM	I-TERM	O
19	«	O	O	I-TERM	O
20	Ixodes	B-TERM	B-TERM	I-TERM	O
21	»,	O	O	I-TERM	O
22	ориентированной	O	O	O	O
23	на	O	O	O	O
24	работу	O	O	O	O
25	c	O	O	O	O
26	представительной	O	O	O	O
27	коллекцией	O	O	O	O
28	иксодовых	B-TERM	B-TERM	B-TERM	O
29	клещей	I-TERM	I-TERM	I-TERM	O
30	из	O	O	O	O
31	разных	O	O	O	O
32	биотопов	B-TERM	B-TERM	B-TERM	O
33	,	O	O	O	O
34	а	O	O	O	O
35	именно	O	O	O	O
36	для	O	O	O	O
37	территорий	O	O	O	O
38	Алтая	O	O	O	O
39	,	O	O	O	O
40	Сибири	O	O	O	O
41	и	O	O	O	O
42	Дальнего	O	O	O	O
43	востока	O	O	O	O
44	.	O	O	O	O
45	Показаны	O	O	O	O
46	варианты	O	O	O	O
47	применения	O	O	O	O
48	системы	B-TERM	B-TERM	B-TERM	O
49	для	O	O	O	O
50	анализа	O	B-TERM	B-TERM	O
51	генетического	B-TERM	I-TERM	B-TERM	O
52	разнообразия	I-TERM	I-TERM	I-TERM	O
53	клещей	O	I-TERM	O	O
54	и	O	O	O	O
55	переносимых	O	O	O	O
56	ими	O	O	O	O
57	патогенов	O	B-TERM	B-TERM	O
58	при	O	O	O	O
59	помощи	O	O	O	O
60	методов	B-TERM	B-TERM	B-TERM	O
61	статистической	I-TERM	I-TERM	I-TERM	O
62	обработки	I-TERM	I-TERM	I-TERM	O
63	в	O	O	O	O
64	виде	O	O	O	O
65	круговых	O	B-TERM	B-TERM	O
66	и	O	O	O	O
67	столбчатых	B-TERM	B-TERM	B-TERM	O
68	диаграмм	I-TERM	I-TERM	I-TERM	O
69	(	O	O	O	O
70	гистограмм	O	B-TERM	B-TERM	O
71	).	O	O	O	O
72	Описаны	O	O	O	O
73	реализованные	O	O	O	O
74	алгоритмы	B-TERM	B-TERM	B-TERM	O
75	,	O	O	O	O
76	позволяющие	O	O	O	O
77	проводить	O	O	O	O
78	анализ	O	B-TERM	B-TERM	O
79	генетической	B-TERM	I-TERM	I-TERM	O
80	последовательности	I-TERM	I-TERM	I-TERM	O
81	исследуемого	O	O	O	O
82	патогена	O	B-TERM	B-TERM	O
83	на	O	O	O	O
84	основе	O	O	O	O
85	L	B-TERM	B-TERM	B-TERM	O
86	-	I-TERM	I-TERM	I-TERM	O
87	граммного	I-TERM	I-TERM	I-TERM	O
88	подхода	I-TERM	I-TERM	I-TERM	O
89	и	O	O	O	O
90	методами	B-TERM	B-TERM	B-TERM	O
91	разбиения	I-TERM	I-TERM	I-TERM	O
92	филогенетического	I-TERM	I-TERM	I-TERM	O
93	дерева	I-TERM	I-TERM	I-TERM	O
94	на	O	O	O	O
95	группы	O	B-TERM	B-TERM	O
96	близких	O	I-TERM	I-TERM	O
97	последовательностей	B-TERM	I-TERM	I-TERM	O
98	.	O	O	O	O
99	При	O	O	O	O
100	этом	O	O	O	O
101	для	O	O	O	O
102	первичной	B-TERM	O	O	O
103	обработки	I-TERM	O	O	O
104	набора	B-TERM	B-TERM	B-TERM	O
105	геномов	I-TERM	I-TERM	I-TERM	O
106	используются	O	O	O	O
107	методы	B-TERM	B-TERM	B-TERM	O
108	множественного	I-TERM	I-TERM	I-TERM	O
109	выравнивания	I-TERM	I-TERM	I-TERM	O
110	последовательностей	I-TERM	I-TERM	I-TERM	O
111	и	O	O	O	O
112	метод	B-TERM	B-TERM	B-TERM	O
113	присоединения	I-TERM	I-TERM	I-TERM	O
114	соседей	I-TERM	I-TERM	I-TERM	O
115	,	O	O	O	O
116	позволяющий	O	O	O	O
117	выполнить	O	O	O	O
118	построение	O	O	O	O
119	филогенетического	B-TERM	B-TERM	B-TERM	O
120	дерева	I-TERM	I-TERM	I-TERM	O
121	.	O	O	O	O
122	Представленные	O	O	O	O
123	алгоритмы	B-TERM	B-TERM	B-TERM	O
124	и	O	O	O	O
125	методы	B-TERM	B-TERM	B-TERM	O
126	использовались	O	O	O	O
127	для	O	O	O	O
128	решения	O	O	O	O
129	задачи	O	B-TERM	B-TERM	O
130	генотипирования	O	I-TERM	I-TERM	O
131	вируса	B-TERM	I-TERM	I-TERM	O
132	клещевого	I-TERM	I-TERM	I-TERM	O
133	энцефалита	I-TERM	I-TERM	I-TERM	O
134	(	O	O	O	O
135	ВКЭ	O	B-TERM	B-TERM	O
136	).	O	O	O	O
137	Представлены	O	O	O	O
138	результаты	B-TERM	B-TERM	O	O
139	апробации	O	I-TERM	O	O
140	для	O	O	O	O
141	методов	B-TERM	B-TERM	B-TERM	O
142	разбиения	I-TERM	I-TERM	I-TERM	O
143	филогенетического	I-TERM	I-TERM	I-TERM	O
144	дерева	I-TERM	I-TERM	I-TERM	O
145	и	O	O	O	O
146	их	O	O	O	O
147	сравнительный	B-TERM	B-TERM	B-TERM	B-TERM
148	анализ	I-TERM	I-TERM	I-TERM	I-TERM
149	.	O	O	O	O
150	Описана	O	O	O	O
151	архитектура	B-TERM	B-TERM	B-TERM	O
152	информационно	B-TERM	I-TERM	I-TERM	O
153	-	I-TERM	I-TERM	I-TERM	O
154	аналитической	I-TERM	I-TERM	I-TERM	O
155	системы	I-TERM	I-TERM	I-TERM	O
156	для	O	O	O	O
157	анализа	B-TERM	B-TERM	B-TERM	O
158	набора	B-TERM	I-TERM	I-TERM	O
159	геномов	I-TERM	I-TERM	I-TERM	O
160	.	O	O	O	O
161	Система	B-TERM	B-TERM	B-TERM	O
162	предназначена	O	O	O	O
163	для	O	O	O	O
164	анализа	B-TERM	B-TERM	B-TERM	O
165	множества	B-TERM	I-TERM	I-TERM	O
166	геномов	I-TERM	I-TERM	I-TERM	O
167	и	O	O	O	O
168	их	O	O	O	O
169	классификации	O	O	O	O
170	,	O	O	O	O
171	а	O	O	O	O
172	именно	O	O	O	O
173	для	O	O	O	O
174	анализа	B-TERM	B-TERM	B-TERM	O
175	генотипов	B-TERM	I-TERM	I-TERM	O
176	внутри	O	O	O	O
177	одного	O	O	O	O
178	вида	B-TERM	O	O	O
179	живых	I-TERM	B-TERM	B-TERM	O
180	организмов	I-TERM	I-TERM	I-TERM	O
181	,	O	O	O	O
182	поскольку	O	O	O	O
183	методы	B-TERM	B-TERM	B-TERM	O
184	направлены	O	O	O	O
185	для	O	O	O	O
186	выделения	O	O	O	O
187	различий	O	O	O	O
188	геномов	B-TERM	B-TERM	B-TERM	O
189	,	O	O	O	O
190	имеющих	O	O	O	O
191	схожую	O	O	O	O
192	структуру	B-TERM	B-TERM	B-TERM	O
193	.	O	O	O	O
