id	token	Настя	Денис	Лена	tag
0	Автоматическое	B-TERM	B-TERM	B-TERM	O
1	извлечение	I-TERM	I-TERM	I-TERM	O
2	решеток	I-TERM	I-TERM	I-TERM	O
3	понятий	I-TERM	I-TERM	I-TERM	O
4	из	O	O	O	O
5	медицинских	B-TERM	B-TERM	B-TERM	O
6	текстов	I-TERM	I-TERM	I-TERM	O
7	на	O	O	O	O
8	основе	O	O	O	O
9	комбинации	B-TERM	B-TERM	B-TERM	O
10	анализа	I-TERM	I-TERM	I-TERM	O
11	формальных	I-TERM	I-TERM	I-TERM	O
12	понятий	I-TERM	I-TERM	I-TERM	O
13	и	O	I-TERM	O	O
14	технологий	B-TERM	I-TERM	B-TERM	O
15	бутстраппинга	I-TERM	I-TERM	I-TERM	O
16	Рассматривается	O	O	O	O
17	новый	O	O	O	O
18	способ	B-TERM	B-TERM	B-TERM	O
19	извлечения	I-TERM	I-TERM	I-TERM	O
20	понятий	I-TERM	I-TERM	I-TERM	O
21	из	O	O	O	O
22	текстов	B-TERM	B-TERM	B-TERM	O
23	предметной	I-TERM	I-TERM	I-TERM	B-TERM
24	области	I-TERM	I-TERM	I-TERM	I-TERM
25	на	O	O	O	O
26	основе	O	O	O	O
27	комбинации	B-TERM	B-TERM	B-TERM	O
28	анализа	I-TERM	I-TERM	I-TERM	O
29	формальных	I-TERM	I-TERM	I-TERM	O
30	понятий	I-TERM	I-TERM	I-TERM	O
31	и	O	I-TERM	O	O
32	бутстрап	B-TERM	I-TERM	B-TERM	O
33	-	I-TERM	I-TERM	I-TERM	O
34	технологии	I-TERM	I-TERM	I-TERM	O
35	информационного	I-TERM	I-TERM	I-TERM	O
36	поиска	I-TERM	I-TERM	I-TERM	O
37	.	O	O	O	O
38	Анализ	B-TERM	B-TERM	B-TERM	O
39	формальных	I-TERM	I-TERM	I-TERM	O
40	понятий	I-TERM	I-TERM	I-TERM	O
41	представляет	O	O	O	O
42	собой	O	O	O	O
43	мощный	O	B-TERM	O	O
44	аппарат	B-TERM	I-TERM	B-TERM	O
45	автоматического	I-TERM	I-TERM	I-TERM	O
46	вывода	I-TERM	I-TERM	I-TERM	O
47	понятий	I-TERM	I-TERM	I-TERM	O
48	предметной	I-TERM	I-TERM	I-TERM	B-TERM
49	области	I-TERM	I-TERM	I-TERM	I-TERM
50	,	O	O	O	O
51	однако	O	O	O	O
52	он	O	O	O	O
53	рассчитан	O	O	O	O
54	на	O	O	O	O
55	высокое	O	B-TERM	O	O
56	качество	O	I-TERM	O	O
57	входных	B-TERM	I-TERM	B-TERM	O
58	данных	I-TERM	I-TERM	I-TERM	O
59	,	O	O	O	O
60	без	O	O	O	O
61	пропусков	B-TERM	B-TERM	O	O
62	и	O	O	O	O
63	неточностей	B-TERM	B-TERM	O	O
64	.	O	O	O	O
65	Получение	O	O	O	O
66	таких	O	O	O	O
