id	token	Настя	Денис	Лена	tag
0	Трехмерное	B-TERM	B-TERM	B-TERM	O
1	моделирование	I-TERM	I-TERM	I-TERM	O
2	и	O	O	O	O
3	инверсия	B-TERM	B-TERM	B-TERM	O
4	данных	I-TERM	I-TERM	I-TERM	O
5	комплекса	I-TERM	I-TERM	I-TERM	O
6	методов	I-TERM	I-TERM	I-TERM	O
7	электрокаротажа	I-TERM	I-TERM	I-TERM	O
8	в	O	O	O	O
9	моделях	B-TERM	B-TERM	B-TERM	O
10	сред	I-TERM	I-TERM	I-TERM	O
11	с	O	O	O	O
12	наклоном	B-TERM	B-TERM	B-TERM	O
13	главных	I-TERM	I-TERM	I-TERM	O
14	осей	I-TERM	I-TERM	I-TERM	O
15	тензора	I-TERM	I-TERM	I-TERM	O
16	электрической	I-TERM	I-TERM	I-TERM	O
17	анизотропии	I-TERM	I-TERM	I-TERM	O
18	Впервые	O	O	O	O
19	формулируются	O	O	O	O
20	прямая	B-TERM	B-TERM	B-TERM	O
21	и	O	O	O	O
22	обратная	B-TERM	B-TERM	B-TERM	B-TERM
23	задачи	I-TERM	I-TERM	I-TERM	I-TERM
24	электрического	I-TERM	I-TERM	I-TERM	O
25	каротажа	I-TERM	I-TERM	I-TERM	O
26	об	O	O	O	O
27	определении	B-TERM	B-TERM	B-TERM	O
28	компонент	I-TERM	I-TERM	I-TERM	O
29	тензора	I-TERM	I-TERM	I-TERM	O
30	электрической	I-TERM	I-TERM	I-TERM	O
31	анизотропии	I-TERM	I-TERM	I-TERM	O
32	горных	I-TERM	I-TERM	I-TERM	O
33	пород	I-TERM	I-TERM	I-TERM	O
34	по	O	O	O	O
35	комплексу	B-TERM	B-TERM	B-TERM	O
36	измерений	I-TERM	I-TERM	I-TERM	O
37	методами	B-TERM	B-TERM	B-TERM	O
38	бокового	I-TERM	I-TERM	I-TERM	O
39	каротажного	I-TERM	I-TERM	I-TERM	O
40	зондирования	I-TERM	I-TERM	I-TERM	O
41	и	O	O	O	O
42	бокового	B-TERM	B-TERM	B-TERM	O
43	каротажа	I-TERM	I-TERM	I-TERM	O
44	в	O	O	O	O
45	нефтегазовых	B-TERM	B-TERM	B-TERM	O
46	скважинах	I-TERM	I-TERM	I-TERM	O
47	.	O	O	O	O
48	Рассматриваются	O	O	O	O
49	особенности	B-TERM	O	O	O
50	конечно	I-TERM	B-TERM	B-TERM	O
51	элементной	I-TERM	I-TERM	I-TERM	O
52	аппроксимации	I-TERM	I-TERM	I-TERM	O
53	прямой	I-TERM	I-TERM	I-TERM	O
54	задачи	I-TERM	I-TERM	I-TERM	O
55	,	O	O	O	O
56	использующей	O	O	O	O
57	базисные	B-TERM	B-TERM	B-TERM	O
58	функции	I-TERM	I-TERM	I-TERM	O
59	большого	I-TERM	I-TERM	I-TERM	O
60	порядка	I-TERM	I-TERM	I-TERM	O
61	.	O	O	O	O
62	Исследуется	O	O	O	O
63	возможность	O	O	O	O
64	восстановления	B-TERM	B-TERM	B-TERM	O
65	горизонтальной	I-TERM	I-TERM	I-TERM	O
66	и	I-TERM	I-TERM	I-TERM	O
67	вертикальной	I-TERM	I-TERM	I-TERM	O
68	составляющих	I-TERM	I-TERM	I-TERM	O
69	удельного	I-TERM	I-TERM	I-TERM	O
70	электрического	I-TERM	I-TERM	I-TERM	O
71	сопротивления	I-TERM	I-TERM	I-TERM	O
72	,	O	O	O	O
73	а	O	O	O	O
74	также	O	O	O	O
75	угла	B-TERM	B-TERM	B-TERM	O
76	наклона	I-TERM	I-TERM	I-TERM	O
77	главных	I-TERM	I-TERM	I-TERM	O
78	осей	I-TERM	I-TERM	I-TERM	O
79	тензора	I-TERM	I-TERM	I-TERM	O
80	электрической	I-TERM	I-TERM	I-TERM	O
81	анизотропии	I-TERM	I-TERM	I-TERM	O
82	.	O	O	O	O
