id	token	Настя	Денис	Лена	tag
0	Система	B-TERM	B-TERM	B-TERM	O
1	анализа	I-TERM	I-TERM	I-TERM	O
2	и	I-TERM	I-TERM	I-TERM	O
3	визуализации	I-TERM	I-TERM	I-TERM	O
4	для	O	O	O	O
5	кросс	B-TERM	B-TERM	B-TERM	O
6	-	I-TERM	I-TERM	I-TERM	O
7	языковой	I-TERM	I-TERM	I-TERM	O
8	идентификации	I-TERM	I-TERM	I-TERM	O
9	авторов	I-TERM	I-TERM	I-TERM	O
10	научных	I-TERM	I-TERM	B-TERM	O
11	публикаций	I-TERM	I-TERM	I-TERM	O
12	Представлена	O	O	O	O
13	система	B-TERM	B-TERM	B-TERM	O
14	разрешения	I-TERM	I-TERM	I-TERM	O
15	неоднозначности	I-TERM	I-TERM	I-TERM	O
16	авторства	I-TERM	I-TERM	I-TERM	O
17	статей	I-TERM	I-TERM	I-TERM	O
18	на	O	O	O	O
19	английском	O	O	O	O
20	языке	O	O	O	O
21	с	O	O	O	O
22	использованием	O	O	O	O
23	русскоязычных	B-TERM	O	O	O
24	источников	I-TERM	B-TERM	B-TERM	O
25	данных	I-TERM	I-TERM	I-TERM	O
26	.	O	O	O	O
27	Система	B-TERM	B-TERM	B-TERM	O
28	позволяет	O	O	O	O
29	находить	O	O	O	O
30	и	O	O	O	O
31	исправлять	O	O	O	O
32	ошибки	O	O	O	O
33	в	O	O	O	O
34	определении	O	O	O	O
35	авторства	B-TERM	B-TERM	B-TERM	O
36	научных	I-TERM	I-TERM	I-TERM	O
37	публикаций	I-TERM	I-TERM	I-TERM	O
38	,	O	O	O	O
39	что	O	O	O	O
40	может	O	O	O	O
41	улучшить	O	O	O	O
42	результаты	O	O	O	O
43	поиска	O	O	O	O
44	статей	B-TERM	B-TERM	B-TERM	O
45	определенного	O	O	O	O
46	автора	O	B-TERM	B-TERM	O
47	и	O	O	O	O
48	подсчета	O	O	O	O
49	индекса	B-TERM	B-TERM	B-TERM	O
50	цитируемости	I-TERM	I-TERM	I-TERM	O
51	.	O	O	O	O
52	В	O	O	O	O
53	качестве	O	O	O	O
54	исходного	O	O	O	O
55	хранилища	O	O	B-TERM	O
56	публикаций	O	O	I-TERM	O
57	использовалась	O	O	O	O
58	база	B-TERM	B-TERM	B-TERM	O
59	link	I-TERM	I-TERM	I-TERM	O
60	.	I-TERM	I-TERM	I-TERM	O
61	springer	I-TERM	I-TERM	I-TERM	O
62	.	I-TERM	I-TERM	I-TERM	O
63	com	I-TERM	I-TERM	I-TERM	O
64	,	O	O	O	O
65	для	O	O	O	O
66	получения	O	O	O	O
67	достоверной	O	O	O	O
68	информации	O	O	O	O
69	об	O	O	O	O
70	авторах	B-TERM	B-TERM	B-TERM	O
71	и	O	O	O	O
72	их	O	O	O	O
73	статьях	O	O	B-TERM	O
74	использовалась	O	O	O	O
75	научная	B-TERM	B-TERM	B-TERM	O
76	электронная	I-TERM	I-TERM	I-TERM	O
77	библиотека	I-TERM	I-TERM	I-TERM	O
78	eLIBRARY	I-TERM	I-TERM	I-TERM	O
79	.	I-TERM	I-TERM	I-TERM	O
80	ru	I-TERM	I-TERM	I-TERM	O
81	.	O	O	O	O
82	Система	B-TERM	B-TERM	B-TERM	O
83	предоставляет	O	O	O	O
84	интерактивную	B-TERM	O	B-TERM	O
85	визуализацию	I-TERM	O	I-TERM	O
86	результатов	O	O	I-TERM	O
87	и	O	O	O	O
88	возможность	O	O	O	O
89	редактирования	O	O	O	O
90	для	O	O	O	O
91	повышения	O	O	O	O
92	качества	O	O	O	O
93	экспертного	B-TERM	B-TERM	B-TERM	O
94	анализа	I-TERM	I-TERM	I-TERM	O
95	.	O	O	O	O
96	Подходы	O	O	O	O
97	,	O	O	O	O
98	используемые	O	O	O	O
99	в	O	O	O	O
100	данной	O	O	O	O
101	системе	B-TERM	B-TERM	B-TERM	O
102	,	O	O	O	O
103	применимы	O	O	O	O
104	для	O	O	O	O
105	разрешения	O	O	O	O
106	неоднозначности	B-TERM	B-TERM	B-TERM	O
107	авторства	I-TERM	I-TERM	I-TERM	O
108	публикаций	I-TERM	I-TERM	I-TERM	O
109	из	O	O	O	O
110	различных	O	O	O	O
111	библиографических	B-TERM	B-TERM	B-TERM	O
112	баз	I-TERM	I-TERM	I-TERM	O
113	данных	I-TERM	I-TERM	I-TERM	O
114	.	O	O	O	O
