id	token	Настя	Денис	Лена	tag
0	Интеллектуальная	B-TERM	B-TERM	B-TERM	B-TERM
1	система	B-TERM	I-TERM	I-TERM	B-TERM
2	обработки	I-TERM	I-TERM	I-TERM	I-TERM
3	и	I-TERM	I-TERM	I-TERM	O
4	интеграции	I-TERM	I-TERM	I-TERM	O
5	знаний	I-TERM	I-TERM	I-TERM	O
6	на	O	O	O	O
7	основе	O	O	O	O
8	технологий	B-TERM	B-TERM	B-TERM	O
9	семантической	I-TERM	I-TERM	I-TERM	O
10	паутины	I-TERM	I-TERM	I-TERM	O
11	Статья	O	O	O	O
12	посвящена	O	O	O	O
13	разработке	B-TERM	B-TERM	B-TERM	O
14	методов	I-TERM	I-TERM	I-TERM	O
15	извлечения	I-TERM	I-TERM	I-TERM	O
16	из	I-TERM	I-TERM	O	O
17	текстов	I-TERM	I-TERM	B-TERM	O
18	естественного	I-TERM	I-TERM	I-TERM	B-TERM
19	языка	I-TERM	I-TERM	I-TERM	I-TERM
20	определений	B-TERM	B-TERM	B-TERM	O
21	ключевых	I-TERM	I-TERM	I-TERM	O
22	понятий	I-TERM	I-TERM	I-TERM	O
23	предметной	I-TERM	I-TERM	B-TERM	B-TERM
24	области	I-TERM	I-TERM	I-TERM	I-TERM
25	на	O	O	O	O
26	основе	O	O	O	O
27	теоретико	B-TERM	B-TERM	B-TERM	O
28	-	I-TERM	I-TERM	I-TERM	O
29	модельного	I-TERM	I-TERM	I-TERM	O
30	подхода	I-TERM	I-TERM	I-TERM	O
31	.	O	O	O	O
32	Извлеченная	O	O	O	O
33	из	O	O	O	O
34	текстов	O	B-TERM	B-TERM	O
35	информация	B-TERM	B-TERM	B-TERM	O
36	путем	O	O	O	O
37	преобразования	B-TERM	B-TERM	B-TERM	O
38	через	I-TERM	O	O	O
39	фрагменты	I-TERM	B-TERM	B-TERM	O
40	атомарных	I-TERM	I-TERM	I-TERM	B-TERM
41	диаграмм	I-TERM	I-TERM	I-TERM	I-TERM
42	алгебраических	I-TERM	I-TERM	I-TERM	B-TERM
43	систем	I-TERM	I-TERM	I-TERM	I-TERM
44	представляется	O	O	O	O
45	в	O	O	O	O
46	виде	O	O	O	O
47	утверждений	B-TERM	B-TERM	B-TERM	O
48	в	I-TERM	O	O	O
49	логике	I-TERM	B-TERM	B-TERM	O
50	описаний	I-TERM	I-TERM	I-TERM	O
51	(	O	O	O	O
52	DL	B-TERM	B-TERM	B-TERM	O
53	).	O	O	O	O
54	Подобное	O	O	O	O
55	представление	B-TERM	B-TERM	B-TERM	O
56	позволяет	O	O	O	O
57	получать	O	O	O	O
58	тексты	O	B-TERM	B-TERM	O
59	с	O	O	O	O
60	большей	O	O	O	O
61	выразительностью	B-TERM	B-TERM	B-TERM	O
62	по	O	O	O	O
63	сравнению	O	O	O	O
64	с	O	O	O	O
65	алгоритмами	B-TERM	B-TERM	B-TERM	O
66	,	O	O	O	O
67	где	O	O	O	O
68	источником	O	B-TERM	B-TERM	O
69	информации	O	I-TERM	I-TERM	O
70	являются	O	O	O	O
71	данные	O	B-TERM	B-TERM	O
72	,	O	O	O	O
73	представленные	O	O	O	O
74	в	O	O	O	O
75	виде	O	O	O	O
76	баз	B-TERM	B-TERM	B-TERM	O
77	данных	I-TERM	I-TERM	I-TERM	O
78	или	O	O	O	O
79	в	O	O	O	O
80	виде	O	O	O	O
81	выражений	B-TERM	B-TERM	B-TERM	O
82	на	I-TERM	I-TERM	I-TERM	O
83	формализованных	I-TERM	I-TERM	I-TERM	O
84	языках	I-TERM	I-TERM	I-TERM	O
85	(	O	O	O	O
86	например	O	O	O	O
87	,	O	O	O	O
88	SQL	B-TERM	B-TERM	B-TERM	O
89	).	O	O	O	O
