id	token	Настя	Денис	Лена	tag
0	Адаптация	B-TERM	B-TERM	B-TERM	O
1	структуры	I-TERM	I-TERM	I-TERM	O
2	меню	I-TERM	I-TERM	I-TERM	O
3	услуг	I-TERM	I-TERM	I-TERM	O
4	для	O	O	O	O
5	различных	O	O	O	O
6	типов	O	O	O	O
7	пользователей	B-TERM	B-TERM	B-TERM	O
8	с	O	O	O	O
9	применением	O	O	O	O
10	онтологического	B-TERM	B-TERM	B-TERM	O
11	моделирования	I-TERM	I-TERM	I-TERM	O
12	Статья	O	O	O	O
13	посвящена	O	O	O	O
14	решению	O	O	O	O
15	проблемы	O	B-TERM	O	O
16	адаптации	B-TERM	I-TERM	B-TERM	O
17	больших	I-TERM	I-TERM	I-TERM	O
18	древовидных	I-TERM	I-TERM	I-TERM	O
19	и	I-TERM	I-TERM	I-TERM	O
20	линейных	I-TERM	I-TERM	I-TERM	O
21	меню	I-TERM	I-TERM	I-TERM	O
22	мобильных	I-TERM	I-TERM	B-TERM	O
23	и	I-TERM	I-TERM	O	O
24	интернет	I-TERM	I-TERM	B-TERM	O
25	-	I-TERM	I-TERM	I-TERM	O
26	услуг	I-TERM	I-TERM	I-TERM	O
27	для	O	O	O	O
28	различных	O	O	O	O
29	типов	O	O	O	O
30	пользователей	B-TERM	B-TERM	B-TERM	O
31	на	O	O	O	O
32	основании	O	O	O	O
33	их	O	O	O	O
34	интересов	B-TERM	B-TERM	B-TERM	O
35	,	O	O	O	O
36	социального	B-TERM	B-TERM	B-TERM	O
37	статуса	I-TERM	I-TERM	I-TERM	O
38	,	I-TERM	O	O	O
39	а	O	O	O	O
40	также	O	O	O	O
41	иных	O	O	O	O
42	параметров	B-TERM	B-TERM	B-TERM	O
43	.	O	O	O	O
44	Разработана	O	O	O	O
45	программная	B-TERM	B-TERM	B-TERM	B-TERM
46	система	I-TERM	I-TERM	I-TERM	I-TERM
47	,	O	O	O	O
48	строящая	O	O	O	O
49	оптимальное	B-TERM	O	O	O
50	меню	I-TERM	B-TERM	B-TERM	O
51	услуг	I-TERM	I-TERM	I-TERM	O
52	для	O	O	O	O
53	классов	O	O	O	O
