id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	B-TERM	B-TERM	O
1	методов	I-TERM	I-TERM	I-TERM	O
2	интеграции	I-TERM	I-TERM	I-TERM	O
3	автоматических	I-TERM	I-TERM	I-TERM	O
4	средств	I-TERM	I-TERM	I-TERM	O
5	логического	I-TERM	I-TERM	I-TERM	B-TERM
6	вывода	I-TERM	I-TERM	I-TERM	I-TERM
7	для	O	O	O	O
8	порождения	B-TERM	B-TERM	B-TERM	O
9	знаний	I-TERM	I-TERM	I-TERM	O
10	в	O	O	O	O
11	онтологической	B-TERM	B-TERM	B-TERM	O
12	модели	I-TERM	I-TERM	I-TERM	O
13	Статья	O	O	O	O
14	посвящена	O	O	O	O
15	разработке	B-TERM	B-TERM	B-TERM	O
16	методов	I-TERM	I-TERM	I-TERM	O
17	порождения	I-TERM	I-TERM	I-TERM	O
18	новых	I-TERM	I-TERM	I-TERM	O
19	знаний	I-TERM	I-TERM	I-TERM	O
20	на	O	O	O	O
21	основе	O	O	O	O
22	анализа	B-TERM	B-TERM	B-TERM	O
23	текстов	I-TERM	I-TERM	I-TERM	O
24	естественного	I-TERM	I-TERM	I-TERM	B-TERM
25	языка	I-TERM	I-TERM	I-TERM	I-TERM
26	.	O	O	O	O
27	Для	O	O	O	O
28	извлечения	O	B-TERM	B-TERM	O
29	знаний	B-TERM	I-TERM	I-TERM	O
30	из	O	O	O	O
31	текстов	B-TERM	B-TERM	B-TERM	O
32	на	I-TERM	I-TERM	I-TERM	O
33	естественном	I-TERM	I-TERM	I-TERM	B-TERM
34	языке	I-TERM	I-TERM	I-TERM	I-TERM
35	используется	O	O	O	O
36	метод	B-TERM	B-TERM	B-TERM	O
37	представления	I-TERM	I-TERM	I-TERM	O
38	предложений	I-TERM	I-TERM	I-TERM	O
39	в	O	O	I-TERM	O
40	виде	O	O	I-TERM	O
41	двухместных	B-TERM	B-TERM	I-TERM	O
42	предикатов	I-TERM	I-TERM	I-TERM	O
43	с	O	O	O	O
44	введенной	B-TERM	O	B-TERM	O
45	константой	I-TERM	B-TERM	I-TERM	O
46	ситуацией	I-TERM	B-TERM	I-TERM	O
47	.	O	O	O	O
48	Для	O	O	O	O
49	представления	B-TERM	B-TERM	B-TERM	B-TERM
50	знаний	I-TERM	I-TERM	I-TERM	I-TERM
51	в	O	O	O	O
52	формальном	B-TERM	B-TERM	B-TERM	O
53	виде	I-TERM	I-TERM	I-TERM	O
54	используются	O	O	O	O
55	бескванторные	B-TERM	B-TERM	B-TERM	O
56	предложения	I-TERM	I-TERM	I-TERM	O
57	логики	I-TERM	I-TERM	I-TERM	O
58	предикатов	I-TERM	I-TERM	I-TERM	O
59	,	O	O	O	O
60	а	O	O	O	O
61	также	O	O	O	O
62	язык	B-TERM	B-TERM	B-TERM	O
63	OWL	I-TERM	I-TERM	I-TERM	O
64	DL	I-TERM	I-TERM	I-TERM	O
65	.	O	O	O	O
66	Порождение	B-TERM	B-TERM	B-TERM	O
67	новых	I-TERM	I-TERM	I-TERM	O
68	знаний	I-TERM	I-TERM	I-TERM	O
69	реализуется	O	O	O	O
70	при	O	O	O	O
71	помощи	O	O	O	O
72	автоматических	B-TERM	B-TERM	B-TERM	O
73	средств	I-TERM	I-TERM	I-TERM	O
74	логического	I-TERM	I-TERM	I-TERM	B-TERM
75	вывода	I-TERM	I-TERM	I-TERM	I-TERM
76	с	O	O	O	O
77	использованием	O	O	O	O
78	заранее	O	O	O	O
79	заданных	O	O	O	O
80	шаблонов	B-TERM	B-TERM	B-TERM	O
81	правил	I-TERM	I-TERM	I-TERM	B-TERM
82	вывода	I-TERM	I-TERM	I-TERM	I-TERM
83	.	O	O	O	O
84	Разработана	O	O	O	O
85	программная	B-TERM	B-TERM	B-TERM	B-TERM
86	система	I-TERM	I-TERM	I-TERM	I-TERM
87	,	O	O	O	O
88	которая	O	O	O	O
89	дает	O	O	O	O
90	возможность	O	O	O	O
91	пользователям	B-TERM	O	O	O
92	получать	O	O	O	O
93	ответы	B-TERM	O	O	O
94	на	O	O	O	O
95	определенные	O	O	O	O
96	вопросы	B-TERM	O	O	O
97	,	O	O	O	O
98	относящиеся	O	O	O	O
99	к	O	O	O	O
100	данным	O	O	O	O
101	текстам	B-TERM	B-TERM	B-TERM	O
102	естественного	I-TERM	I-TERM	I-TERM	B-TERM
103	языка	I-TERM	I-TERM	I-TERM	I-TERM
104	.	O	O	O	O
105	Ответы	B-TERM	O	O	O
106	строятся	O	O	O	O
107	на	O	O	O	O
108	естественном	B-TERM	B-TERM	B-TERM	B-TERM
109	языке	I-TERM	I-TERM	I-TERM	I-TERM
110	,	O	O	O	O
111	при	O	O	O	O
112	этом	O	O	O	O
113	используются	O	O	O	O
114	не	O	O	O	O
115	только	O	O	O	O
116	явно	O	O	O	O
117	содержащиеся	O	O	O	O
118	в	O	O	O	O
119	обрабатываемом	O	O	O	O
120	документе	O	O	O	O
121	знания	B-TERM	B-TERM	B-TERM	O
122	,	O	O	O	O
123	но	O	O	O	O
124	и	O	O	O	O
125	знания	B-TERM	B-TERM	B-TERM	O
126	,	O	O	O	O
127	порожденные	O	O	O	O
128	при	O	O	O	O
129	помощи	O	O	O	O
130	автоматических	B-TERM	B-TERM	B-TERM	O
131	средств	I-TERM	I-TERM	I-TERM	O
132	логического	I-TERM	I-TERM	I-TERM	B-TERM
133	вывода	I-TERM	I-TERM	I-TERM	I-TERM
134	.	O	O	O	O
