id	token	Денис	Настя	Лена	auto_tag
0	Метод	B-TERM	B-TERM	B-TERM	O
1	проверки	I-TERM	I-TERM	I-TERM	O
2	гипотез	I-TERM	I-TERM	I-TERM	O
3	на	O	O	O	O
4	базе	O	O	O	O
5	статистической	B-TERM	B-TERM	B-TERM	O
6	обработки	I-TERM	I-TERM	I-TERM	O
7	разнородных	O	I-TERM	I-TERM	O
8	электроэнцефалографических	B-TERM	I-TERM	I-TERM	O
9	данных	I-TERM	I-TERM	I-TERM	O
					
10	Предложен	O	O	O	O
11	подход	O	B-TERM	B-TERM	O
12	для	O	O	O	O
13	автоматизации	O	B-TERM	O	O
14	проверки	O	O	O	O
15	гипотез	O	B-TERM	O	O
16	на	O	O	O	O
17	основе	O	O	O	O
18	обработки	O	B-TERM	O	O
19	разнородных	O	O	O	O
20	ЭЭГ	B-TERM	B-TERM	B-TERM	O
21	-	I-TERM	I-TERM	I-TERM	O
22	данных	I-TERM	I-TERM	I-TERM	O
23	.	O	O	O	O
24	Подход	O	B-TERM	B-TERM	O
25	базируется	O	O	O	O
26	на	O	O	O	O
27	наборе	O	O	O	O
28	MATLAB	B-TERM	B-TERM	B-TERM	O
29	-	I-TERM	I-TERM	I-TERM	O
30	скриптов	I-TERM	I-TERM	I-TERM	O
31	,	O	O	O	O
32	использующих	O	O	O	O
33	библиотеки	O	O	O	O
34	EEGLAB	B-TERM	B-TERM	B-TERM	O
35	,	O	O	O	O
36	NeuroElf	B-TERM	B-TERM	B-TERM	O
37	,	O	O	O	O
38	Alphasim	B-TERM	B-TERM	B-TERM	O
39	,	O	O	O	O
40	spm8	B-TERM	B-TERM	B-TERM	O
41	,	O	O	O	O
42	Mediation	B-TERM	B-TERM	B-TERM	O
43	toolbox	I-TERM	I-TERM	I-TERM	O
44	,	O	O	O	O
45	и	O	O	O	O
46	программном	B-TERM	B-TERM	B-TERM	B-TERM
47	пакете	I-TERM	I-TERM	I-TERM	I-TERM
48	sLORETA	B-TERM	I-TERM	I-TERM	O
49	.	O	O	O	O
50	Разработанный	O	O	O	O
51	инструментарий	B-TERM	O	B-TERM	O
52	позволяет	O	O	O	O
53	проводить	O	O	O	O
54	унификацию	O	O	O	O
55	ЭЭГ	B-TERM	B-TERM	B-TERM	O
56	-	I-TERM	I-TERM	I-TERM	O
57	записей	I-TERM	I-TERM	I-TERM	O
58	,	O	O	O	O
59	сделанных	O	O	O	O
60	на	O	O	O	O
61	различном	O	O	O	O
62	оборудовании	O	O	O	O
63	,	O	O	O	O
64	восстановление	O	O	O	O
65	утраченных	O	O	O	O
66	данных	O	O	O	O
67	,	O	O	O	O
68	3Dреконструкцию	B-TERM	B-TERM	B-TERM	O
69	источников	O	O	O	O
70	мозговой	B-TERM	B-TERM	B-TERM	O
71	активности	I-TERM	I-TERM	I-TERM	O
72	по	O	O	O	O
73	исходным	O	O	O	O
74	ЭЭГ	B-TERM	B-TERM	B-TERM	O
75	-	I-TERM	I-TERM	I-TERM	O
76	данным	I-TERM	I-TERM	I-TERM	O
77	и	O	O	O	O
78	медиационный	O	B-TERM	B-TERM	O
79	анализ	O	I-TERM	I-TERM	O
80	.	O	O	O	O
