id	token	Настя	Денис	Лена	tag
0	Программная	B-TERM	B-TERM	B-TERM	B-TERM
1	система	B-TERM	I-TERM	I-TERM	B-TERM
2	управления	I-TERM	I-TERM	I-TERM	I-TERM
3	образовательным	I-TERM	I-TERM	I-TERM	O
4	процессом	I-TERM	I-TERM	I-TERM	O
5	ИТОС	I-TERM	I-TERM	I-TERM	O
6	Статья	O	O	O	O
7	посвящена	O	O	O	O
8	описанию	O	O	O	O
9	программной	B-TERM	B-TERM	B-TERM	B-TERM
10	системы	I-TERM	I-TERM	I-TERM	I-TERM
11	ИТОС	I-TERM	I-TERM	I-TERM	O
12	(	O	O	O	O
13	индивидуальных	B-TERM	B-TERM	B-TERM	O
14	траекторий	I-TERM	I-TERM	I-TERM	O
15	обучения	I-TERM	I-TERM	I-TERM	O
16	студентов	I-TERM	I-TERM	I-TERM	O
17	),	O	O	O	O
18	предназначенной	O	O	O	O
19	для	O	O	O	O
20	автоматизации	B-TERM	B-TERM	B-TERM	O
21	работы	I-TERM	I-TERM	I-TERM	O
22	с	O	O	O	O
23	основной	B-TERM	B-TERM	B-TERM	O
24	образовательной	I-TERM	I-TERM	I-TERM	O
25	программой	I-TERM	I-TERM	I-TERM	O
26	(	O	O	O	O
27	ООП	B-TERM	B-TERM	B-TERM	O
28	)	O	O	O	O
29	и	O	O	O	O
30	соответствующим	O	O	O	O
31	ей	O	O	O	O
32	учебным	B-TERM	B-TERM	B-TERM	O
33	планом	I-TERM	I-TERM	I-TERM	O
34	.	O	O	O	O
35	В	O	O	O	O
36	системе	O	B-TERM	B-TERM	O
37	реализована	O	O	O	O
38	возможность	O	O	O	O
39	отслеживать	O	O	O	O
40	логику	B-TERM	B-TERM	B-TERM	O
41	следования	I-TERM	I-TERM	I-TERM	O
42	учебных	I-TERM	I-TERM	I-TERM	O
43	курсов	I-TERM	I-TERM	I-TERM	O
44	,	O	O	O	O
45	что	O	O	O	O
46	позволяет	O	O	O	O
47	на	O	O	O	O
48	этапе	O	O	O	O
49	составления	O	O	O	O
50	ООП	B-TERM	B-TERM	B-TERM	O
51	выявлять	O	O	O	O
52	необходимость	O	O	O	O
53	перестановки	O	B-TERM	O	O
54	или	O	O	O	O
55	слияния	O	B-TERM	O	O
56	дисциплин	O	I-TERM	O	O
57	,	O	O	O	O
58	а	O	O	O	O
59	также	O	O	O	O
60	достижимость	O	O	O	O
61	всех	O	O	O	O
62	заданных	O	O	O	O
63	компетенций	B-TERM	O	B-TERM	O
64	.	O	O	O	O
65	Имеется	O	O	O	O
66	возможность	O	O	O	O
67	устанавливать	O	O	O	O
68	взаимосвязь	O	O	O	O
69	между	O	O	O	O
70	ООП	B-TERM	B-TERM	B-TERM	O
71	и	O	O	O	O
72	различными	O	O	O	O
73	профессиональными	B-TERM	B-TERM	B-TERM	O
74	стандартами	I-TERM	I-TERM	I-TERM	O
75	.	O	O	O	O
76	В	O	O	O	O
77	системе	O	B-TERM	B-TERM	O
78	реализован	O	O	O	O
79	алгоритм	B-TERM	B-TERM	B-TERM	O
80	построения	I-TERM	I-TERM	I-TERM	O
81	и	I-TERM	I-TERM	I-TERM	O
82	оценки	I-TERM	I-TERM	I-TERM	O
83	всевозможных	I-TERM	I-TERM	I-TERM	O
84	индивидуальных	I-TERM	I-TERM	I-TERM	O
85	траекторий	I-TERM	I-TERM	I-TERM	O
86	обучения	I-TERM	I-TERM	I-TERM	O
87	студента	O	I-TERM	I-TERM	O
88	в	O	O	O	O
89	рамках	O	O	O	O
90	данной	O	O	O	O
91	ООП	B-TERM	B-TERM	B-TERM	O
92	,	O	O	O	O
93	а	O	O	O	O
94	также	O	O	O	O
95	модуль	B-TERM	B-TERM	B-TERM	O
96	рекомендательной	I-TERM	I-TERM	I-TERM	O
97	системы	I-TERM	I-TERM	I-TERM	O
98	,	O	O	O	O
99	помогающей	O	O	O	O
100	пользователям	O	B-TERM	B-TERM	O
101	(	O	O	O	O
102	студентам	O	B-TERM	B-TERM	O
103	)	O	O	O	O
104	в	O	O	O	O
105	выборе	O	O	O	O
106	индивидуальных	B-TERM	B-TERM	B-TERM	O
107	траекторий	I-TERM	I-TERM	I-TERM	O
108	обучения	I-TERM	I-TERM	I-TERM	O
109	.	O	O	O	O
