id	token	Денис	Настя	Лена	auto_tag
0	Разработка	O	B-TERM	B-TERM	O
1	ядра	B-TERM	I-TERM	I-TERM	O
2	онтологической	I-TERM	I-TERM	I-TERM	O
3	модели	I-TERM	I-TERM	I-TERM	O
4	,	O	O	O	O
5	настраиваемой	O	O	O	O
6	под	O	O	O	O
7	предметную	B-TERM	B-TERM	B-TERM	O
8	область	I-TERM	I-TERM	I-TERM	O
					
9	Статья	O	O	O	O
10	посвящена	O	O	O	O
11	разработке	O	B-TERM	B-TERM	O
12	ядра	B-TERM	I-TERM	I-TERM	O
13	онтологической	I-TERM	I-TERM	I-TERM	O
14	модели	I-TERM	I-TERM	I-TERM	O
15	в	O	O	O	O
16	виде	O	O	O	O
17	программной	B-TERM	B-TERM	B-TERM	B-TERM
18	системы	I-TERM	I-TERM	I-TERM	I-TERM
19	,	O	O	O	O
20	настраиваемой	O	O	O	O
21	под	O	O	O	O
22	конкретную	O	O	O	O
23	предметную	B-TERM	B-TERM	B-TERM	O
24	область	I-TERM	I-TERM	I-TERM	O
25	.	O	O	O	O
26	Работа	O	O	O	O
27	основана	O	O	O	O
28	на	O	O	O	O
29	теоретико	B-TERM	B-TERM	B-TERM	O
30	-	I-TERM	I-TERM	I-TERM	O
31	модельном	I-TERM	I-TERM	I-TERM	O
32	подходе	I-TERM	I-TERM	I-TERM	O
33	к	O	O	O	O
34	представлению	B-TERM	B-TERM	B-TERM	B-TERM
35	знаний	I-TERM	I-TERM	I-TERM	I-TERM
36	.	O	O	O	O
37	Для	O	O	O	O
38	представления	B-TERM	B-TERM	B-TERM	B-TERM
39	знаний	I-TERM	I-TERM	I-TERM	I-TERM
40	используются	O	O	O	O
41	фрагменты	O	O	O	O
42	атомарных	B-TERM	B-TERM	B-TERM	O
43	диаграмм	I-TERM	I-TERM	I-TERM	O
44	алгебраических	B-TERM	I-TERM	I-TERM	O
45	систем	I-TERM	I-TERM	I-TERM	O
46	и	O	O	O	O
47	нечеткие	O	B-TERM	B-TERM	O
48	модели	O	I-TERM	I-TERM	O
49	.	O	O	O	O
50	Программная	B-TERM	B-TERM	B-TERM	B-TERM
51	система	I-TERM	I-TERM	I-TERM	I-TERM
52	разбита	O	O	O	O
53	на	O	O	O	O
54	модули	B-TERM	B-TERM	B-TERM	O
55	.	O	O	O	O
56	Базовые	O	O	O	O
57	модули	B-TERM	B-TERM	B-TERM	O
58	реализуют	O	O	O	O
59	функциональность	O	O	O	O
60	,	O	O	O	O
61	необходимую	O	O	O	O
62	для	O	O	O	O
63	любой	O	O	O	O
64	онтологической	B-TERM	B-TERM	B-TERM	O
65	модели	I-TERM	I-TERM	I-TERM	O
66	.	O	O	O	O
67	Например	O	O	O	O
68	,	O	O	O	O
69	проверку	O	O		O
70	на	O	O	O	O
71	непротиворечивость	O	O	B-TERM	O
72	хранящихся	O	O	I-TERM	O
73	знаний	O	O	I-TERM	O
74	.	O	O	O	O
75	Расширение	O	O	O	O
76	функциональности	O	O	O	O
77	происходит	O	O	O	O
78	через	O	O	O	O
79	создание	O	O	O	O
80	новых	O	O	O	O
81	модулей	B-TERM	B-TERM	B-TERM	O
82	и	O	O	O	O
83	их	O	O	O	O
84	добавление	O	O	O	O
85	в	O	O	O	O
86	систему	O	B-TERM	B-TERM	O
87	.	O	O	O	O
88	В	O	O	O	O
89	работе	O	O	O	O
90	приведен	O	O	O	O
91	обзор	O	O	O	O
92	существующих	O	O	O	O
93	программных	B-TERM	O	O	O
94	решений	I-TERM	O	O	O
95	в	O	O	O	O
96	области	O	O	O	O
97	разработки	O	O	O	O
98	онтологий	O	B-TERM	B-TERM	O
99	и	O	O	O	O
100	онтологических	B-TERM	B-TERM	B-TERM	O
101	моделей	I-TERM	I-TERM	I-TERM	O
102	.	O	O	O	O
103	Описана	O	O	O	O
104	структура	B-TERM	O	B-TERM	O
105	ядра	B-TERM	B-TERM	B-TERM	O
106	онтологической	I-TERM	I-TERM	I-TERM	O
107	модели	I-TERM	I-TERM	I-TERM	O
108	,	O	O	O	O
109	приведена	O	O	O	O
110	архитектура	B-TERM	B-TERM	B-TERM	O
111	программного	B-TERM	I-TERM	I-TERM	O
112	решения	I-TERM	I-TERM	I-TERM	O
