id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	B-TERM	B-TERM	O
1	мобильного	I-TERM	I-TERM	I-TERM	O
2	приложения	I-TERM	I-TERM	I-TERM	O
3	визуализации	I-TERM	I-TERM	I-TERM	O
4	технических	I-TERM	I-TERM	I-TERM	O
5	характеристик	I-TERM	I-TERM	I-TERM	O
6	устройств	I-TERM	I-TERM	I-TERM	O
7	под	O	O	O	O
8	OC	B-TERM	B-TERM	B-TERM	O
9	Android	I-TERM	I-TERM	I-TERM	O
10	на	O	O	O	O
11	базе	O	O	O	O
12	технологий	B-TERM	B-TERM	B-TERM	O
13	дополненной	I-TERM	I-TERM	I-TERM	O
14	реальности	I-TERM	I-TERM	I-TERM	O
15	и	O	O	O	O
16	методов	B-TERM	B-TERM	B-TERM	B-TERM
17	машинного	B-TERM	I-TERM	I-TERM	B-TERM
18	обучения	I-TERM	I-TERM	I-TERM	I-TERM
19	В	O	O	O	O
20	последнее	O	O	O	O
21	время	O	O	O	O
22	увеличивается	O	O	O	O
23	количество	O	O	O	O
24	окружающих	O	O	O	O
25	нас	O	O	O	O
26	электронных	B-TERM	B-TERM	B-TERM	O
27	приборов	I-TERM	I-TERM	I-TERM	O
28	,	O	O	O	O
29	возрастает	O	O	O	O
30	и	O	O	O	O
31	их	O	O	O	O
32	техническая	B-TERM	B-TERM	B-TERM	O
33	сложность	I-TERM	I-TERM	I-TERM	O
34	.	O	O	O	O
35	В	O	O	O	O
36	то	O	O	O	O
37	же	O	O	O	O
38	время	O	O	O	O
39	инструкции	B-TERM	B-TERM	B-TERM	O
40	к	O	O	O	O
41	данным	O	O	O	O
42	приборам	B-TERM	O	B-TERM	O
43	читает	O	O	O	O
44	только	O	O	O	O
45	малая	O	O	O	O
46	часть	O	O	O	O
47	людей	O	O	O	O
48	.	O	O	O	O
49	Также	O	O	O	O
50	возможны	O	O	O	O
51	ситуации	O	O	O	O
52	,	O	O	O	O
53	когда	O	O	O	O
54	инструкции	B-TERM	B-TERM	B-TERM	O
55	или	O	O	O	O
56	специалиста	B-TERM	B-TERM	B-TERM	O
57	нет	O	O	O	O
58	рядом	O	O	O	O
59	с	O	O	O	O
60	устройством	B-TERM	B-TERM	B-TERM	O
61	.	O	O	O	O
62	Поэтому	O	O	O	O
63	часто	O	O	O	O
64	встречаются	O	O	O	O
65	случаи	O	O	O	O
66	неправильного	O	B-TERM	O	O
67	использования	O	I-TERM	O	O
68	техники	B-TERM	I-TERM	B-TERM	O
69	.	O	O	O	O
70	В	O	O	O	O
71	связи	O	O	O	O
72	с	O	O	O	O
73	этим	O	O	O	O
74	закономерно	O	O	O	O
75	встает	O	O	O	O
76	задача	B-TERM	B-TERM	B-TERM	O
77	быстрого	I-TERM	I-TERM	I-TERM	O
78	распознавания	I-TERM	I-TERM	I-TERM	O
79	типа	I-TERM	I-TERM	I-TERM	O
80	устройства	I-TERM	I-TERM	I-TERM	O
81	с	O	O	O	O
82	последующим	O	O	O	O
83	выводом	O	B-TERM	B-TERM	O
84	информации	B-TERM	I-TERM	I-TERM	O
85	о	I-TERM	I-TERM	I-TERM	O
86	данном	I-TERM	I-TERM	I-TERM	O
87	устройстве	I-TERM	I-TERM	I-TERM	O
88	.	O	O	O	O
89	В	O	O	O	O
90	работе	O	O	O	O
91	описывается	O	O	O	O
92	процесс	B-TERM	B-TERM	B-TERM	O
93	реализации	I-TERM	I-TERM	I-TERM	O
94	системы	I-TERM	I-TERM	I-TERM	O
95	распознавания	I-TERM	I-TERM	I-TERM	O
96	типа	I-TERM	I-TERM	I-TERM	O
97	устройства	I-TERM	I-TERM	I-TERM	O
98	с	O	O	O	O
99	использованием	O	O	O	O
100	методов	B-TERM	B-TERM	B-TERM	B-TERM
101	машинного	B-TERM	I-TERM	I-TERM	B-TERM
102	обучения	I-TERM	I-TERM	I-TERM	I-TERM
