id	token	Настя	Денис	Лена	tag	tag
0	Используют	O	O	O	O	O
1	ли	O	O	O	O	O
2	российские	B-TERM	O	O	O	O
3	ученые	I-TERM	O	O	O	O
4	современные	B-TERM	B-TERM	B-TERM	O	O
5	технологии	I-TERM	I-TERM	I-TERM	O	O
6	научных	I-TERM	I-TERM	B-TERM	O	O
7	коммуникаций	I-TERM	I-TERM	I-TERM	O	O
8	?	O	O	O	O	O
9	Веб	B-TERM	B-TERM	B-TERM	O	O
10	-	I-TERM	I-TERM	I-TERM	O	O
11	технологии	I-TERM	I-TERM	I-TERM	O	O
12	и	O	O	O	O	O
13	социальные	B-TERM	B-TERM	B-TERM	O	O
14	сети	I-TERM	I-TERM	I-TERM	O	O
15	качественно	O	O	O	O	O
16	изменили	O	O	O	O	O
17	систему	B-TERM	B-TERM	B-TERM	O	O
18	научных	I-TERM	I-TERM	I-TERM	O	O
19	коммуникаций	I-TERM	I-TERM	I-TERM	O	O
20	.	O	O	O	O	O
21	Насколько	O	O	O	O	O
22	успешно	O	O	O	O	O
23	российские	B-TERM	O	O	O	O
24	ученые	I-TERM	O	O	O	O
25	ими	O	O	O	O	O
26	пользуются	O	O	O	O	O
27	?	O	O	O	O	O
28	Это	O	O	O	O	O
29	исследование	B-TERM	B-TERM	B-TERM	O	O
30	состоит	O	O	O	O	O
31	из	O	O	O	O	O
32	двух	O	O	O	O	O
33	частей	O	O	O	O	O
34	.	O	O	O	O	O
35	В	O	O	O	O	O
36	первой	O	O	O	O	O
37	были	O	O	O	O	O
38	изучены	O	O	O	O	O
39	персональные	B-TERM	B-TERM	B-TERM	O	O
40	сайты	I-TERM	I-TERM	I-TERM	O	O
41	(	O	O	O	O	O
42	при	O	O	O	O	O
43	их	O	O	O	O	O
44	наличии	O	O	O	O	O
45	)	O	O	O	O	O
46	действительных	B-TERM	B-TERM	B-TERM	O	O
47	членов	I-TERM	I-TERM	I-TERM	O	O
48	и	O	O	O	O	O
49	членов	B-TERM	B-TERM	B-TERM	O	O
50	-	I-TERM	I-TERM	I-TERM	O	O
51	корреспондентов	I-TERM	I-TERM	I-TERM	O	O
52	Российской	I-TERM	I-TERM	I-TERM	O	O
53	академии	I-TERM	I-TERM	I-TERM	O	O
54	наук	I-TERM	I-TERM	I-TERM	O	O
55	.	O	O	O	O	O
56	Во	O	O	O	O	O
57	второй	O	O	O	O	O
58	–	O	O	O	O	O
59	степень	B-TERM	B-TERM	B-TERM	O	O
60	проникновения	I-TERM	I-TERM	I-TERM	O	O
61	социальной	I-TERM	I-TERM	B-TERM	O	O
62	сети	I-TERM	I-TERM	I-TERM	O	O
63	ResearchGate	I-TERM	I-TERM	I-TERM	O	O
64	в	O	I-TERM	O	O	O
65	российские	B-TERM	I-TERM	B-TERM	O	O
66	научные	I-TERM	I-TERM	I-TERM	O	O
67	организации	I-TERM	I-TERM	I-TERM	O	O
68	.	O	O	O	O	O
69	Оказалось	O	O	O	O	O
70	,	O	O	O	O	O
71	что	O	O	O	O	O
72	около	O	O	O	O	O
73	половины	O	O	O	O	O
74	выдающихся	B-TERM	O	O	O	O
75	ученых	I-TERM	O	O	O	O
76	имеют	O	O	O	O	O
77	свой	O	O	O	O	O
78	персональный	B-TERM	B-TERM	B-TERM	O	O
79	сайт	I-TERM	I-TERM	I-TERM	O	O
80	на	O	O	O	O	O
81	русском	O	O	O	O	O
82	языке	O	O	O	O	O
83	,	O	O	O	O	O
84	но	O	O	O	O	O
85	из	O	O	O	O	O
86	них	O	O	O	O	O
87	более	O	O	O	O	O
88	90	O	O	O	O	O
89	%	O	O	O	O	O
90	не	O	O	O	O	O
91	имеют	O	O	O	O	O
92	сайта	O	B-TERM	B-TERM	O	O
93	на	O	O	O	O	O
94	английском	O	O	O	O	O
95	.	O	O	O	O	O
96	Также	O	O	O	O	O
97	более	O	O	O	O	O
98	90	O	O	O	O	O
99	%	O	O	O	O	O
100	ученых	B-TERM	O	O	O	O
101	не	O	O	O	O	O
102	размещают	O	O	O	O	O
103	на	O	O	O	O	O
104	своих	O	O	O	O	O
105	сайтах	B-TERM	B-TERM	B-TERM	O	O
106	ссылки	O	B-TERM	B-TERM	O	O
107	на	O	O	O	O	O
108	полные	O	O	O	O	O
109	тексты	B-TERM	O	B-TERM	O	O
110	статей	I-TERM	B-TERM	I-TERM	O	O
111	и	O	O	O	O	O
112	не	O	O	O	O	O
113	зарегистрированы	O	O	O	O	O
114	в	O	O	O	O	O
115	ResearchGate	B-TERM	B-TERM	B-TERM	O	O
116	.	O	O	O	O	O
