id	token	Настя	Денис	Лена	tag
0	Некоторые	O	O	O	O
1	подходы	B-TERM	B-TERM	B-TERM	O
2	к	I-TERM	I-TERM	I-TERM	O
3	хранению	I-TERM	I-TERM	I-TERM	O
4	информации	I-TERM	I-TERM	I-TERM	O
5	о	O	O	O	O
6	книгообеспеченности	B-TERM	B-TERM	B-TERM	O
7	учебного	I-TERM	I-TERM	B-TERM	B-TERM
8	процесса	I-TERM	I-TERM	I-TERM	I-TERM
9	высшего	I-TERM	I-TERM	B-TERM	O
10	учебного	I-TERM	I-TERM	I-TERM	O
11	заведения	I-TERM	I-TERM	I-TERM	O
12	Рассматриваются	O	O	O	O
13	три	O	O	O	O
14	подхода	B-TERM	B-TERM	B-TERM	O
15	к	I-TERM	I-TERM	I-TERM	O
16	хранению	I-TERM	I-TERM	I-TERM	O
17	информации	I-TERM	I-TERM	I-TERM	O
18	о	O	O	O	O
19	книгообеспеченности	B-TERM	B-TERM	B-TERM	O
20	учебного	I-TERM	I-TERM	B-TERM	B-TERM
21	процесса	I-TERM	I-TERM	I-TERM	I-TERM
22	при	O	O	O	O
23	различных	O	O	O	O
24	вариантах	O	O	O	O
25	интеграции	B-TERM	B-TERM	B-TERM	O
26	автоматизированной	I-TERM	I-TERM	I-TERM	O
27	библиотечной	I-TERM	I-TERM	I-TERM	O
28	информационной	I-TERM	I-TERM	I-TERM	B-TERM
29	системы	I-TERM	I-TERM	I-TERM	I-TERM
30	(	O	O	O	O
31	АБИС	B-TERM	B-TERM	B-TERM	O
32	)	O	O	O	O
33	с	O	O	O	O
34	информационной	B-TERM	B-TERM	B-TERM	B-TERM
35	системой	I-TERM	I-TERM	I-TERM	I-TERM
36	вуза	I-TERM	I-TERM	B-TERM	O
37	:	O	O	O	O
38	внутри	O	O	O	O
39	АБИС	B-TERM	B-TERM	B-TERM	O
40	в	O	O	O	O
41	формате	B-TERM	B-TERM	B-TERM	O
42	RUSMARC	I-TERM	I-TERM	I-TERM	O
43	,	O	O	O	O
44	в	O	O	O	O
45	виде	O	O	O	O
46	реляционной	B-TERM	B-TERM	B-TERM	O
47	базы	I-TERM	I-TERM	I-TERM	O
48	данных	I-TERM	I-TERM	I-TERM	O
49	,	O	O	O	O
50	с	O	O	O	O
51	использованием	O	O	O	O
52	технологии	B-TERM	B-TERM	B-TERM	O
53	OLAP	I-TERM	I-TERM	I-TERM	O
54	.	O	O	O	O
55	Анализируются	O	O	O	O
56	преимущества	B-TERM	O	O	O
57	и	O	O	O	O
58	недостатки	B-TERM	O	O	O
59	каждого	O	O	O	O
60	подхода	B-TERM	B-TERM	B-TERM	O
61	,	O	O	O	O
62	приводятся	O	O	O	O
63	примеры	O	O	O	O
64	организации	O	B-TERM	B-TERM	O
65	хранения	B-TERM	I-TERM	I-TERM	O
66	данных	I-TERM	I-TERM	I-TERM	O
67	(	O	O	O	O
68	поля	B-TERM	B-TERM	B-TERM	O
69	RUSMARC	I-TERM	I-TERM	I-TERM	O
70	,	O	O	O	O
71	измерения	B-TERM	B-TERM	B-TERM	O
72	и	O	O	O	O
73	меры	B-TERM	B-TERM	B-TERM	O
74	для	I-TERM	O	O	O
75	кубов	I-TERM	B-TERM	B-TERM	O
76	OLAP	I-TERM	I-TERM	I-TERM	O
77	).	O	O	O	O
