id	token	Настя	Денис	Лена	tag
0	Подход	B-TERM	B-TERM	B-TERM	O
1	к	I-TERM	I-TERM	I-TERM	O
2	построению	I-TERM	I-TERM	I-TERM	O
3	расширенных	I-TERM	I-TERM	I-TERM	O
4	тематических	I-TERM	I-TERM	I-TERM	O
5	моделей	I-TERM	I-TERM	I-TERM	O
6	текстов	I-TERM	I-TERM	I-TERM	O
7	на	O	O	O	O
8	русском	O	B-TERM	O	O
9	языке	O	I-TERM	O	O
10	Представлен	O	O	O	O
11	новый	O	O	O	O
12	подход	B-TERM	B-TERM	B-TERM	O
13	для	I-TERM	O	O	O
14	получения	I-TERM	O	O	O
15	расширенных	I-TERM	B-TERM	B-TERM	O
16	тематических	I-TERM	I-TERM	I-TERM	O
17	моделей	I-TERM	I-TERM	I-TERM	O
18	текстов	I-TERM	I-TERM	I-TERM	O
19	научных	I-TERM	I-TERM	I-TERM	O
20	статей	I-TERM	I-TERM	I-TERM	O
21	на	O	O	O	O
22	русском	O	B-TERM	O	O
23	языке	O	I-TERM	O	O
24	.	O	O	O	O
25	Под	O	O	O	O
26	расширенной	B-TERM	B-TERM	B-TERM	O
27	моделью	I-TERM	I-TERM	I-TERM	O
28	понимается	O	O	O	O
29	тематическая	B-TERM	B-TERM	B-TERM	O
30	модель	I-TERM	I-TERM	I-TERM	O
31	,	O	O	O	O
32	содержащая	O	O	O	O
33	кроме	O	O	O	O
34	однословных	B-TERM	B-TERM	B-TERM	O
35	терминов	I-TERM	I-TERM	I-TERM	O
36	термины	B-TERM	B-TERM	B-TERM	O
37	,	O	O	O	O
38	состоящие	O	O	O	O
39	из	O	O	O	O
40	нескольких	O	O	O	O
41	слов	O	O	O	O
42	(	O	O	O	O
43	также	O	O	O	O
44	называемые	O	O	O	O
45	многословные	B-TERM	B-TERM	B-TERM	O
46	термины	I-TERM	I-TERM	I-TERM	O
47	или	O	O	O	O
48	ключевые	B-TERM	B-TERM	B-TERM	O
49	фра	I-TERM	I-TERM	I-TERM	O
50	зы	I-TERM	I-TERM	I-TERM	O
51	).	O	O	O	O
52	Такие	O	O	O	O
53	модели	B-TERM	O	O	O
54	лучше	O	O	O	O
55	интерпретируются	O	O	O	O
56	пользователями	B-TERM	B-TERM	B-TERM	O
57	и	O	O	O	O
58	точнее	O	O	O	O
59	описывают	O	O	O	O
60	предметную	B-TERM	B-TERM	B-TERM	B-TERM
61	область	I-TERM	I-TERM	I-TERM	I-TERM
62	документа	I-TERM	I-TERM	I-TERM	O
63	,	O	O	O	O
64	чем	O	O	O	O
65	модели	B-TERM	O	B-TERM	O
66	,	O	O	O	O
67	состоящие	O	O	O	O
68	только	O	O	O	O
69	из	O	O	O	O
70	униграмм	B-TERM	B-TERM	B-TERM	O
71	(	O	O	O	O
72	отдельных	O	O	B-TERM	O
73	слов	O	O	I-TERM	O
74	).	O	O	O	O
75	На	O	O	O	O
76	основе	O	O	O	O
77	предложенного	O	O	O	O
78	подхода	B-TERM	B-TERM	B-TERM	O
79	была	O	O	O	O
80	разработана	O	O	O	O
81	система	B-TERM	B-TERM	B-TERM	O
82	,	O	O	O	O
83	в	O	O	O	O
84	результате	O	O	O	O
85	работы	O	O	O	O
86	которой	O	O	O	O
87	для	O	O	O	O
88	каждого	O	O	O	O
89	документа	B-TERM	B-TERM	B-TERM	O
90	предоставляется	O	O	O	O
91	набор	O	O	O	O
92	содержащихся	O	O	O	O
93	в	O	O	O	O
94	нем	O	O	O	O
95	тем	B-TERM	O	B-TERM	O
96	с	O	O	O	O
97	указанными	O	O	O	O
98	вероятностями	B-TERM	B-TERM	B-TERM	O
99	,	O	O	O	O
100	ключевыми	B-TERM	B-TERM	B-TERM	O
101	словами	I-TERM	I-TERM	I-TERM	O
102	и	I-TERM	O	O	O
103	фразами	I-TERM	B-TERM	B-TERM	O
104	для	O	O	O	O
105	каждой	O	O	O	O
106	темы	B-TERM	B-TERM	B-TERM	O
107	.	O	O	O	O
108	Предложенный	O	O	O	O
109	в	O	O	O	O
110	статье	O	O	O	O
111	подход	B-TERM	B-TERM	B-TERM	O
112	может	O	O	O	O
113	быть	O	O	O	O
114	полезен	O	O	O	O
115	при	O	O	O	O
116	построении	O	O	O	O
117	рекомендательных	B-TERM	B-TERM	B-TERM	O
118	систем	I-TERM	I-TERM	I-TERM	O
119	и	O	O	O	O
120	систем	B-TERM	B-TERM	B-TERM	O
121	авто	I-TERM	I-TERM	I-TERM	O
122	-	I-TERM	I-TERM	I-TERM	O
123	реферирования	I-TERM	I-TERM	I-TERM	O
124	.	O	O	O	O
