id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	O	O	O
1	сервиса	I-TERM	B-TERM	B-TERM	O
2	задания	I-TERM	I-TERM	I-TERM	O
3	сценариев	I-TERM	I-TERM	I-TERM	O
4	предъявления	I-TERM	I-TERM	I-TERM	O
5	стимулов	I-TERM	I-TERM	I-TERM	O
6	с	O	O	O	O
7	использованием	O	O	O	O
8	модельно	B-TERM	B-TERM	B-TERM	O
9	-	I-TERM	I-TERM	I-TERM	O
10	ориентированного	I-TERM	I-TERM	I-TERM	O
11	подхода	I-TERM	I-TERM	I-TERM	O
12	Современная	B-TERM	O	O	O
13	физиология	I-TERM	B-TERM	B-TERM	O
14	не	O	O	O	O
15	может	O	O	O	O
16	обойтись	O	O	O	O
17	без	O	O	O	O
18	методов	B-TERM	B-TERM	B-TERM	O
19	количественного	I-TERM	I-TERM	I-TERM	O
20	анализа	I-TERM	I-TERM	I-TERM	O
21	данных	I-TERM	I-TERM	I-TERM	O
22	.	O	O	O	O
23	Необходимым	O	O	O	O
24	условием	O	O	O	O
25	для	O	O	O	O
26	использования	O	O	O	O
27	математической	B-TERM	B-TERM	B-TERM	O
28	статистики	I-TERM	I-TERM	I-TERM	O
29	,	O	O	O	O
30	анализа	B-TERM	B-TERM	B-TERM	O
31	сигналов	I-TERM	I-TERM	I-TERM	O
32	и	O	O	O	O
33	машинного	B-TERM	B-TERM	B-TERM	B-TERM
34	обучения	I-TERM	I-TERM	I-TERM	I-TERM
35	является	O	O	O	O
36	наличие	O	O	O	O
37	должным	O	O	O	O
38	образом	O	O	O	O
39	собранных	B-TERM	O	B-TERM	O
40	,	O	O	O	O
41	размеченных	B-TERM	O	B-TERM	O
42	и	O	O	O	O
43	подготовленных	B-TERM	O	B-TERM	O
44	данных	I-TERM	B-TERM	I-TERM	O
45	.	O	O	O	O
46	С	O	O	O	O
47	возможностью	O	O	O	O
48	совместной	O	B-TERM	B-TERM	O
49	обработки	O	I-TERM	I-TERM	O
50	данных	O	I-TERM	I-TERM	O
51	,	O	O	O	O
52	собранных	O	O	O	O
53	в	O	O	O	O
54	разных	O	O	O	O
55	условиях	O	O	O	O
56	и	O	O	O	O
57	в	O	O	O	O
58	рамках	O	O	O	O
59	разных	O	O	O	O
60	протоколов	B-TERM	B-TERM	B-TERM	O
61	экспериментов	I-TERM	I-TERM	I-TERM	O
62	,	O	O	O	O
63	появилась	O	O	O	O
64	потребность	O	O	O	O
65	в	O	O	O	O
66	наличии	O	O	O	O
67	структурированной	B-TERM	B-TERM	B-TERM	O
68	метаинформации	I-TERM	I-TERM	I-TERM	O
69	.	O	O	O	O
70	В	O	O	O	O
71	настоящее	O	O	O	O
72	время	O	O	O	O
73	существует	O	O	O	O
74	множество	O	O	O	O
75	программных	B-TERM	B-TERM	B-TERM	B-TERM
76	систем	I-TERM	I-TERM	I-TERM	I-TERM
77	,	O	O	O	O
78	позволяющих	O	O	O	O
79	создавать	O	O	O	O
80	,	O	O	O	O
81	редактировать	O	O	O	O
82	и	O	O	O	O
83	запускать	O	O	O	O
84	сценарии	B-TERM	B-TERM	B-TERM	O
85	представления	I-TERM	I-TERM	I-TERM	O
86	стимулов	I-TERM	I-TERM	I-TERM	O
87	.	O	O	O	O
88	Их	O	O	O	O
89	проблемой	O	O	O	O
90	является	O	O	O	O
91	сложность	O	O	O	O
92	использования	O	O	O	O
93	реализованного	O	O	O	O
94	сценария	B-TERM	B-TERM	B-TERM	O
95	как	O	O	O	O
96	в	O	O	O	O
97	рамках	O	O	O	O
98	других	O	O	O	O
99	систем	B-TERM	B-TERM	B-TERM	O
100	,	O	O	O	O
101	так	O	O	O	O
102	и	O	O	O	O
103	для	O	O	O	O
104	аннотирования	B-TERM	B-TERM	B-TERM	O
105	данных	I-TERM	I-TERM	I-TERM	O
106	,	O	O	O	O
107	полученных	O	O	O	O
108	экспериментально	O	O	O	O
109	.	O	O	O	O
110	Целью	O	O	O	O
111	работы	O	O	O	O
112	является	O	O	O	O
113	разработка	O	O	O	O
114	сервиса	b	O	B-TERM	O
115	,	O	O	O	O
116	позволяющего	O	O	O	O
117	задавать	O	O	O	O
118	сценарии	B-TERM	B-TERM	B-TERM	O
119	представления	I-TERM	I-TERM	I-TERM	O
120	стимулов	O	I-TERM	I-TERM	O
121	с	O	O	O	O
122	помощью	O	O	O	O
123	графического	B-TERM	B-TERM	B-TERM	B-TERM
124	интерфейса	I-TERM	I-TERM	I-TERM	I-TERM
125	с	O	O	O	O
126	возможностью	O	O	O	O
127	сохранять	O	O	O	O
128	метаинформацию	B-TERM	B-TERM	B-TERM	O
129	эксперимента	I-TERM	I-TERM	I-TERM	O
