id	token	Денис	Настя	Лена		
0	Код	B-TERM	B-TERM	B-TERM		
1	«	O	I-TERM	I-TERM		
2	Виртуальный	B-TERM	I-TERM	I-TERM		
3	планетарий	I-TERM	I-TERM	I-TERM		
4	»	O	I-TERM	I-TERM		
5	для	O	I-TERM	O		
6	моделирования	B-TERM	I-TERM	B-TERM		
7	астрофизических	I-TERM	I-TERM	I-TERM		
8	объектов	I-TERM	I-TERM	I-TERM		
9	:	O	O	O		
10	математическая	B-TERM	B-TERM	B-TERM		
11	модель	I-TERM	I-TERM	I-TERM		
12	,	O	O	O		
13	методология	B-TERM	B-TERM	B-TERM		
14	и	O	O	O		
15	первые	O	O	O		
16	результаты	O	B-TERM	B-TERM		
17	Сложность	O	O	O		
18	астрофизических	B-TERM	B-TERM	B-TERM		
19	процессов	I-TERM	I-TERM	I-TERM		
20	заключается	O	O	O		
21	в	O	O	O		
22	совместном	B-TERM	O	O		
23	рассмотрении	I-TERM	O	O		
24	компонент	B-TERM	O	O		
25	различной	I-TERM	O	O		
26	природы	I-TERM	O	O		
27	.	O	O	O		
28	Так	O	O	O		
29	,	O	O	O		
30	например	O	O	O		
31	,	O	O	O		
32	в	O	O	O		
33	задаче	B-TERM	O	B-TERM		
34	столкновения	I-TERM	O	I-TERM		
35	галактик	I-TERM	O	I-TERM		
36	рассматривается	O	O	O		
37	трехмерная	B-TERM	B-TERM	B-TERM	или	B-TERM
38	динамика	I-TERM	I-TERM	I-TERM		I-TERM
39	межзвездного	I-TERM	I-TERM	I-TERM		B-TERM
40	газа	I-TERM	I-TERM	I-TERM		I-TERM
41	и	O	I-TERM	I-TERM		O
42	звездной	B-TERM	I-TERM	I-TERM		B-TERM
43	компоненты	I-TERM	I-TERM	I-TERM		I-TERM
44	.	O	O	O		
45	В	O	O	O		
46	основе	O	O	O		
47	моделирования	B-TERM	O	B-TERM		
48	этих	O	O	O		
49	компонент	B-TERM	B-TERM	B-TERM		
50	могут	O	O	O		
51	лежать	O	O	O		
52	совершенно	O	O	O		
53	разные	O	O	O		
54	классы	B-TERM	B-TERM	B-TERM	или	O
55	численных	I-TERM	I-TERM	I-TERM		B-TERM
56	методов	I-TERM	I-TERM	I-TERM		I-TERM
57	.	O	O	O		
58	Одним	O	O	O		
59	из	O	O	O		
60	возможных	O	O	O		
61	решений	O	O	O		
62	этой	O	O	O		
63	проблемы	O	O	O		
64	является	O	O	O		
65	использование	O	O	O		
