id	token	Денис	Настя	Лена
0	Автоматический	O	B-TERM	B-TERM
1	рефакторинг	B-TERM	I-TERM	I-TERM
2	Java	I-TERM	I-TERM	I-TERM
3	-	I-TERM	I-TERM	I-TERM
4	кода	I-TERM	I-TERM	I-TERM
5	с	O	I-TERM	O
6	использованием	O	I-TERM	O
7	Stream	B-TERM	I-TERM	B-TERM
8	API	I-TERM	I-TERM	I-TERM
9	Долгое	O	O	O
10	время	O	O	O
11	функциональное	B-TERM	B-TERM	B-TERM
12	программирование	I-TERM	I-TERM	I-TERM
13	на	O	O	O
14	Java	B-TERM	B-TERM	B-TERM
15	было	O	O	O
16	невозможно	O	O	O
17	.	O	O	O
18	Однако	O	O	O
19	в	O	O	O
20	8	O	O	O
21	версии	O	O	O
22	Java	B-TERM	B-TERM	B-TERM
23	языке	O	I-TERM	I-TERM
24	появились	O	O	O
25	лямбда	B-TERM	B-TERM	B-TERM
26	-	I-TERM	I-TERM	I-TERM
27	выражения	I-TERM	I-TERM	I-TERM
28	.	O	O	O
29	Благодаря	O	O	O
30	поддержке	O	O	O
31	стандартных	O	O	O
32	библиотечных	B-TERM	B-TERM	B-TERM
33	классов	I-TERM	I-TERM	I-TERM
34	(	O	O	O
35	Stream	B-TERM	B-TERM	B-TERM
36	,	O	O	O
37	Optional	B-TERM	B-TERM	B-TERM
38	и	O	O	O
39	т	O	O	O
40	.	O	O	O
41	д	O	O	O
42	.)	O	O	O
43	на	O	O	O
44	Java	B-TERM	B-TERM	B-TERM
45	стало	O	O	O
46	возможно	O	O	O
47	описывать	O	O	O
48	преобразования	B-TERM	O	B-TERM
49	над	I-TERM	O	I-TERM
50	данными	I-TERM	O	I-TERM
51	в	O	O	O
52	функциональном	B-TERM	B-TERM	B-TERM
53	стиле	I-TERM	I-TERM	I-TERM
54	.	O	O	O
55	Java	B-TERM	B-TERM	B-TERM
56	-	O	O	O
57	достаточно	O	O	O
58	старый	O	O	O
59	язык	B-TERM	B-TERM	O
60	,	O	O	O
61	на	O	O	O
62	нем	O	O	O
63	написано	O	O	O
64	большое	O	O	O
65	количество	O	O	O
66	императивного	B-TERM	B-TERM	B-TERM
67	кода	I-TERM	I-TERM	I-TERM
68	.	O	O	O
69	Для	O	O	O
70	того	O	O	O
71	,	O	O	O
72	чтобы	O	O	O
73	воспользоваться	O	O	O
74	преимуществами	O	O	O
75	нового	O	O	O
76	подхода	B-TERM	B-TERM	B-TERM
77	,	O	O	O
78	требуется	O	O	O
79	выполнить	O	O	O
80	нетривиальный	O	B-TERM	O
81	рефакторинг	B-TERM	I-TERM	B-TERM
82	,	O	O	O
83	что	O	O	O
84	в	O	O	O
85	случае	O	O	O
86	осуществления	O	O	O
87	человеком	O	O	O
88	может	O	O	O
89	быть	O	O	O
90	весьма	O	O	O
91	утомительным	O	O	O
92	,	O	O	O
93	легко	O	O	O
94	совершить	O	O	O
95	ошибку	O	O	O
96	.	O	O	O
97	К	O	O	O
98	счастью	O	O	O
99	,	O	O	O
100	для	O	O	O
101	достаточно	O	O	O
102	большого	O	O	O
103	количества	O	O	O
104	ситуаций	O	O	O
105	данный	O	O	O
106	рефакторинг	B-TERM	B-TERM	B-TERM
107	можно	O	O	O
108	безопасно	O	O	O
109	осуществить	O	O	O
110	автоматически	O	O	O
111	.	O	O	O
112	На	O	O	O
113	основе	O	O	O
114	IntelliJ	B-TERM	B-TERM	B-TERM
115	Idea	I-TERM	I-TERM	I-TERM
116	был	O	O	O
117	разработан	O	O	O
118	программный	B-TERM	B-TERM	B-TERM
119	инструмент	I-TERM	I-TERM	I-TERM
120	,	O	O	O
121	который	O	O	O
122	позволяет	O	O	O
123	обнаружить	O	O	O
124	места	O	O	O
125	,	O	O	O
126	где	O	O	O
127	возможно	O	O	O
128	автоматическое	O	B-TERM	O
129	преобразование	B-TERM	I-TERM	B-TERM
130	императивного	I-TERM	I-TERM	I-TERM
131	кода	I-TERM	I-TERM	I-TERM
132	в	O	I-TERM	O
133	эквивалентный	O	I-TERM	O
134	с	O	I-TERM	O
135	использованием	O	I-TERM	O
136	Stream	B-TERM	I-TERM	B-TERM
137	API	I-TERM	O	I-TERM
138	,	O	O	O
139	а	O	O	O
140	также	O	O	O
141	автоматическое	O	B-TERM	B-TERM
142	исправление	O	I-TERM	I-TERM
143	,	O	O	O
144	которое	O	O	O
145	позволяет	O	O	O
146	произвести	O	O	O
147	замену	O	B-TERM	B-TERM
148	.	O	O	O
149	Рефакторинг	B-TERM	B-TERM	B-TERM
150	пользуется	O	O	O
151	средствами	O	B-TERM	O
152	IntelliJ	B-TERM	I-TERM	B-TERM
153	Idea	I-TERM	I-TERM	I-TERM
154	для	O	O	O
155	анализа	B-TERM	B-TERM	B-TERM
156	Java	B-TERM	B-TERM	B-TERM
157	кода	I-TERM	I-TERM	I-TERM
158	,	O	O	O
159	а	O	O	O
160	также	O	O	O
161	интегрируется	O	O	O
162	в	O	O	O
163	саму	O	O	O
164	IDE	B-TERM	B-TERM	B-TERM
165	.	O	O	O
166	Одним	O	O	O
167	из	O	O	O
168	основных	O	O	O
