id	token	Настя	Денис	Лена	tag
0	Методика	B-TERM	B-TERM	B-TERM	O
1	автоматического	I-TERM	I-TERM	I-TERM	O
2	тестирования	I-TERM	I-TERM	I-TERM	O
3	развивающегося	I-TERM	I-TERM	O	O
4	веб	I-TERM	I-TERM	B-TERM	O
5	-	I-TERM	I-TERM	I-TERM	O
6	приложения	I-TERM	I-TERM	I-TERM	O
7	Статья	O	O	O	O
8	посвящена	O	O	O	O
9	методике	B-TERM	B-TERM	B-TERM	O
10	автоматизированного	I-TERM	I-TERM	I-TERM	O
11	тестирования	I-TERM	I-TERM	I-TERM	O
12	системы	I-TERM	I-TERM	B-TERM	O
13	автоматической	I-TERM	I-TERM	I-TERM	O
14	оценки	I-TERM	I-TERM	I-TERM	O
15	заданий	I-TERM	I-TERM	I-TERM	O
16	по	I-TERM	O	O	O
17	программированию	I-TERM	B-TERM	O	O
18	NSUts	I-TERM	B-TERM	O	O
19	.	O	O	O	O
20	При	O	O	O	O
21	разработке	O	B-TERM	O	O
22	методики	O	I-TERM	B-TERM	O
23	главным	O	O	O	O
24	приоритетом	O	O	O	O
25	было	O	O	O	O
26	параллельное	B-TERM	B-TERM	B-TERM	O
27	тестирование	I-TERM	I-TERM	I-TERM	O
28	старой	I-TERM	O	O	O
29	и	I-TERM	O	O	O
30	новой	I-TERM	O	O	O
31	версий	I-TERM	B-TERM	O	O
32	приложения	I-TERM	I-TERM	O	O
33	так	O	O	O	O
34	,	O	O	O	O
35	чтобы	O	O	O	O
36	одни	O	O	O	O
37	и	O	O	O	O
38	те	O	O	O	O
39	же	O	O	O	O
40	или	O	O	O	O
41	минимально	B-TERM	B-TERM	O	O
42	модифицированные	I-TERM	I-TERM	O	O
43	тесты	I-TERM	I-TERM	B-TERM	O
44	проходили	O	O	O	O
45	на	O	O	O	O
46	двух	O	O	O	O
47	версиях	O	B-TERM	O	O
48	системы	B-TERM	I-TERM	B-TERM	O
49	с	O	O	O	O
50	различными	O	O	O	O
51	архитектурами	B-TERM	B-TERM	B-TERM	O
52	.	O	O	O	O
53	Мы	O	O	O	O
54	надеемся	O	O	O	O
55	,	O	O	O	O
56	что	O	O	O	O
57	наш	O	O	O	O
58	опыт	O	O	O	O
59	будет	O	O	O	O
60	полезен	O	O	O	O
61	при	O	O	O	O
62	выстраивании	O	B-TERM	O	O
63	процесса	B-TERM	I-TERM	B-TERM	O
64	разработки	I-TERM	I-TERM	I-TERM	O
65	других	I-TERM	O	O	O
66	приложений	I-TERM	B-TERM	B-TERM	O
67	с	O	O	O	O
68	длительным	O	B-TERM	O	O
69	жизненным	B-TERM	I-TERM	B-TERM	B-TERM
70	циклом	I-TERM	I-TERM	I-TERM	I-TERM
71	.	O	O	O	O
72	Чтобы	O	O	O	O
73	тестировать	O	O	O	O
74	не	O	O	O	O
75	только	O	O	O	O
76	серверную	B-TERM	B-TERM	B-TERM	O
77	,	O	O	O	O
78	но	O	O	O	O
79	и	O	O	O	O
