id	token	Настя	Денис	Лена	tag
0	Теоретико	B-TERM	B-TERM	B-TERM	O
1	-	I-TERM	I-TERM	I-TERM	O
2	алгоритмическая	I-TERM	I-TERM	I-TERM	O
3	база	I-TERM	I-TERM	I-TERM	O
4	и	O	O	O	O
5	компьютерное	B-TERM	B-TERM	B-TERM	B-TERM
6	моделирование	I-TERM	I-TERM	I-TERM	I-TERM
7	данных	I-TERM	I-TERM	I-TERM	O
8	диэлектрического	I-TERM	I-TERM	I-TERM	O
9	каротажа	I-TERM	I-TERM	I-TERM	O
10	для	O	O	O	O
11	изучения	O	O	O	O
12	частотного	B-TERM	B-TERM	B-TERM	O
13	спектра	I-TERM	I-TERM	I-TERM	O
14	электрофизических	I-TERM	I-TERM	I-TERM	O
15	параметров	I-TERM	I-TERM	I-TERM	O
16	геологической	I-TERM	I-TERM	I-TERM	O
17	среды	I-TERM	I-TERM	I-TERM	O
18	Статья	O	O	O	O
19	посвящена	O	O	O	O
20	разработке	O	B-TERM	O	O
21	теоретической	B-TERM	I-TERM	B-TERM	O
22	базы	I-TERM	I-TERM	I-TERM	O
23	компьютерного	I-TERM	I-TERM	I-TERM	B-TERM
24	моделирования	I-TERM	I-TERM	I-TERM	I-TERM
25	данных	I-TERM	I-TERM	I-TERM	O
26	диэлектрического	I-TERM	I-TERM	I-TERM	O
27	каротажа	I-TERM	I-TERM	I-TERM	O
28	с	O	O	O	O
29	целью	O	O	O	O
30	обоснования	O	B-TERM	O	O
31	нового	O	O	O	O
32	импортозамещающего	B-TERM	B-TERM	O	O
33	оборудования	I-TERM	I-TERM	O	O
34	для	I-TERM	O	O	O
35	каротажа	I-TERM	B-TERM	B-TERM	O
36	нефтяных	I-TERM	I-TERM	I-TERM	O
37	и	I-TERM	I-TERM	I-TERM	O
38	газовых	I-TERM	I-TERM	I-TERM	O
39	скважин	I-TERM	I-TERM	I-TERM	O
40	.	O	O	O	O
41	Разработаны	O	O	O	O
42	алгоритмы	O	B-TERM	B-TERM	O
43	и	O	O	O	O
44	реализованы	O	O	O	O
45	быстрые	O	O	O	O
46	программы	B-TERM	B-TERM	B-TERM	O
47	компьютерного	I-TERM	I-TERM	I-TERM	B-TERM
48	моделирования	I-TERM	I-TERM	I-TERM	I-TERM
49	высокочастотных	I-TERM	I-TERM	I-TERM	O
50	электромагнитных	I-TERM	I-TERM	I-TERM	O
51	сигналов	I-TERM	I-TERM	I-TERM	O
52	в	O	O	O	O
53	рамках	O	O	O	O
54	слоисто	B-TERM	B-TERM	B-TERM	O
55	-	I-TERM	I-TERM	I-TERM	O
56	однородных	I-TERM	I-TERM	I-TERM	O
57	моделей	I-TERM	I-TERM	I-TERM	O
58	сред	I-TERM	I-TERM	I-TERM	O
59	.	O	O	O	O
60	По	O	O	O	O
61	результатам	O	O	O	O
62	масштабного	B-TERM	B-TERM	O	O
63	моделирования	I-TERM	I-TERM	B-TERM	O
64	амплитудно	I-TERM	I-TERM	I-TERM	O
65	-	I-TERM	I-TERM	I-TERM	O
66	фазовых	I-TERM	I-TERM	I-TERM	O
67	характеристик	I-TERM	I-TERM	I-TERM	O
68	высокочастотного	I-TERM	I-TERM	I-TERM	O
69	поля	I-TERM	I-TERM	I-TERM	O
70	установлена	O	O	O	O
71	их	O	O	O	O
72	зависимость	O	O	B-TERM	O
73	от	O	O	O	O
74	частотного	B-TERM	B-TERM	B-TERM	O
75	спектра	I-TERM	I-TERM	I-TERM	O
76	электрофизических	I-TERM	I-TERM	I-TERM	O
77	параметров	I-TERM	I-TERM	I-TERM	O
78	.	O	O	O	O
79	Проведенные	O	O	O	O
80	исследования	O	O	O	O
81	позволяют	O	O	O	O
82	выполнить	O	O	O	O
83	научное	B-TERM	B-TERM	B-TERM	O
84	обоснование	I-TERM	I-TERM	I-TERM	O
85	и	O	O	O	O
86	оптимальное	B-TERM	O	O	O
87	проектирование	I-TERM	B-TERM	B-TERM	O
88	новой	O	O	O	O
89	электромагнитной	B-TERM	B-TERM	B-TERM	O
90	зондирующей	I-TERM	I-TERM	I-TERM	O
91	системы	I-TERM	I-TERM	I-TERM	O
92	.	O	O	O	O
