id	token	Настя	Денис	Лена	tag
0	Формирование	B-TERM	B-TERM	B-TERM	O
1	базового	I-TERM	I-TERM	I-TERM	O
2	словаря	I-TERM	I-TERM	I-TERM	O
3	жестов	I-TERM	I-TERM	I-TERM	O
4	для	O	O	O	O
5	естественного	B-TERM	B-TERM	B-TERM	O
6	компьютерного	I-TERM	I-TERM	I-TERM	O
7	бесконтактного	I-TERM	I-TERM	I-TERM	O
8	интерфейса	I-TERM	I-TERM	I-TERM	O
9	Исследуются	O	O	O	O
10	возможности	O	O	O	O
11	бесконтактных	B-TERM	B-TERM	B-TERM	O
12	систем	I-TERM	I-TERM	I-TERM	O
13	и	I-TERM	O	O	O
14	интерфейсов	I-TERM	B-TERM	B-TERM	O
15	,	O	O	O	O
16	главные	O	O	O	O
17	принципы	O	B-TERM	O	O
18	работы	O	I-TERM	O	O
19	с	O	O	O	O
20	такими	O	O	O	O
21	технологиями	B-TERM	B-TERM	B-TERM	O
22	.	O	O	O	O
23	Рассмотрена	O	O	O	O
24	возможность	O	O	O	O
25	применения	O	O	O	O
26	подобных	O	O	O	O
27	систем	B-TERM	B-TERM	B-TERM	O
28	для	O	O	O	O
29	упрощения	O	O	O	O
30	взаимодействия	B-TERM	B-TERM	B-TERM	O
31	пользователей	I-TERM	I-TERM	I-TERM	O
32	с	I-TERM	I-TERM	I-TERM	O
33	ограничениями	I-TERM	I-TERM	I-TERM	O
34	возможностями	I-TERM	I-TERM	I-TERM	O
35	здоровья	I-TERM	I-TERM	I-TERM	O
36	с	O	O	O	O
37	компьютерным	B-TERM	B-TERM	B-TERM	O
38	интерфейсом	I-TERM	I-TERM	I-TERM	O
39	.	O	O	O	O
40	Приведены	O	O	O	O
41	особенности	O	O	O	O
42	и	O	O	O	O
43	преимущества	O	O	O	O
44	использования	O	O	O	O
45	естественных	B-TERM	B-TERM	B-TERM	O
46	интерфейсов	I-TERM	I-TERM	I-TERM	O
47	и	I-TERM	O	O	O
48	систем	I-TERM	B-TERM	B-TERM	O
49	,	O	O	O	O
50	основанных	O	O	O	O
51	на	O	O	O	O
52	жестовом	B-TERM	B-TERM	B-TERM	O
53	управлении	I-TERM	I-TERM	I-TERM	O
54	.	O	O	O	O
55	Также	O	O	O	O
56	детально	O	O	O	O
57	рассмотрены	O	O	O	O
58	этапы	B-TERM	B-TERM	B-TERM	O
59	формирования	I-TERM	I-TERM	I-TERM	O
60	базового	I-TERM	I-TERM	I-TERM	O
61	словаря	I-TERM	I-TERM	I-TERM	O
62	жестов	I-TERM	I-TERM	I-TERM	O
63	для	O	O	O	O
64	дальнейшего	O	O	O	O
65	его	O	O	O	O
66	применения	O	O	O	O
67	в	O	O	O	O
68	бесконтактном	B-TERM	B-TERM	B-TERM	O
69	интерфейсе	I-TERM	I-TERM	I-TERM	O
70	.	O	O	O	O
71	В	O	O	O	O
72	качестве	O	O	O	O
73	дополнительного	O	O	O	O
74	аппаратного	B-TERM	B-TERM	B-TERM	O
75	обеспечения	I-TERM	I-TERM	I-TERM	O
76	для	O	O	O	O
77	получения	O	O	O	O
78	более	O	O	O	O
79	точных	O	O	O	O
80	результатов	O	B-TERM	B-TERM	O
81	распознавания	O	I-TERM	I-TERM	O
82	таких	O	O	O	O
83	жестов	B-TERM	B-TERM	B-TERM	O
84	рассмотрено	O	O	O	O
85	устройство	B-TERM	B-TERM	B-TERM	O
86	Microsoft	I-TERM	I-TERM	I-TERM	O
87	Kinect	O	I-TERM	I-TERM	O
88	.	O	O	O	O
