id	token	Настя	Денис	Лена	tag
0	Модели	B-TERM	B-TERM	B-TERM	O
1	и	O	O	O	O
2	проектные	B-TERM	B-TERM	B-TERM	O
3	решения	I-TERM	I-TERM	I-TERM	O
4	системы	I-TERM	B-TERM	B-TERM	B-TERM
5	хранения	I-TERM	I-TERM	I-TERM	I-TERM
6	и	O	I-TERM	I-TERM	O
7	обработки	B-TERM	I-TERM	I-TERM	O
8	исследовательских	I-TERM	I-TERM	I-TERM	O
9	данных	I-TERM	I-TERM	I-TERM	O
10	Ecclesia	I-TERM	I-TERM	I-TERM	O
11	В	O	O	O	O
12	ходе	O	O	O	O
13	научных	B-TERM	B-TERM	B-TERM	O
14	исследований	I-TERM	I-TERM	I-TERM	O
15	порождается	O	O	O	O
16	большое	O	O	O	O
17	количество	O	O	O	O
18	данных	O	B-TERM	B-TERM	O
19	в	O	O	O	O
20	цифровом	B-TERM	B-TERM	B-TERM	O
21	формате	I-TERM	I-TERM	I-TERM	O
22	,	O	O	O	O
23	и	O	O	O	O
24	для	O	O	O	O
25	после	O	O	O	O
26	-	O	O	O	O
27	дующего	O	O	O	O
28	использования	O	O	O	O
29	этих	O	O	O	O
30	данных	O	B-TERM	B-TERM	O
31	(	O	O	O	O
32	обработки	B-TERM	B-TERM	B-TERM	O
33	,	O	O	O	O
34	анализа	B-TERM	B-TERM	B-TERM	O
35	,	O	O	O	O
36	публикации	B-TERM	I-TERM	I-TERM	O
37	)	O	O	O	O
38	их	O	O	O	O
39	необходимо	O	O	O	O
40	организованно	O	O	O	O
41	собирать	O	B-TERM	O	O
42	и	O	O	O	O
43	хранить	O	B-TERM	O	O
44	.	O	O	O	O
45	Построение	O	O	O	O
46	информационной	B-TERM	B-TERM	B-TERM	O
47	инфраструктуры	I-TERM	I-TERM	I-TERM	O
48	для	O	O	O	O
49	решения	O	O	O	O
50	этих	O	O	O	O
51	задач	O	B-TERM	B-TERM	O
52	–	O	O	O	O
53	одна	O	O	O	O
54	из	O	O	O	O
55	наиболее	O	O	O	O
56	актуальных	O	O	O	O
57	проблем	O	B-TERM	B-TERM	O
58	в	O	O	O	O
59	области	B-TERM	O	B-TERM	O
60	организации	I-TERM	O	I-TERM	O
61	работы	I-TERM	O	I-TERM	O
62	с	O	O	O	O
63	экспериментальными	B-TERM	B-TERM	B-TERM	O
64	данными	I-TERM	I-TERM	I-TERM	O
65	.	O	O	O	O
66	Авторами	O	O	O	O
67	настоящей	O	O	O	O
68	статьи	O	O	O	O
69	разрабатывается	O	O	O	O
70	информационная	B-TERM	B-TERM	B-TERM	B-TERM
71	система	I-TERM	I-TERM	I-TERM	I-TERM
72	для	O	O	O	O
73	автоматизации	B-TERM	B-TERM	B-TERM	O
74	сбора	B-TERM	I-TERM	I-TERM	O
75	,	O	O	O	O
76	хранения	B-TERM	B-TERM	B-TERM	O
77	и	O	O	O	O
78	анализа	B-TERM	B-TERM	B-TERM	O
79	данных	I-TERM	I-TERM	I-TERM	O
80	,	O	O	O	O
81	в	O	O	O	O
82	качестве	O	O	O	O
83	отправной	O	O	O	O
84	точки	O	O	O	O
85	для	O	O	O	O
86	которой	O	O	O	O
87	используются	O	O	O	O
88	три	O	O	O	O
89	задачи	O	B-TERM	B-TERM	O
90	обработки	O	I-TERM	I-TERM	O
91	данных	O	I-TERM	I-TERM	O
92	из	O	O	O	O
93	области	B-TERM	B-TERM	B-TERM	O
94	физиологии	I-TERM	I-TERM	I-TERM	O
95	.	O	O	O	O
96	Рассмотрены	O	O	O	O
97	и	O	O	O	O
98	проанализированы	O	O	O	O
99	возникающие	O	O	O	O
100	в	O	O	O	O
101	процессе	O	O	O	O
102	разработки	O	B-TERM	O	O
103	такой	O	O	O	O
104	системы	B-TERM	B-TERM	B-TERM	O
105	проблемы	O	B-TERM	B-TERM	O
106	,	O	O	O	O
107	а	O	O	O	O
108	также	O	O	O	O
109	существующие	O	O	O	O
110	подходы	B-TERM	B-TERM	B-TERM	O
111	и	O	O	O	O
112	готовые	O	O	O	O
113	решения	B-TERM	B-TERM	B-TERM	O
114	этих	O	O	O	O
115	и	O	O	O	O
116	схожих	O	O	O	O
117	задач	O	B-TERM	B-TERM	O
118	.	O	O	O	O
119	На	O	O	O	O
120	основе	O	O	O	O
121	результатов	O	O	O	O
122	проведенного	O	O	O	O
123	анализа	B-TERM	B-TERM	B-TERM	O
124	предложен	O	O	O	O
125	ряд	O	O	O	O
126	моделей	B-TERM	B-TERM	B-TERM	O
127	и	O	O	O	O
128	механизмов	B-TERM	B-TERM	B-TERM	O
129	для	O	O	O	O
130	решения	O	O	O	O
131	возникших	O	O	O	O
132	проблем	O	B-TERM	B-TERM	O
133	.	O	O	O	O
134	Разработанные	O	O	O	O
135	решения	O	B-TERM	B-TERM	O
136	включают	O	O	O	O
137	в	O	O	O	O
138	себя	O	O	O	O
139	модели	B-TERM	B-TERM	B-TERM	O
140	и	O	O	O	O
141	механизмы	B-TERM	B-TERM	B-TERM	O
142	сбора	I-TERM	I-TERM	I-TERM	O
143	и	I-TERM	I-TERM	I-TERM	O
144	хранения	I-TERM	I-TERM	I-TERM	O
145	экспериментальных	I-TERM	I-TERM	I-TERM	O
