id	token	Настя	Денис	Лена	tag	tag
0	Атрибутная	B-TERM	B-TERM	B-TERM	O	O
1	конвейерная	I-TERM	I-TERM	I-TERM	O	O
2	модель	I-TERM	I-TERM	I-TERM	O	O
3	для	O	O	O	O	O
4	интерактивной	B-TERM	B-TERM	B-TERM	O	O
5	визуализации	I-TERM	I-TERM	I-TERM	O	O
6	объектных	I-TERM	I-TERM	I-TERM	O	O
7	связей	I-TERM	I-TERM	I-TERM	O	O
8	Определена	O	O	O	O	O
9	модель	B-TERM	B-TERM	B-TERM	O	O
10	для	I-TERM	O	O	O	O
11	визуализации	I-TERM	B-TERM	B-TERM	O	O
12	связей	I-TERM	I-TERM	I-TERM	O	O
13	между	O	I-TERM	I-TERM	O	O
14	объектами	B-TERM	I-TERM	I-TERM	O	O
15	и	O	O	O	O	O
16	их	O	O	O	O	O
17	атрибутами	I-TERM	B-TERM	B-TERM	O	O
18	в	O	O	O	O	O
19	различных	O	O	O	O	O
20	процессах	B-TERM	B-TERM	B-TERM	O	O
21	.	O	O	O	O	O
22	На	O	O	O	O	O
23	основании	O	O	O	O	O
24	модели	B-TERM	B-TERM	B-TERM	O	O
25	разработан	O	O	O	O	O
26	универсальный	B-TERM	B-TERM	B-TERM	O	O
27	абстрактный	I-TERM	I-TERM	I-TERM	O	O
28	компонент	I-TERM	I-TERM	I-TERM	O	O
29	графического	I-TERM	I-TERM	I-TERM	B-TERM	B-TERM
30	пользовательского	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
31	интерфейса	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
32	и	O	O	O	O	O
33	приведены	O	O	O	O	O
34	примеры	O	O	O	O	O
35	его	O	O	O	O	O
36	программной	B-TERM	B-TERM	B-TERM	O	O
37	реализации	I-TERM	I-TERM	I-TERM	O	O
38	.	O	O	O	O	O
39	Также	O	O	O	O	O
40	проведена	O	O	O	O	O
41	апробация	O	O	O	O	O
42	компонента	B-TERM	B-TERM	B-TERM	O	O
43	для	O	O	O	O	O
44	решения	O	O	O	O	O
45	прикладной	O	O	O	O	O
46	задачи	O	O	O	O	O
47	по	O	O	O	O	O
48	извлечению	B-TERM	B-TERM	B-TERM	O	O
49	информации	I-TERM	I-TERM	I-TERM	O	O
50	из	I-TERM	O	O	O	O
51	документов	I-TERM	B-TERM	B-TERM	O	O
52	.	O	O	O	O	O
