id	token	Настя	Денис	Лена	tag
0	Локализация	B-TERM	B-TERM	B-TERM	O
1	источников	I-TERM	I-TERM	I-TERM	O
2	активности	I-TERM	I-TERM	I-TERM	O
3	мозга	I-TERM	I-TERM	I-TERM	O
4	на	O	O	O	O
5	его	O	O	O	O
6	трехмерной	B-TERM	B-TERM	B-TERM	O
7	модели	I-TERM	I-TERM	I-TERM	O
8	при	O	O	O	O
9	помощи	O	O	O	O
10	совместного	B-TERM	B-TERM	B-TERM	O
11	анализа	I-TERM	I-TERM	I-TERM	O
12	данных	I-TERM	I-TERM	I-TERM	O
13	ЭЭГ	I-TERM	I-TERM	I-TERM	O
14	/	I-TERM	I-TERM	I-TERM	O
15	cМРТ	I-TERM	I-TERM	I-TERM	O
16	Несмотря	O	O	O	O
17	на	O	O	O	O
18	большое	O	O	O	O
19	количество	O	O	O	O
20	существующих	O	O	O	O
21	методов	B-TERM	B-TERM	B-TERM	O
22	диагностики	I-TERM	I-TERM	I-TERM	O
23	головного	I-TERM	I-TERM	I-TERM	O
24	мозга	I-TERM	I-TERM	I-TERM	O
25	,	O	O	O	O
26	он	O	O	O	O
27	остается	O	O	O	O
28	наименее	O	O	O	O
29	изученной	O	O	O	O
30	частью	O	O	O	O
31	человеческого	O	O	O	O
32	организма	O	O	O	O
33	.	O	O	O	O
34	Электроэнцефалография	B-TERM	B-TERM	B-TERM	O
35	(	O	O	O	O
36	ЭЭГ	B-TERM	B-TERM	B-TERM	O
37	)	O	O	O	O
38	–	O	O	O	O
39	один	O	O	O	O
40	из	O	O	O	O
41	наиболее	O	O	O	O
42	популярных	O	O	O	O
43	методов	B-TERM	B-TERM	B-TERM	O
44	исследования	I-TERM	I-TERM	I-TERM	O
45	мозговой	I-TERM	I-TERM	I-TERM	B-TERM
46	активности	I-TERM	I-TERM	I-TERM	I-TERM
47	.	O	O	O	O
48	Это	O	O	O	O
49	обусловлено	O	O	O	O
50	относительной	O	O	O	O
51	дешевизной	O	O	O	O
52	,	O	O	O	O
53	безвредностью	O	O	O	O
54	и	O	O	O	O
55	мобильностью	O	O	O	O
56	оборудования	O	O	O	O
57	.	O	O	O	O
58	При	O	O	O	O
59	анализе	B-TERM	B-TERM	B-TERM	O
60	данных	I-TERM	I-TERM	I-TERM	O
61	ЭЭГ	I-TERM	I-TERM	I-TERM	O
62	возникает	O	O	O	O
63	проблема	O	B-TERM	O	O
64	решения	O	I-TERM	O	O
65	обратной	B-TERM	I-TERM	B-TERM	B-TERM
66	задачи	I-TERM	I-TERM	I-TERM	I-TERM
67	электроэнцефалографии	I-TERM	I-TERM	I-TERM	O
68	–	O	O	O	O
69	локализации	B-TERM	B-TERM	B-TERM	O
70	источников	I-TERM	I-TERM	I-TERM	O
71	электрической	I-TERM	I-TERM	I-TERM	O
72	активности	I-TERM	I-TERM	I-TERM	O
73	мозга	I-TERM	I-TERM	I-TERM	O
74	.	O	O	O	O
75	Ее	O	O	O	O
76	можно	O	O	O	O
77	сформулировать	O	O	O	O
78	следующим	O	O	O	O
79	образом	O	O	O	O
80	:	O	O	O	O
81	по	O	O	O	O
82	сигналам	B-TERM	B-TERM	B-TERM	O
83	,	O	O	O	O
84	регистрируемым	O	O	O	O
85	на	O	O	O	O
86	поверхности	B-TERM	B-TERM	B-TERM	O
87	головы	I-TERM	I-TERM	I-TERM	O
88	,	O	O	O	O
89	необходимо	O	O	O	O
90	определить	O	O	O	O
91	,	O	O	O	O
92	в	O	O	O	O
93	какой	O	O	O	O
94	области	B-TERM	B-TERM	B-TERM	O
95	мозга	I-TERM	I-TERM	I-TERM	O
96	расположены	O	O	O	O
97	источники	B-TERM	O	B-TERM	O
98	этих	O	O	O	O
99	сигналов	B-TERM	O	B-TERM	O
100	.	O	O	O	O
101	Целью	O	O	O	O
102	исследования	O	O	O	O
103	является	O	O	O	O
104	разработка	B-TERM	O	O	O
105	программной	I-TERM	B-TERM	B-TERM	B-TERM
106	системы	I-TERM	I-TERM	I-TERM	I-TERM
107	для	O	O	O	O
108	локализации	B-TERM	B-TERM	B-TERM	O
109	источников	I-TERM	I-TERM	I-TERM	O
110	мозговой	I-TERM	I-TERM	I-TERM	B-TERM
111	активности	I-TERM	I-TERM	I-TERM	I-TERM
112	на	O	O	O	O
113	основе	O	O	O	O
114	совместного	B-TERM	B-TERM	B-TERM	O
115	анализа	I-TERM	I-TERM	I-TERM	O
116	данных	I-TERM	I-TERM	I-TERM	O
117	ЭЭГ	I-TERM	I-TERM	I-TERM	O
118	и	I-TERM	I-TERM	I-TERM	O
119	сМРТ	I-TERM	I-TERM	I-TERM	O
120	.	O	O	O	O
121	Существуют	O	O	O	O
122	различные	O	O	O	O
123	подходы	B-TERM	O	O	O
124	к	I-TERM	O	O	O
125	решению	I-TERM	B-TERM	B-TERM	O
126	обратной	I-TERM	I-TERM	I-TERM	B-TERM
127	задачи	I-TERM	I-TERM	I-TERM	I-TERM
128	ЭЭГ	I-TERM	I-TERM	I-TERM	O
129	.	O	O	O	O
130	Для	O	O	O	O
131	получения	O	O	O	O
132	наиболее	O	O	O	O
133	точных	O	O	O	O
134	результатов	O	O	O	O
135	некоторые	O	O	O	O
136	из	O	O	O	O
137	них	O	O	O	O
138	предполагают	O	O	O	O
139	использование	O	O	O	O
140	данных	B-TERM	B-TERM	B-TERM	O
141	сМРТ	I-TERM	I-TERM	I-TERM	O
142	(	O	O	O	O
143	изображений	B-TERM	B-TERM	B-TERM	O
144	структурной	I-TERM	I-TERM	I-TERM	O
145	магнитнорезонансной	I-TERM	I-TERM	I-TERM	O
146	томографии	I-TERM	I-TERM	I-TERM	O
147	),	O	O	O	O
148	описывающих	O	O	O	O
149	индивидуальную	B-TERM	O	O	O
150	анатомию	I-TERM	B-TERM	B-TERM	O
151	головы	I-TERM	I-TERM	I-TERM	O
152	человека	I-TERM	I-TERM	I-TERM	O
153	.	O	O	O	O
154	В	O	O	O	O
155	этой	O	O	O	O
156	работе	O	O	O	O
157	используется	O	O	O	O
158	один	O	O	O	O
159	из	O	O	O	O
160	таких	O	O	O	O
161	подходов	B-TERM	O	B-TERM	O
162	–	O	O	O	O
163	EMSICA	B-TERM	B-TERM	B-TERM	O
164	(	O	O	O	O
165	Electromagnetic	B-TERM	B-TERM	B-TERM	O
166	Spatiotemporal	I-TERM	I-TERM	I-TERM	O
167	Independent	I-TERM	I-TERM	I-TERM	O
168	Component	I-TERM	I-TERM	I-TERM	O
169	Analysis	I-TERM	I-TERM	I-TERM	O
170	),	O	O	O	O
171	предложенный	O	O	O	O
172	A	O	O	O	O
173	.	O	O	O	O
174	Tsai	O	O	O	O
175	.	O	O	O	O
176	В	O	O	O	O
177	статье	O	O	O	O
178	рассмотрены	O	O	O	O
179	основные	O	O	O	O
180	этапы	B-TERM	O	B-TERM	O
181	работы	I-TERM	O	I-TERM	O
182	системы	I-TERM	O	I-TERM	O
183	,	O	O	O	O
184	такие	O	O	O	O
185	как	O	O	O	O
186	предварительная	B-TERM	O	B-TERM	O
187	обработка	I-TERM	O	I-TERM	O
188	исходных	I-TERM	B-TERM	I-TERM	O
189	данных	I-TERM	I-TERM	I-TERM	O
190	;	O	O	O	O
191	расчет	B-TERM	O	B-TERM	O
192	специальной	I-TERM	B-TERM	I-TERM	O
193	матрицы	I-TERM	I-TERM	I-TERM	O
194	подхода	I-TERM	I-TERM	I-TERM	O
195	EMSICA	I-TERM	I-TERM	I-TERM	O
196	,	O	O	O	O
197	значения	O	O	O	O
198	которой	O	O	O	O
199	показывают	O	O	O	O
200	уровень	B-TERM	B-TERM	B-TERM	O
201	активности	I-TERM	I-TERM	I-TERM	O
202	определенного	I-TERM	I-TERM	I-TERM	O
203	участка	I-TERM	I-TERM	I-TERM	O
204	мозга	I-TERM	I-TERM	I-TERM	O
205	;	O	O	O	O
206	визуализация	B-TERM	O	B-TERM	O
207	источников	I-TERM	B-TERM	I-TERM	O
208	активности	I-TERM	I-TERM	I-TERM	O
209	мозга	I-TERM	I-TERM	I-TERM	O
210	на	O	O	O	O
211	его	O	O	O	O
212	трехмерной	B-TERM	B-TERM	B-TERM	O
213	модели	I-TERM	I-TERM	I-TERM	O
214	.	O	O	O	O
