id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	B-TERM	B-TERM	O
1	музыкальной	I-TERM	I-TERM	I-TERM	O
2	рекомендательной	I-TERM	I-TERM	I-TERM	O
3	системы	I-TERM	I-TERM	I-TERM	O
4	на	O	O	O	O
5	основе	O	O	O	O
6	обработки	B-TERM	B-TERM	B-TERM	O
7	метаданных	I-TERM	I-TERM	I-TERM	O
8	контента	I-TERM	I-TERM	I-TERM	O
9	Музыкальная	B-TERM	B-TERM	B-TERM	O
10	рекомендательная	I-TERM	I-TERM	I-TERM	O
11	система	I-TERM	I-TERM	I-TERM	O
12	(	O	O	O	O
13	МРС	B-TERM	B-TERM	B-TERM	O
14	)	O	O	O	O
15	помогает	O	O	O	O
16	пользователям	O	B-TERM	O	O
17	музыкальных	B-TERM	I-TERM	B-TERM	O
18	стриминговых	I-TERM	I-TERM	I-TERM	O
19	сервисов	I-TERM	I-TERM	I-TERM	O
20	находить	O	O	O	O
21	интересующий	O	O	O	O
22	их	O	O	O	O
23	музыкальный	B-TERM	B-TERM	B-TERM	O
24	контент	I-TERM	I-TERM	I-TERM	O
25	.	O	O	O	O
26	Разреженность	B-TERM	B-TERM	B-TERM	O
27	пользовательских	I-TERM	I-TERM	I-TERM	O
28	оценок	I-TERM	I-TERM	I-TERM	O
29	–	O	O	O	O
30	одна	O	O	O	O
31	из	O	O	O	O
32	главных	O	O	O	O
33	проблем	B-TERM	B-TERM	B-TERM	O
34	исследования	I-TERM	I-TERM	I-TERM	O
35	МРС	I-TERM	I-TERM	I-TERM	O
36	.	O	O	O	O
37	Она	O	O	O	O
38	вызвана	O	O	O	O
39	тем	O	O	O	O
40	,	O	O	O	O
41	что	O	O	O	O
42	пользователь	B-TERM	B-TERM	B-TERM	O
43	оценивает	O	O	O	O
44	лишь	O	O	O	O
45	малую	O	O	O	O
46	долю	O	O	O	O
47	объектов	B-TERM	B-TERM	B-TERM	O
48	музыкального	I-TERM	I-TERM	I-TERM	O
49	каталога	I-TERM	I-TERM	I-TERM	O
50	.	O	O	O	O
51	В	O	O	O	O
52	результате	O	O	O	O
53	МРС	B-TERM	B-TERM	B-TERM	O
54	часто	O	O	O	O
55	не	O	O	O	O
56	обладает	O	O	O	O
57	достаточным	O	O	O	O
58	набором	O	B-TERM	B-TERM	O
59	данных	O	I-TERM	I-TERM	O
60	для	O	O	O	O
61	составления	O	B-TERM	O	O
62	рекомендаций	B-TERM	I-TERM	B-TERM	O
63	.	O	O	O	O
64	В	O	O	O	O
65	статье	O	O	O	O
66	предложен	O	O	O	O
67	подход	B-TERM	O	B-TERM	O
68	для	O	O	O	O
69	решения	O	B-TERM	O	O
70	проблемы	B-TERM	I-TERM	B-TERM	O
71	разреженности	I-TERM	I-TERM	I-TERM	O
72	пользовательских	I-TERM	I-TERM	I-TERM	O
73	оценок	I-TERM	I-TERM	I-TERM	O
74	на	O	O	O	O
75	основе	O	O	O	O
76	использования	O	B-TERM	O	O
77	оценок	B-TERM	I-TERM	B-TERM	O
78	связанных	I-TERM	I-TERM	I-TERM	O
79	объектов	I-TERM	I-TERM	I-TERM	O
80	.	O	O	O	O
81	Описана	O	O	O	O
82	гибридная	B-TERM	B-TERM	B-TERM	O
83	МРС	I-TERM	I-TERM	I-TERM	O
84	,	O	O	O	O
85	использующая	O	O	O	O
86	как	O	O	O	O
87	нормализованные	B-TERM	O	O	O
88	пользовательские	I-TERM	B-TERM	B-TERM	O
89	оценки	I-TERM	I-TERM	I-TERM	O
90	треков	O	I-TERM	I-TERM	O
91	,	O	O	O	O
92	альбомов	O	B-TERM	B-TERM	O
93	,	O	O	O	O
94	артистов	O	B-TERM	B-TERM	O
95	,	O	O	O	O
96	жанров	O	B-TERM	B-TERM	O
97	,	O	O	O	O
98	так	O	O	O	O
99	и	O	O	O	O
100	информацию	O	O	O	O
101	о	O	O	O	O
102	связях	O	B-TERM	O	O
103	между	O	I-TERM	O	O
104	объектами	O	I-TERM	O	O
105	разных	O	I-TERM	O	O
106	типов	O	I-TERM	O	O
107	.	O	O	O	O
108	Произведена	O	O	O	O
109	оценка	B-TERM	B-TERM	B-TERM	O
110	эффективности	I-TERM	I-TERM	I-TERM	O
111	разработанной	I-TERM	I-TERM	O	O
112	МРС	I-TERM	I-TERM	B-TERM	O
113	,	O	O	O	O
114	а	O	O	O	O
115	также	O	O	O	O
116	произведен	O	O	O	O
117	сравнительный	B-TERM	B-TERM	B-TERM	B-TERM
118	анализ	I-TERM	I-TERM	I-TERM	I-TERM
119	предложенного	I-TERM	I-TERM	I-TERM	O
120	подхода	I-TERM	I-TERM	I-TERM	O
121	с	O	O	O	O
122	коллаборативным	B-TERM	B-TERM	B-TERM	O
123	методом	I-TERM	I-TERM	I-TERM	O
124	предсказания	I-TERM	I-TERM	I-TERM	O
125	пользовательских	I-TERM	I-TERM	I-TERM	O
126	предпочтений	I-TERM	I-TERM	I-TERM	O
127	.	O	O	O	O
