id	token	Настя	Денис	Лена	tag	tag
0	Применение	O	O	O	O	O
1	методов	B-TERM	B-TERM	B-TERM	O	O
2	нелинейной	I-TERM	I-TERM	I-TERM	O	O
3	динамики	I-TERM	I-TERM	I-TERM	O	O
4	для	O	O	O	O	O
5	исследования	O	O	O	O	O
6	хаотичности	B-TERM	B-TERM	B-TERM	O	O
7	сигналов	I-TERM	I-TERM	I-TERM	O	O
8	-	I-TERM	I-TERM	I-TERM	O	O
9	переносчиков	I-TERM	I-TERM	I-TERM	O	O
10	защищенных	I-TERM	I-TERM	I-TERM	O	O
11	систем	I-TERM	I-TERM	I-TERM	O	O
12	связи	I-TERM	I-TERM	I-TERM	O	O
13	на	O	O	O	O	O
14	основе	O	O	O	O	O
15	динамического	B-TERM	B-TERM	B-TERM	O	O
16	хаоса	I-TERM	I-TERM	I-TERM	O	O
17	Исследуется	O	O	O	O	O
18	хаотичность	B-TERM	B-TERM	B-TERM	O	O
19	передаваемых	I-TERM	I-TERM	I-TERM	O	O
20	сигналов	I-TERM	I-TERM	I-TERM	O	O
21	защищенных	I-TERM	I-TERM	I-TERM	O	O
22	систем	I-TERM	I-TERM	I-TERM	O	O
23	связи	I-TERM	I-TERM	I-TERM	O	O
24	на	O	O	O	O	O
25	основе	O	O	O	O	O
26	динамического	B-TERM	B-TERM	B-TERM	O	O
27	хаоса	I-TERM	I-TERM	I-TERM	O	O
28	с	O	O	O	O	O
29	помощью	O	O	O	O	O
30	распространенных	O	O	O	O	O
31	методов	B-TERM	B-TERM	B-TERM	O	O
32	нелинейной	I-TERM	I-TERM	I-TERM	O	O
33	динамики	I-TERM	I-TERM	I-TERM	O	O
34	(	O	O	O	O	O
35	максимальный	B-TERM	B-TERM	B-TERM	O	O
36	показатель	I-TERM	I-TERM	I-TERM	O	O
37	Ляпунова	I-TERM	I-TERM	I-TERM	O	O
38	,	O	O	O	O	O
39	показатель	B-TERM	B-TERM	B-TERM	O	O
40	Хёрста	I-TERM	I-TERM	I-TERM	O	O
41	и	O	O	O	O	O
42	рекуррентные	B-TERM	B-TERM	B-TERM	O	O
43	графики	I-TERM	I-TERM	I-TERM	O	O
44	).	O	O	O	O	O
45	В	O	O	O	O	O
46	качестве	O	O	O	O	O
47	защищенной	B-TERM	B-TERM	B-TERM	O	O
48	системы	I-TERM	I-TERM	I-TERM	O	O
49	связи	I-TERM	I-TERM	I-TERM	O	O
50	на	O	O	O	O	O
51	основе	O	O	O	O	O
52	динамического	B-TERM	B-TERM	B-TERM	O	O
53	хаоса	I-TERM	I-TERM	I-TERM	O	O
54	рассмотрено	O	O	O	O	O
55	устройство	B-TERM	B-TERM	B-TERM	O	O
56	имитозащиты	I-TERM	I-TERM	I-TERM	O	O
57	контролируемых	I-TERM	I-TERM	I-TERM	O	O
58	объектов	I-TERM	I-TERM	I-TERM	O	O
59	с	O	O	O	O	O
60	повышенной	B-TERM	O	B-TERM	O	O
61	структурной	I-TERM	B-TERM	I-TERM	O	O
62	скрытностью	I-TERM	I-TERM	I-TERM	O	O
63	сигналов	I-TERM	I-TERM	I-TERM	O	O
64	-	I-TERM	I-TERM	I-TERM	O	O
65	переносчиков	I-TERM	I-TERM	I-TERM	O	O
66	.	O	O	O	O	O
67	С	O	O	O	O	O
68	помощью	O	O	O	O	O
69	методов	B-TERM	B-TERM	B-TERM	O	O
70	нелинейной	I-TERM	I-TERM	I-TERM	O	O
71	динамики	I-TERM	I-TERM	I-TERM	O	O
72	,	O	O	O	O	O
73	проведено	O	O	O	O	O
74	исследование	O	O	O	O	O
75	временных	B-TERM	B-TERM	B-TERM	O	O
76	реализаций	I-TERM	I-TERM	I-TERM	O	O
77	передаваемых	O	O	O	O	O
78	в	O	O	O	O	O
79	канале	O	B-TERM	B-TERM	O	O
80	связи	O	I-TERM	I-TERM	O	O
81	сигналов	B-TERM	B-TERM	B-TERM	O	O
82	,	O	O	O	O	O
83	полученных	O	O	O	O	O
84	в	O	O	O	O	O
85	среде	B-TERM	B-TERM	B-TERM	O	O
86	ScicosLab	I-TERM	I-TERM	I-TERM	O	O
87	с	O	O	O	O	O
88	помощью	O	O	O	O	O
89	рассматриваемого	O	O	O	O	O
90	устройства	B-TERM	B-TERM	B-TERM	O	O
91	.	O	O	O	O	O
92	Анализ	O	B-TERM	B-TERM	O	O
93	полученных	O	O	O	O	O
94	данных	O	O	O	O	O
95	показывает	O	O	O	O	O
96	,	O	O	O	O	O
97	что	O	O	O	O	O
98	исследуемые	O	O	O	O	O
99	сигналы	B-TERM	B-TERM	B-TERM	O	O
100	в	O	O	O	O	O
101	целом	O	O	O	O	O
102	обладают	O	O	O	O	O
103	свойствами	B-TERM	B-TERM	B-TERM	O	O
104	хаотичности	I-TERM	I-TERM	I-TERM	O	O
105	и	O	O	O	O	O
106	потенциально	O	O	O	O	O
107	могут	O	O	O	O	O
108	обеспечить	O	O	O	O	O
109	защищенность	B-TERM	B-TERM	B-TERM	O	O
110	передаваемой	O	O	O	O	O
111	в	O	O	O	O	O
112	беспроводных	B-TERM	B-TERM	B-TERM	O	O
113	каналах	I-TERM	I-TERM	I-TERM	O	O
114	связи	I-TERM	I-TERM	I-TERM	O	O
115	информации	O	B-TERM	B-TERM	O	O
116	от	O	O	O	O	O
117	несанкционированного	B-TERM	B-TERM	B-TERM	O	O
118	доступа	I-TERM	I-TERM	I-TERM	O	O
119	.	O	O	O	O	O
120	Описанный	O	O	O	O	O
121	в	O	O	O	O	O
122	данной	O	O	O	O	O
123	работе	O	O	O	O	O
124	подход	B-TERM	B-TERM	B-TERM	O	O
125	к	O	O	O	O	O
126	исследованию	O	O	O	O	O
127	хаотичности	B-TERM	B-TERM	B-TERM	O	O
128	передаваемых	I-TERM	I-TERM	I-TERM	O	O
129	сигналов	I-TERM	I-TERM	I-TERM	O	O
130	,	O	O	O	O	O
131	основанный	O	O	O	O	O
132	на	O	O	O	O	O
133	комплексном	O	O	O	O	O
134	применении	O	O	O	O	O
135	известного	O	O	O	O	O
136	математического	O	B-TERM	B-TERM	B-TERM	B-TERM
137	аппарата	O	I-TERM	I-TERM	I-TERM	I-TERM
138	методов	B-TERM	I-TERM	B-TERM	O	O
139	нелинейной	I-TERM	I-TERM	I-TERM	O	O
140	динамики	I-TERM	I-TERM	I-TERM	O	O
141	,	O	O	O	O	O
142	потенциально	O	O	O	O	O
143	можно	O	O	O	O	O
144	применять	O	O	O	O	O
145	для	O	O	O	O	O
146	исследования	O	O	O	O	O
147	хаотичности	B-TERM	B-TERM	B-TERM	O	O
148	передаваемых	I-TERM	I-TERM	I-TERM	O	O
149	сигналов	I-TERM	I-TERM	I-TERM	O	O
150	широкого	I-TERM	I-TERM	I-TERM	O	O
151	класса	I-TERM	I-TERM	I-TERM	O	O
152	систем	I-TERM	I-TERM	B-TERM	O	O
153	защищенной	I-TERM	I-TERM	I-TERM	O	O
154	связи	I-TERM	I-TERM	I-TERM	O	O
155	на	O	O	O	O	O
156	основе	O	O	O	O	O
157	динамического	B-TERM	B-TERM	B-TERM	O	O
158	хаоса	I-TERM	I-TERM	I-TERM	O	O
159	.	O	O	O	O	O
