id	token	Настя	Денис	Лена	tag
0	Компьютерная	B-TERM	B-TERM	B-TERM	O
1	база	I-TERM	I-TERM	I-TERM	O
2	данных	I-TERM	I-TERM	I-TERM	O
3	для	O	O	O	O
4	анализа	B-TERM	B-TERM	B-TERM	O
5	дифференциально	I-TERM	I-TERM	I-TERM	O
6	экспрессирующихся	I-TERM	I-TERM	I-TERM	O
7	генов	I-TERM	I-TERM	I-TERM	O
8	,	O	O	O	O
9	связанных	O	O	O	O
10	с	O	O	O	O
11	агрессивным	B-TERM	B-TERM	B-TERM	O
12	поведением	I-TERM	I-TERM	I-TERM	O
13	,	O	O	O	O
14	на	O	O	O	O
15	моделях	B-TERM	B-TERM	B-TERM	O
16	лабораторных	I-TERM	I-TERM	I-TERM	O
17	животных	I-TERM	I-TERM	I-TERM	O
18	Разработка	O	O	O	O
19	и	O	O	O	O
20	применение	O	O	O	O
21	компьютерных	B-TERM	B-TERM	B-TERM	O
22	средств	I-TERM	I-TERM	I-TERM	O
23	анализа	I-TERM	I-TERM	I-TERM	O
24	транскриптомных	I-TERM	I-TERM	I-TERM	O
25	данных	I-TERM	I-TERM	I-TERM	O
26	в	O	O	O	O
27	модельных	B-TERM	B-TERM	B-TERM	O
28	организмах	I-TERM	I-TERM	I-TERM	O
29	животных	I-TERM	I-TERM	I-TERM	O
30	представляет	O	O	O	O
31	актуальную	O	O	O	O
32	задачу	O	B-TERM	O	O
33	биоинформатики	B-TERM	I-TERM	B-TERM	O
34	.	O	O	O	O
35	Задача	O	B-TERM	B-TERM	O
36	исследования	O	I-TERM	I-TERM	O
37	экспрессии	B-TERM	I-TERM	I-TERM	O
38	генов	I-TERM	I-TERM	I-TERM	O
39	современными	O	O	O	O
40	методами	B-TERM	B-TERM	B-TERM	O
41	высокопроизводительного	I-TERM	I-TERM	I-TERM	O
42	секвенирования	I-TERM	I-TERM	I-TERM	O
43	в	O	O	O	O
44	отделах	B-TERM	B-TERM	B-TERM	O
45	мозга	I-TERM	I-TERM	I-TERM	O
46	лабораторных	I-TERM	I-TERM	I-TERM	O
47	животных	I-TERM	I-TERM	I-TERM	O
48	является	O	O	O	O
49	исключительно	O	O	O	O
50	важной	O	O	O	O
51	для	O	O	O	O
52	изучения	O	O	O	O
53	генетических	B-TERM	B-TERM	B-TERM	O
54	основ	I-TERM	I-TERM	I-TERM	O
55	поведения	I-TERM	I-TERM	I-TERM	O
56	в	O	O	O	O
57	целом	O	O	O	O
58	.	O	O	O	O
59	Изучение	O	B-TERM	O	O
60	генетических	B-TERM	I-TERM	B-TERM	O
61	детерминант	I-TERM	I-TERM	I-TERM	O
62	агрессивного	I-TERM	I-TERM	I-TERM	O
63	поведения	I-TERM	I-TERM	I-TERM	O
64	не	O	O	O	O
65	только	O	O	O	O
66	сохраняет	O	O	O	O
67	актуальность	O	O	O	O
68	для	O	O	O	O
69	исследования	O	B-TERM	O	O
70	молекулярных	B-TERM	I-TERM	B-TERM	O
71	механизмов	I-TERM	I-TERM	I-TERM	O
72	регуляции	I-TERM	I-TERM	I-TERM	O
73	поведения	I-TERM	I-TERM	I-TERM	O
74	,	O	O	O	O
75	но	O	O	O	O
76	и	O	O	O	O
77	имеет	O	O	O	O
78	широкую	O	O	O	O
79	практическую	O	O	O	O
80	составляющую	O	O	O	O
81	при	O	O	O	O
