id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	B-TERM	B-TERM	O
1	прецедентно	I-TERM	I-TERM	I-TERM	O
2	-	I-TERM	I-TERM	I-TERM	O
3	ориентированного	I-TERM	I-TERM	I-TERM	O
4	подхода	I-TERM	I-TERM	I-TERM	O
5	обратного	I-TERM	I-TERM	I-TERM	O
6	реинжиниринга	I-TERM	I-TERM	I-TERM	O
7	web	I-TERM	I-TERM	I-TERM	O
8	-	I-TERM	I-TERM	I-TERM	O
9	интерфейсов	I-TERM	I-TERM	I-TERM	O
10	Статья	O	O	O	O
11	посвящена	O	O	O	O
12	применению	O	O	O	O
13	рассуждений	B-TERM	B-TERM	B-TERM	O
14	на	I-TERM	O	I-TERM	O
15	основе	I-TERM	O	I-TERM	O
16	прецедентов	I-TERM	O	I-TERM	O
17	(	O	O	O	O
18	case	B-TERM	B-TERM	B-TERM	O
19	-	I-TERM	I-TERM	I-TERM	O
20	based	I-TERM	I-TERM	I-TERM	O
21	reasoning	I-TERM	I-TERM	I-TERM	O
22	,	O	O	O	O
23	CBR	B-TERM	B-TERM	B-TERM	O
24	)	O	O	O	O
25	в	O	O	O	O
26	области	B-TERM	O	O	O
27	web	I-TERM	B-TERM	B-TERM	O
28	-	I-TERM	I-TERM	I-TERM	O
29	разработки	I-TERM	I-TERM	I-TERM	O
30	.	O	O	O	O
31	Учитывая	O	O	O	O
32	собственный	O	O	O	O
33	практический	O	O	O	O
34	опыт	O	O	O	O
35	в	O	O	O	O
36	данной	O	O	O	O
37	сфере	O	O	O	O
38	,	O	O	O	O
39	автор	O	O	O	O
40	предлагает	O	O	O	O
41	автоматизировать	B-TERM	O	O	O
42	составление	I-TERM	B-TERM	B-TERM	O
43	html	I-TERM	I-TERM	I-TERM	O
44	/	I-TERM	O	I-TERM	O
45	css	I-TERM	B-TERM	I-TERM	O
46	-	I-TERM	I-TERM	I-TERM	O
47	макета	I-TERM	I-TERM	I-TERM	O
48	путём	O	O	O	O
49	агрегирования	B-TERM	B-TERM	B-TERM	O
50	прецедентов	I-TERM	I-TERM	I-TERM	O
51	кода	I-TERM	I-TERM	I-TERM	O
52	из	O	O	O	O
53	предыдущих	O	O	O	O
54	опытов	O	O	O	O
55	,	O	O	O	O
56	что	O	O	O	O
57	на	O	O	O	O
58	методологическом	B-TERM	O	B-TERM	O
59	уровне	I-TERM	O	I-TERM	O
60	крайне	O	O	O	O
61	близко	O	O	O	O
62	к	O	O	O	O
63	подходу	O	B-TERM	B-TERM	O
64	CBR	B-TERM	I-TERM	I-TERM	O
65	,	O	O	O	O
66	а	O	O	O	O
67	именно	O	O	O	O
68	:	O	O	O	O
69	предлагается	O	O	O	O
70	методика	B-TERM	B-TERM	B-TERM	O
71	конструирования	I-TERM	I-TERM	I-TERM	O
72	систем	I-TERM	I-TERM	I-TERM	O
73	,	I-TERM	O	O	O
74	генерирующих	I-TERM	O	O	O
75	html	I-TERM	B-TERM	B-TERM	O
76	-	I-TERM	I-TERM	I-TERM	O
77	код	I-TERM	I-TERM	I-TERM	O
78	из	O	O	O	O
79	растрового	B-TERM	B-TERM	B-TERM	O
80	изображения	I-TERM	I-TERM	I-TERM	O
81	и	O	O	O	O
82	основанных	O	O	O	O
83	на	O	O	O	O
84	подходе	B-TERM	O	B-TERM	O
85	рассуждений	I-TERM	O	I-TERM	O
86	на	I-TERM	O	I-TERM	O
87	основе	I-TERM	O	I-TERM	O
88	прецедентов	I-TERM	O	I-TERM	O
89	.	O	O	O	O
90	В	O	O	O	O
91	частности	O	O	O	O
92	,	O	O	O	O
93	в	O	O	O	O
94	статье	O	O	O	O
95	изложена	O	O	O	O
96	оригинальная	O	O	O	O
97	теория	B-TERM	B-TERM	B-TERM	O
98	составления	I-TERM	I-TERM	I-TERM	O
99	структуры	I-TERM	I-TERM	I-TERM	O
100	изображения	I-TERM	I-TERM	I-TERM	O
101	и	O	O	O	O
102	описан	O	O	O	O
103	алгоритм	B-TERM	B-TERM	B-TERM	O
104	получения	I-TERM	O	O	O
105	такой	I-TERM	O	O	O
106	структуры	I-TERM	B-TERM	B-TERM	O
107	.	O	O	O	O
108	Кроме	O	O	O	O
109	того	O	O	O	O
110	,	O	O	O	O
111	рассматривается	O	O	O	O
112	модификация	B-TERM	O	O	O
113	подхода	I-TERM	B-TERM	B-TERM	O
114	case	I-TERM	I-TERM	I-TERM	O
115	-	I-TERM	I-TERM	I-TERM	O
116	based	I-TERM	I-TERM	I-TERM	O
117	reasoning	i	I-TERM	I-TERM	O
118	,	O	O	O	O
119	которая	O	O	O	O
120	позволяет	O	O	O	O
121	получить	O	O	O	O
122	требуемый	O	O	O	O
123	результат	O	O	O	O
124	решения	O	O	O	O
125	поставленной	O	O	O	O
126	задачи	O	O	O	O
127	.	O	O	O	O
128	Также	O	O	O	O
129	описываются	O	O	O	O
130	результаты	O	O	O	O
131	прохождения	O	O	O	O
132	экспериментов	O	O	O	O
133	разработанной	O	O	O	O
134	системы	B-TERM	B-TERM	B-TERM	O
135	в	O	O	O	O
136	определённых	O	O	O	O
137	условиях	O	O	O	O
138	.	O	O	O	O
