id	token	Денис	Настя	Лена		
0	Применение	O	O	O		
1	методов	B-TERM	B-TERM	B-TERM		
2	глубинного	I-TERM	I-TERM	I-TERM		
3	обучения	I-TERM	I-TERM	I-TERM		
4	для	O	O	O		
5	обнаружения	O	O	O		
6	вторжений	O	B-TERM	B-TERM		
7	Приведены	O	O	O		
8	результаты	O	O	O		
9	применения	O	O	O		
10	глубоких	B-TERM	B-TERM	B-TERM		
11	нейронных	I-TERM	I-TERM	I-TERM		
12	сетей	I-TERM	I-TERM	I-TERM		
13	для	O	O	O		
14	детектирования	B-TERM	I-TERM	B-TERM		
15	вредоносной	I-TERM	I-TERM	I-TERM		
16	активности	I-TERM	I-TERM	I-TERM		
17	в	O	O	O		
18	сетевом	B-TERM	B-TERM	B-TERM		
19	трафике	I-TERM	I-TERM	I-TERM		
20	.	O	O	O		
21	В	O	O	O		
22	процессе	O	O	O		
23	исследования	O	O	O		
24	реализованы	O	O	O		
25	2	O	O	O		
26	вида	O	O	O		
27	нейронной	B-TERM	B-TERM	B-TERM		
28	сети	I-TERM	I-TERM	I-TERM		
29	:	O	O	O		
30	рекуррентный	B-TERM	B-TERM	B-TERM		
31	автоэнкодер	I-TERM	I-TERM	I-TERM		
32	и	O	O	O		
33	генеративно	B-TERM	B-TERM	B-TERM		
34	-	I-TERM	I-TERM	I-TERM		
35	состязательная	I-TERM	I-TERM	I-TERM		
36	сеть	I-TERM	I-TERM	I-TERM		
37	.	O	O	O		
38	Приведены	O	O	O		
39	результаты	O	O	O		
40	исследования	O	O	O		
41	на	O	O	O		
42	наборе	O	B-TERM	B-TERM	или 	B-TERM
43	данных	O	I-TERM	I-TERM		I-TERM
44	CICIDS2017	B-TERM	I-TERM	I-TERM		B-TERM
45	.	O	O	O		
