id	token	Настя	Денис	Лена	tag
0	Medilux	B-TERM	B-TERM	B-TERM	O
1	–	O	O	O	O
2	сервис	B-TERM	B-TERM	B-TERM	O
3	интеллектуального	I-TERM	I-TERM	I-TERM	O
4	формирования	I-TERM	I-TERM	I-TERM	O
5	расписания	I-TERM	I-TERM	I-TERM	O
6	посещений	I-TERM	I-TERM	I-TERM	O
7	медицинских	I-TERM	I-TERM	I-TERM	O
8	учреждений	I-TERM	I-TERM	I-TERM	O
9	Предложен	O	O	O	O
10	новый	O	O	O	O
11	вид	B-TERM	B-TERM	B-TERM	O
12	обслуживания	I-TERM	I-TERM	I-TERM	O
13	–	O	O	O	O
14	«	B-TERM	O	O	O
15	интеллектуальная	I-TERM	B-TERM	B-TERM	O
16	регистратура	I-TERM	I-TERM	I-TERM	O
17	»:	I-TERM	O	O	O
18	в	O	O	O	O
19	мобильном	B-TERM	B-TERM	B-TERM	O
20	приложении	I-TERM	I-TERM	I-TERM	O
21	обеспечена	O	O	O	O
22	возможность	O	O	O	O
23	выбора	O	O	O	O
24	сотрудников	B-TERM	B-TERM	B-TERM	O
25	медицинского	I-TERM	I-TERM	I-TERM	O
26	учреждения	I-TERM	I-TERM	I-TERM	O
27	,	O	O	O	O
28	далее	O	O	O	O
29	происходит	O	O	O	O
30	анализ	B-TERM	O	O	O
31	графика	B-TERM	B-TERM	B-TERM	O
32	работы	I-TERM	I-TERM	I-TERM	O
33	выбранного	I-TERM	O	O	O
34	врача	I-TERM	B-TERM	B-TERM	O
35	и	O	O	O	O
36	свободного	B-TERM	O	B-TERM	O
37	времени	I-TERM	O	I-TERM	O
38	пользователя	I-TERM	B-TERM	B-TERM	O
39	при	O	O	O	O
40	помощи	O	O	O	O
41	алгоритмов	B-TERM	B-TERM	B-TERM	O
42	программирования	I-TERM	I-TERM	I-TERM	O
43	в	O	O	O	O
44	ограничениях	O	O	O	O
45	с	O	O	O	O
46	целью	O	O	O	O
47	определения	O	O	O	O
48	наилучшего	O	O	O	O
49	времени	O	B-TERM	B-TERM	O
50	записи	O	I-TERM	I-TERM	O
51	на	O	I-TERM	I-TERM	O
52	прием	O	I-TERM	I-TERM	O
53	.	O	O	O	O
54	База	B-TERM	B-TERM	B-TERM	O
55	знаний	I-TERM	I-TERM	I-TERM	O
56	о	O	O	O	O
57	свободном	B-TERM	O	B-TERM	O
58	времени	I-TERM	O	I-TERM	O
59	пользователя	O	B-TERM	B-TERM	O
60	формируется	O	O	O	O
61	на	O	O	O	O
62	основе	O	O	O	O
63	задач	O	O	B-TERM	O
64	,	O	O	O	O
65	которые	O	O	O	O
66	агрегируются	O	O	O	O
67	с	O	O	O	O
68	мобильного	B-TERM	B-TERM	B-TERM	O
69	устройства	I-TERM	I-TERM	I-TERM	O
70	и	O	O	O	O
71	популярных	O	O	O	O
72	сервисов	B-TERM	B-TERM	B-TERM	O
73	по	O	I-TERM	I-TERM	O
74	управлению	O	I-TERM	I-TERM	O
75	задачами	O	I-TERM	I-TERM	O
76	.	O	O	O	O
77	Для	O	O	O	O
78	случая	O	O	O	O
79	,	O	O	O	O
80	если	O	O	O	O
81	пользователь	B-TERM	B-TERM	B-TERM	O
82	не	O	O	O	O
83	знает	O	O	O	O
84	,	O	O	O	O
85	к	O	O	O	O
86	кому	O	O	O	O
87	обратиться	O	O	O	O
88	,	O	O	O	O
89	продукт	O	B-TERM	B-TERM	O
90	снабжен	O	O	O	O
91	«	B-TERM	O	B-TERM	O
92	умным	I-TERM	O	I-TERM	O
93	»	I-TERM	O	I-TERM	O
94	чатом	I-TERM	B-TERM	I-TERM	O
95	,	O	O	O	O
96	в	O	O	O	O
97	котором	O	O	O	O
98	можно	O	O	O	O
99	описать	O	O	O	O
100	проблему	O	O	B-TERM	O
101	.	O	O	O	O
102	Текст	O	O	O	O
103	отправится	O	O	O	O
104	на	O	O	O	O
105	сервер	B-TERM	B-TERM	B-TERM	O
106	,	O	O	O	O
107	где	O	O	O	O
108	произойдет	O	O	O	O
109	синтаксический	B-TERM	B-TERM	B-TERM	O
110	разбор	I-TERM	I-TERM	I-TERM	O
111	и	O	O	O	O
112	семантическое	B-TERM	B-TERM	B-TERM	O
113	сопоставление	I-TERM	I-TERM	I-TERM	O
114	с	O	O	O	O
115	конкретной	O	O	O	O
116	специальностью	B-TERM	B-TERM	B-TERM	O
117	врача	I-TERM	I-TERM	I-TERM	O
118	.	O	O	O	O
119	В	O	O	O	O
120	базе	B-TERM	B-TERM	B-TERM	O
121	данных	I-TERM	I-TERM	I-TERM	O
122	хранится	O	O	O	O
123	информация	O	O	O	O
124	обо	O	O	O	O
125	всех	O	O	O	O
126	посещениях	B-TERM	B-TERM	B-TERM	O
127	и	O	O	O	O
128	врачебных	B-TERM	B-TERM	B-TERM	O
129	выписках	I-TERM	I-TERM	I-TERM	O
130	(	O	O	O	O
131	электронная	B-TERM	B-TERM	B-TERM	O
132	медицинская	I-TERM	I-TERM	I-TERM	O
133	карта	I-TERM	I-TERM	I-TERM	O
134	),	O	O	O	O
135	что	O	O	O	O
136	позволяет	O	O	O	O
137	,	O	O	O	O
138	например	O	O	O	O
139	,	O	O	O	O
140	напоминать	O	O	O	O
141	пользователю	B-TERM	B-TERM	B-TERM	O
142	о	O	O	O	O
143	необходимости	O	O	O	O
144	принятия	O	O	O	O
145	медикаментов	B-TERM	B-TERM	B-TERM	O
146	.	O	O	O	O
147	Практическая	O	O	O	O
148	ценность	O	O	O	O
149	продукта	B-TERM	B-TERM	B-TERM	O
150	заключается	O	O	O	O
151	в	O	O	O	O
152	автоматизации	O	B-TERM	B-TERM	O
153	бизнес	B-TERM	I-TERM	I-TERM	O
154	-	I-TERM	I-TERM	I-TERM	O
155	процесса	I-TERM	I-TERM	I-TERM	O
156	«	I-TERM	O	O	O
157	прием	I-TERM	B-TERM	B-TERM	O
158	пациентов	I-TERM	I-TERM	I-TERM	O
159	»,	O	O	O	O
160	что	O	O	O	O
161	приводит	O	O	O	O
162	к	O	O	O	O
163	экономии	O	O	O	O
164	времени	O	O	O	O
165	пациентов	B-TERM	B-TERM	B-TERM	O
166	,	O	O	O	O
167	обеспечению	O	O	O	O
168	высокой	O	O	O	O
169	доступности	O	B-TERM	B-TERM	O
170	услуг	B-TERM	I-TERM	I-TERM	O
171	и	O	O	O	O
172	оптимизации	O	O	O	O
173	трудовых	B-TERM	B-TERM	B-TERM	O
174	затрат	I-TERM	I-TERM	I-TERM	O
175	в	O	O	O	O
176	медучреждениях	B-TERM	B-TERM	B-TERM	O
177	.	O	O	O	O
