id	token	Денис	Настя	Лена	auto_tag
0	Проектирование	O	O	O	O
1	информационной	B-TERM	B-TERM	B-TERM	B-TERM
2	системы	I-TERM	I-TERM	I-TERM	I-TERM
3	представления	I-TERM	I-TERM	I-TERM	O
4	результатов	I-TERM	I-TERM	I-TERM	O
5	комплексного	I-TERM	I-TERM	I-TERM	O
6	анализа	I-TERM	I-TERM	I-TERM	O
7	поэтических	I-TERM	I-TERM	I-TERM	O
8	текстов	I-TERM	I-TERM	I-TERM	O
					
9	В	O	O	O	O
10	рамках	O	O	O	O
11	проекта	O	O	O	O
12	по	O	O	O	O
13	автоматизации	B-TERM	O	O	O
14	работы	I-TERM	O	O	O
15	с	O	O	O	O
16	поэтическими	B-TERM	B-TERM	B-TERM	O
17	текстами	I-TERM	I-TERM	I-TERM	O
18	,	O	O	O	O
19	реализуемого	O	O	O	O
20	на	O	O	O	O
21	базе	O	O	O	O
22	Института	B-TERM	O	O	O
23	вычислительных	I-TERM	O	O	O
24	технологий	I-TERM	O	O	O
25	СО	I-TERM	O	O	O
26	РАН	I-TERM	O	O	O
27	,	O	O	O	O
28	ведется	O	O	O	O
29	комплекс	O	O	O	O
30	исследований	O	O	O	O
31	,	O	O	O	O
32	связанных	O	O	O	O
33	с	O	O	O	O
34	анализом	B-TERM	B-TERM	B-TERM	O
35	поэтических	I-TERM	I-TERM	I-TERM	O
36	текстов	I-TERM	I-TERM	I-TERM	O
37	.	O	O	O	O
38	Каждый	O	O	O	O
39	компонент	O	O	O	O
40	проекта	O	O	O	O
41	относится	O	O	O	O
42	к	O	O	O	O
43	одному	O	O	O	O
44	из	O	O	O	O
45	структурных	B-TERM	B-TERM	B-TERM	O
46	уровней	I-TERM	I-TERM	I-TERM	O
47	анализа	I-TERM	I-TERM	I-TERM	O
48	текста	I-TERM	I-TERM	I-TERM	O
49	:	O	O	O	O
50	структурный	B-TERM	B-TERM	B-TERM	O
51	,	O	O	O	O
52	семантический	B-TERM	B-TERM	B-TERM	O
53	,	O	O	O	O
54	прагматический	B-TERM	B-TERM	B-TERM	O
55	.	O	O	O	O
56	Структурный	B-TERM	B-TERM	B-TERM	O
57	анализ	I-TERM	I-TERM	I-TERM	O
58	поэтического	I-TERM	I-TERM	I-TERM	O
59	текста	I-TERM	I-TERM	I-TERM	O
60	связан	O	O	O	O
61	с	O	O	O	O
62	выделением	O	O	O	O
63	его	O	O	O	O
64	метроритмических	B-TERM	B-TERM	B-TERM	O
65	характеристик	I-TERM	I-TERM	I-TERM	O
66	.	O	O	O	O
67	В	O	O	O	O
68	рамках	O	O	O	O
69	семантического	B-TERM	B-TERM	B-TERM	B-TERM
70	анализа	I-TERM	I-TERM	I-TERM	I-TERM
71	ведутся	O	O	O	O
72	исследования	O	O	O	O
73	по	O	O	O	O
74	выделению	O	O	O	O
75	смысловых	B-TERM	B-TERM	B-TERM	O
76	конструкций	I-TERM	I-TERM	I-TERM	O
77	из	O	O	O	O
78	произведения	O	O	O	O
79	.	O	O	O	O
80	Прагматический	B-TERM	B-TERM	B-TERM	O
81	уровень	I-TERM	I-TERM	I-TERM	O
82	включает	O	O	O	O
83	в	O	O	O	O
84	себя	O	O	O	O
85	исследования	O	O	O	O
86	по	O	O	O	O
87	автоматическому	B-TERM	O	O	O
88	определению	I-TERM	O	O	O
89	высокоуровневых	I-TERM	O	B-TERM	O
90	характеристик	I-TERM	O	I-TERM	O
91	поэтического	I-TERM	B-TERM	B-TERM	O
92	текста	I-TERM	I-TERM	I-TERM	O
93	,	O	O	O	O
94	таких	O	O	O	O
95	как	O	O	O	O
96	жанр	B-TERM	B-TERM	B-TERM	O
97	и	O	O	O	O
98	стиль	B-TERM	B-TERM	B-TERM	O
99	.	O	O	O	O
100	В	O	O	O	O
101	данной	O	O	O	O
102	работе	O	O	O	O
103	описан	O	O	O	O
104	процесс	O	O	O	O
105	проектирования	O	O	O	O
106	и	O	O	O	O
107	реализации	O	O	O	O
108	информационной	B-TERM	B-TERM	B-TERM	B-TERM
109	системы	I-TERM	I-TERM	I-TERM	I-TERM
110	представления	O	I-TERM	I-TERM	O
111	результатов	O	I-TERM	I-TERM	O
112	анализа	B-TERM	I-TERM	I-TERM	O
113	поэтических	I-TERM	I-TERM	I-TERM	O
114	текстов	I-TERM	I-TERM	I-TERM	O
115	.	O	O	O	O
116	На	O	O	O	O
117	этапе	O	O	O	O
118	проектирования	O	O	O	O
119	сформулированы	O	O	O	O
120	задачи	O	O	O	O
121	,	O	O	O	O
122	которые	O	O	O	O
123	призвана	O	O	O	O
124	решать	O	O	O	O
125	информационная	B-TERM	B-TERM	B-TERM	B-TERM
126	система	I-TERM	I-TERM	I-TERM	I-TERM
127	,	O	O	O	O
128	а	O	O	O	O
129	также	O	O	O	O
130	изложены	O	O	O	O
131	требования	O	O	O	O
132	в	O	O	O	O
133	порядке	O	O	O	O
134	приоритета	O	O	O	O
135	для	O	O	O	O
136	общего	O	O	O	O
137	проекта	O	O	O	O
138	.	O	O	O	O
139	Представленная	O	O	O	O
140	информационная	B-TERM	B-TERM	B-TERM	B-TERM
141	система	I-TERM	I-TERM	I-TERM	I-TERM
142	объединяет	O	O	O	O
143	в	O	O	O	O
144	себе	O	O	O	O
145	разнородную	O	O	O	O
146	информацию	O	O	O	O
147	о	O	O	O	O
148	результатах	O	O	O	O
149	анализа	B-TERM	O	B-TERM	O
150	поэтических	I-TERM	B-TERM	B-TERM	O
151	текстов	I-TERM	I-TERM	I-TERM	O
152	,	O	O	O	O
153	полученных	O	O	O	O
154	на	O	O	O	O
155	каждом	O	O	O	O
156	из	O	O	O	O
157	уровней	O	O	O	O
158	представления	O	O	O	O
159	.	O	O	O	O
160	Исходя	O	O	O	O
161	из	O	O	O	O
162	потребностей	O	O	O	O
163	потенциальных	O	O	O	O
164	пользователей	O	O	O	O
165	,	O	O	O	O
166	выполнено	O	O	O	O
167	описание	O	O	O	O
168	внешних	O	O	O	O
169	взаимодействующих	O	O	O	O
170	элементов	O	O	O	O
171	системы	B-TERM	B-TERM	B-TERM	O
172	.	O	O	O	O
173	Разработан	O	O	O	O
174	тестовый	B-TERM	O	B-TERM	O
175	интерфейс	I-TERM	O	I-TERM	O
176	для	O	O	O	O
177	доступа	O	O	O	O
178	к	O	O	O	O
179	хранилищу	B-TERM	O	O	O
180	информационной	I-TERM	B-TERM	B-TERM	B-TERM
181	системы	I-TERM	I-TERM	I-TERM	I-TERM
182	.	O	O	O	O
183	Реализация	O	O	O	O
184	информационной	B-TERM	B-TERM	B-TERM	B-TERM
185	системы	I-TERM	I-TERM	I-TERM	I-TERM
186	обеспечит	O	O	O	O
187	существенное	O	O	O	O
188	упрощение	O	O	O	O
189	исследований	O	O	O	O
190	поэтических	B-TERM	B-TERM	B-TERM	O
191	текстов	I-TERM	I-TERM	I-TERM	O
192	.	O	O	O	O
