id	token	Денис	Настя	Лена	auto_tag
0	Оптимизация	O	B-TERM	B-TERM	O
1	переупорядочивания	O	I-TERM	I-TERM	O
2	модельных	B-TERM	I-TERM	I-TERM	O
3	частиц	I-TERM	I-TERM	I-TERM	O
4	при	O	O	O	O
5	реализации	O	O	O	O
6	метода	B-TERM	B-TERM	B-TERM	O
7	частиц	I-TERM	I-TERM	I-TERM	O
8	в	O	I-TERM	I-TERM	O
9	ячейках	O	I-TERM	I-TERM	O
10	на	O	I-TERM	O	O
11	GPU	B-TERM	I-TERM	B-TERM	O
					
12	Представлено	O	O	O	O
13	описание	O	O	O	O
14	реализации	O	O	O	O
15	метода	B-TERM	B-TERM	B-TERM	O
16	частиц	I-TERM	I-TERM	I-TERM	O
17	в	O	I-TERM	I-TERM	O
18	ячейках	O	I-TERM	I-TERM	O
19	на	O	I-TERM	O	O
20	GPU	B-TERM	I-TERM	B-TERM	O
21	.	O	O	O	O
22	Основным	O	O	O	O
23	недостатком	O	O	O	O
24	метода	O	B-TERM	B-TERM	O
25	,	O	O	O	O
26	с	O	O	O	O
27	точки	O	O	O	O
28	зрения	O	O	O	O
29	затрат	O	O	O	O
30	по	O	O	O	O
31	времени	O	O	O	O
32	,	O	O	O	O
33	является	O	O	O	O
34	функция	B-TERM	B-TERM	B-TERM	O
35	переупорядочивания	I-TERM	I-TERM	I-TERM	O
36	частиц	I-TERM	I-TERM	I-TERM	O
37	между	O	I-TERM	I-TERM	O
38	ячейками	O	I-TERM	I-TERM	O
39	.	O	O	O	O
40	Изложена	O	O	O	O
41	оригинальная	O	O	O	O
42	методика	B-TERM	B-TERM	B-TERM	O
43	оптимизации	I-TERM	I-TERM	I-TERM	O
44	данного	O	O	O	O
45	этапа	O	B-TERM	O	O
46	расчета	O	I-TERM	O	O
47	,	O	O	O	O
48	позволяющая	O	O	O	O
49	избавиться	O	O	O	O
50	от	O	O	O	O
51	атомарных	B-TERM	B-TERM	B-TERM	O
52	операций	I-TERM	I-TERM	I-TERM	O
53	.	O	O	O	O
54	Приведены	O	O	O	O
55	результаты	B-TERM	B-TERM	O	O
56	тестирования	I-TERM	I-TERM	O	O
57	производительности	O	I-TERM	O	O
58	на	O	O	O	O
59	ряде	O	O	O	O
60	современных	O	O	O	O
61	графических	B-TERM	B-TERM	B-TERM	O
62	процессоров	I-TERM	I-TERM	I-TERM	O
63	.	O	O	O	O
