id	token	Денис	Настя	Лена	auto_tag
0	Разработка	O	O	O	O
1	системы	B-TERM	B-TERM	B-TERM	O
2	оценки	I-TERM	I-TERM	I-TERM	O
3	параметров	I-TERM	I-TERM	I-TERM	O
4	цунами	I-TERM	I-TERM	I-TERM	O
5	у	O	O	O	O
6	прибрежных	B-TERM	B-TERM	B-TERM	O
7	территорий	I-TERM	I-TERM	I-TERM	O
					
8	Проблема	O	O	O	O
9	своевременного	O	O	O	O
10	предупреждения	O	O	O	O
11	населения	O	O	O	O
12	об	O	O	O	O
13	опасности	O	O	O	O
14	цунами	B-TERM	B-TERM	B-TERM	O
15	всё	O	O	O	O
16	еще	O	O	O	O
17	является	O	O	O	O
18	актуальной	O	O	O	O
19	на	O	O	O	O
20	прибрежных	B-TERM	B-TERM	B-TERM	O
21	территориях	I-TERM	I-TERM	I-TERM	O
22	всего	O	O	O	O
23	мира	O	O	O	O
24	.	O	O	O	O
25	Несмотря	O	O	O	O
26	на	O	O	O	O
27	то	O	O	O	O
28	что	O	O	O	O
29	цунами	B-TERM	B-TERM	B-TERM	O
30	довольно	O	O	O	O
31	редкое	O	O	O	O
32	явление	O	B-TERM	B-TERM	O
33	,	O	O	O	O
34	его	O	O	O	O
35	последствия	O	O	O	O
36	могут	O	O	O	O
37	быть	O	O	O	O
38	катастрофическими	O	O	O	O
39	.	O	O	O	O
40	В	O	O	O	O
41	Академгородке	B-TERM	O	O	O
42	многие	O	O	O	O
43	годы	O	O	O	O
44	занимаются	O	O	O	O
45	разработкой	O	O	O	O
46	и	O	O	O	O
47	реализацией	O	O	O	O
48	алгоритмов	B-TERM	B-TERM	B-TERM	O
49	численного	I-TERM	I-TERM	I-TERM	O
50	моделирования	I-TERM	I-TERM	I-TERM	O
51	цунами	I-TERM	I-TERM	I-TERM	O
52	,	O	O	O	O
53	используемых	O	O	O	O
54	для	O	O	O	O
55	расчета	O	O	O	O
56	параметров	O	O	O	O
57	цунами	B-TERM	B-TERM	B-TERM	O
58	у	O	O	O	O
59	береговой	B-TERM	B-TERM	B-TERM	O
60	линии	I-TERM	I-TERM	I-TERM	O
61	.	O	O	O	O
62	Целью	O	O	O	O
63	данной	O	O	O	O
64	работы	O	O	O	O
65	является	O	O	O	O
66	объединение	O	O	O	O
67	существующих	O	O	O	O
68	реализаций	O	O	O	O
69	алгоритмов	B-TERM	B-TERM	B-TERM	O
70	,	O	O	O	O
71	написанных	O	O	O	O
72	на	O	O	O	O
73	разных	O	O	O	O
74	языках	B-TERM	O	B-TERM	O
75	программирования	I-TERM	O	I-TERM	O
76	(	O	O	O	O
77	С	B-TERM	B-TERM	B-TERM	O
78	++,	I-TERM	I-TERM	I-TERM	O
79	Си	B-TERM	B-TERM	B-TERM	O
80	,	O	O	O	O
81	Python	B-TERM	B-TERM	B-TERM	O
82	,	O	O	O	O
83	Kotlin	B-TERM	B-TERM	B-TERM	O
84	,	O	O	O	O
85	Fortran	B-TERM	B-TERM	B-TERM	O
86	и	O	O	O	O
87	т	O	O	O	O
88	.	O	O	O	O
89	д	O	O	O	O
90	.),	O	O	O	O
91	в	O	O	O	O
92	единую	O	O	O	O
93	систему	B-TERM	O	B-TERM	O
94	.	O	O	O	O
95	Разработанная	O	O	O	O
96	система	B-TERM	B-TERM	B-TERM	O
97	позволит	O	O	O	O
98	,	O	O	O	O
99	принимая	O	O	O	O
100	на	O	O	O	O
101	вход	O	O	O	O
102	данные	O	O	O	O
103	о	O	O	O	O
104	сейсмическом	B-TERM	B-TERM	B-TERM	O
105	событии	I-TERM	I-TERM	I-TERM	O
106	,	O	O	O	O
107	рассчитывать	O	O	O	O
108	параметры	O	O	O	O
