id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	B-TERM	B-TERM	O
1	информационной	I-TERM	I-TERM	I-TERM	B-TERM
2	системы	I-TERM	I-TERM	I-TERM	I-TERM
3	по	O	O	O	O
4	клещевой	B-TERM	B-TERM	B-TERM	O
5	опасности	I-TERM	I-TERM	I-TERM	O
6	на	O	O	O	O
7	основе	O	O	O	O
8	онтологии	B-TERM	B-TERM	B-TERM	B-TERM
9	предметной	B-TERM	B-TERM	B-TERM	B-TERM
10	области	I-TERM	I-TERM	I-TERM	I-TERM
11	Предложен	O	O	O	O
12	подход	B-TERM	O	B-TERM	O
13	к	I-TERM	O	I-TERM	O
14	разработке	I-TERM	B-TERM	I-TERM	O
15	состава	I-TERM	I-TERM	I-TERM	O
16	и	I-TERM	O	I-TERM	O
17	структуры	I-TERM	B-TERM	I-TERM	O
18	Интернет	I-TERM	I-TERM	I-TERM	O
19	-	I-TERM	I-TERM	I-TERM	O
20	ресурса	I-TERM	I-TERM	I-TERM	O
21	на	O	O	O	O
22	основе	O	O	O	O
23	онтологии	B-TERM	B-TERM	B-TERM	B-TERM
24	предметной	B-TERM	B-TERM	B-TERM	B-TERM
25	области	I-TERM	I-TERM	I-TERM	I-TERM
26	.	O	O	O	O
27	Описана	O	O	O	O
28	предметная	B-TERM	B-TERM	B-TERM	B-TERM
29	область	I-TERM	I-TERM	I-TERM	I-TERM
30	,	O	O	O	O
31	связанная	O	O	O	O
32	с	O	O	O	O
33	распространением	O	O	O	O
34	клещей	B-TERM	B-TERM	B-TERM	O
35	и	O	O	O	O
36	переносимыми	O	O	O	O
37	ими	O	O	O	O
38	заболеваниями	B-TERM	B-TERM	B-TERM	O
39	,	O	O	O	O
40	представлена	O	O	O	O
41	ее	O	O	O	O
42	семантическая	B-TERM	B-TERM	B-TERM	O
43	структура	I-TERM	I-TERM	I-TERM	O
44	,	O	O	O	O
45	выделены	O	O	O	O
46	основные	O	O	O	O
47	разделы	B-TERM	B-TERM	B-TERM	O
48	информационного	I-TERM	I-TERM	I-TERM	O
49	наполнения	I-TERM	I-TERM	I-TERM	O
50	и	O	O	O	O
51	показаны	O	O	O	O
52	способы	B-TERM	B-TERM	O	O
53	навигации	I-TERM	I-TERM	B-TERM	O
54	по	I-TERM	I-TERM	I-TERM	O
55	ресурсу	I-TERM	I-TERM	I-TERM	O
56	.	O	O	O	O
