id	token	Денис	Настя	Лена
0	Системы	B-TERM	B-TERM	B-TERM
1	автоматизированной	I-TERM	I-TERM	I-TERM
2	оценки	I-TERM	I-TERM	I-TERM
3	заданий	I-TERM	I-TERM	I-TERM
4	по	I-TERM	I-TERM	I-TERM
5	программированию	I-TERM	I-TERM	I-TERM
6	:	O	O	O
7	разработка	B-TERM	B-TERM	B-TERM
8	,	O	O	O
9	использование	O	B-TERM	B-TERM
10	и	O	O	O
11	перспективы	B-TERM	B-TERM	B-TERM
12	В	O	O	O
13	статье	O	O	O
14	приведен	O	O	O
15	обзор	O	O	O
16	существующих	O	O	O
17	систем	B-TERM	B-TERM	B-TERM
18	проверки	I-TERM	I-TERM	I-TERM
19	заданий	I-TERM	I-TERM	I-TERM
20	по	I-TERM	I-TERM	I-TERM
21	программированию	I-TERM	I-TERM	I-TERM
22	,	O	O	O
23	кратко	O	O	O
24	описано	O	O	O
25	современное	O	O	O
26	состояние	O	O	O
27	архитектуры	B-TERM	B-TERM	B-TERM
28	системы	I-TERM	I-TERM	I-TERM
29	NSUts	I-TERM	I-TERM	I-TERM
30	,	O	O	O
31	созданной	O	O	O
32	в	O	O	O
33	Новосибирском	B-TERM	O	O
34	государственном	I-TERM	O	O
35	университете	I-TERM	O	O
36	,	O	O	O
37	и	O	O	O
38	практика	O	O	O
39	ее	O	O	O
40	использования	O	O	O
41	в	O	O	O
42	учебном	B-TERM	B-TERM	B-TERM
43	процессе	I-TERM	I-TERM	I-TERM
44	и	O	O	O
45	в	O	O	O
46	олимпиадах	O	O	B-TERM
47	по	O	O	I-TERM
48	программированию	O	O	I-TERM
49	различного	O	O	O
50	уровня	O	O	O
51	.	O	O	O
52	Приведен	O	O	O
53	анализ	B-TERM	B-TERM	B-TERM
54	опыта	I-TERM	I-TERM	I-TERM
55	использования	I-TERM	I-TERM	I-TERM
56	таких	O	I-TERM	I-TERM
57	систем	B-TERM	I-TERM	I-TERM
58	и	O	O	O
59	обозначены	O	O	O
60	перспективы	B-TERM	B-TERM	B-TERM
61	их	O	I-TERM	I-TERM
62	развития	O	I-TERM	I-TERM
63	.	O	O	O
