id	token	Настя	Денис	Лена	tag	tag
0	Programing	B-TERM	B-TERM	B-TERM	O	O
1	Mobile	I-TERM	I-TERM	I-TERM	O	O
2	Web	I-TERM	I-TERM	I-TERM	O	O
3	Based	I-TERM	I-TERM	I-TERM	O	O
4	for	I-TERM	I-TERM	I-TERM	O	O
5	Adaptive	I-TERM	I-TERM	I-TERM	O	O
6	Testing	I-TERM	I-TERM	I-TERM	O	O
7	Рассматривается	O	O	O	O	O
8	использование	O	O	O	O	O
9	мобильных	B-TERM	B-TERM	B-TERM	B-TERM	B-TERM
10	устройств	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
11	для	O	O	O	O	O
12	тестирования	O	O	B-TERM	O	O
13	по	O	O	O	O	O
14	сравнению	O	O	O	O	O
15	с	O	O	O	O	O
16	веб	B-TERM	B-TERM	B-TERM	O	O
17	-	I-TERM	I-TERM	I-TERM	O	O
18	системами	I-TERM	I-TERM	I-TERM	O	O
19	оценки	I-TERM	I-TERM	I-TERM	O	O
20	знаний	I-TERM	I-TERM	I-TERM	O	O
21	.	O	O	O	O	O
22	Многие	O	O	O	O	O
23	образовательные	B-TERM	B-TERM	B-TERM	O	O
24	организации	I-TERM	I-TERM	I-TERM	O	O
25	пытаются	O	O	O	O	O
26	снизить	O	O	O	O	O
27	стоимость	B-TERM	B-TERM	B-TERM	O	O
28	экзаменов	I-TERM	I-TERM	I-TERM	O	O
29	,	O	O	O	O	O
30	нагрузку	B-TERM	B-TERM	B-TERM	O	O
31	и	O	O	O	O	O
32	задержку	B-TERM	B-TERM	B-TERM	O	O
33	подсчета	I-TERM	I-TERM	I-TERM	O	O
34	баллов	I-TERM	I-TERM	I-TERM	O	O
35	,	O	O	O	O	O
36	а	O	O	O	O	O
37	также	O	O	O	O	O
38	человеческие	B-TERM	B-TERM	B-TERM	O	O
39	ошибки	I-TERM	I-TERM	I-TERM	O	O
40	.	O	O	O	O	O
41	Кроме	O	O	O	O	O
42	того	O	O	O	O	O
43	,	O	O	O	O	O
44	они	O	O	O	O	O
45	пытаются	O	O	O	O	O
46	повысить	O	O	O	O	O
47	точность	B-TERM	B-TERM	B-TERM	O	O
48	и	O	O	O	O	O
49	эффективность	B-TERM	B-TERM	B-TERM	O	O
50	тестирования	I-TERM	I-TERM	I-TERM	O	O
51	.	O	O	O	O	O
52	В	O	O	O	O	O
53	последнее	O	O	O	O	O
54	время	O	O	O	O	O
55	большинство	O	O	O	O	O
56	экзаменационных	B-TERM	B-TERM	B-TERM	O	O
57	комиссий	I-TERM	I-TERM	I-TERM	O	O
58	используют	O	O	O	O	O
59	компьютерное	B-TERM	B-TERM	B-TERM	O	O
60	адаптивное	I-TERM	I-TERM	I-TERM	O	O
61	тестирование	I-TERM	I-TERM	I-TERM	O	O
62	(	O	O	O	O	O
63	CAT	B-TERM	B-TERM	B-TERM	O	O
64	)	O	O	O	O	O
65	в	O	O	O	O	O
66	качестве	O	O	O	O	O
67	метода	B-TERM	B-TERM	B-TERM	O	O
68	широкомасштабного	I-TERM	I-TERM	I-TERM	O	O
69	тестирования	I-TERM	I-TERM	I-TERM	O	O
70	.	O	O	O	O	O
71	Мы	O	O	O	O	O
72	рассматриваем	O	O	O	O	O
73	создание	O	O	O	O	O
74	тестовых	O	O	O	O	O
75	задач	O	O	O	O	O
76	для	O	O	O	O	O
77	адаптивного	B-TERM	B-TERM	B-TERM	O	O
78	тестирования	I-TERM	I-TERM	I-TERM	O	O
79	.	O	O	O	O	O
80	Предложен	O	O	O	O	O
81	алгоритм	B-TERM	B-TERM	B-TERM	O	O
82	функционирования	I-TERM	I-TERM	I-TERM	O	O
83	адаптивной	I-TERM	I-TERM	I-TERM	O	O
84	системы	I-TERM	I-TERM	I-TERM	O	O
85	.	O	O	O	O	O
86	Пример	O	O	O	O	O
87	тестовых	O	O	O	O	O
88	задач	O	O	O	O	O
89	для	O	O	O	O	O
90	проведения	O	O	O	O	O
91	адаптивного	B-TERM	B-TERM	B-TERM	O	O
92	тестирования	I-TERM	I-TERM	I-TERM	O	O
93	приведен	O	O	O	O	O
94	на	O	O	O	O	O
95	основе	O	O	O	O	O
96	предлагаемой	O	O	O	O	O
97	модели	B-TERM	B-TERM	B-TERM	O	O
98	.	O	O	O	O	O
99	Результаты	O	O	O	O	O
100	показывают	O	O	O	O	O
101	,	O	O	O	O	O
102	что	O	O	O	O	O
103	большинство	O	O	O	O	O
104	систем	B-TERM	B-TERM	B-TERM	O	O
105	MAT	I-TERM	I-TERM	I-TERM	O	O
106	(	O	O	O	O	O
107	мобильные	B-TERM	B-TERM	B-TERM	O	O
108	адаптивные	I-TERM	I-TERM	I-TERM	O	O
109	тесты	I-TERM	I-TERM	I-TERM	O	O
110	)	O	O	O	O	O
111	придают	O	O	O	O	O
112	приоритет	O	O	O	O	O
113	безопасности	B-TERM	B-TERM	B-TERM	O	O
114	,	O	O	O	O	O
115	надежности	B-TERM	B-TERM	B-TERM	O	O
116	и	O	O	O	O	O
117	ремонтопригодности	B-TERM	B-TERM	B-TERM	O	O
118	.	O	O	O	O	O
119	Тем	O	O	O	O	O
120	не	O	O	O	O	O
121	менее	O	O	O	O	O
122	,	O	O	O	O	O
123	они	O	O	O	O	O
124	не	O	O	O	O	O
125	предлагают	O	O	O	O	O
126	испытуемому	B-TERM	O	O	O	O
127	никакой	O	O	O	O	O
128	дополнительной	O	O	O	O	O
129	поддержки	O	O	O	O	O
130	и	O	O	O	O	O
131	функциональности	O	O	O	O	O
132	.	O	O	O	O	O
133	Кроме	O	O	O	O	O
134	того	O	O	O	O	O
135	,	O	O	O	O	O
136	обратная	B-TERM	B-TERM	B-TERM	O	O
137	связь	I-TERM	I-TERM	I-TERM	O	O
138	с	O	O	O	O	O
139	испытуемым	B-TERM	O	O	O	O
140	ограничена	O	O	O	O	O
141	,	O	O	O	O	O
142	и	O	O	O	O	O
143	представление	O	O	O	O	O
144	предметов	O	O	O	O	O
145	оставляет	O	O	O	O	O
146	желать	O	O	O	O	O
147	лучшего	O	O	O	O	O
148	.	O	O	O	O	O
149	Рекомендации	O	O	O	O	O
150	сделаны	O	O	O	O	O
151	для	O	O	O	O	O
152	повышения	O	O	O	O	O
153	общего	O	O	O	O	O
154	качества	O	O	O	O	O
155	системы	B-TERM	B-TERM	B-TERM	O	O
156	CAT	I-TERM	I-TERM	I-TERM	O	O
157	.	O	O	O	O	O
158	Например	O	O	O	O	O
159	,	O	O	O	O	O
160	альтернативные	B-TERM	B-TERM	B-TERM	O	O
161	мультимедийные	I-TERM	I-TERM	I-TERM	O	O
162	элементы	I-TERM	I-TERM	I-TERM	O	O
163	должны	O	O	O	O	O
164	быть	O	O	O	O	O
165	доступны	O	O	O	O	O
166	,	O	O	O	O	O
167	чтобы	O	O	O	O	O
168	испытуемый	B-TERM	O	O	O	O
169	выбирал	O	O	O	O	O
170	предпочтительный	O	O	O	O	O
171	тип	O	O	O	O	O
172	носителя	B-TERM	B-TERM	B-TERM	O	O
173	.	O	O	O	O	O
174	Обратная	B-TERM	B-TERM	B-TERM	O	O
175	связь	I-TERM	I-TERM	I-TERM	O	O
176	может	O	O	O	O	O
177	быть	O	O	O	O	O
178	улучшена	O	O	O	O	O
179	путем	O	O	O	O	O
180	предоставления	O	O	O	O	O
181	дополнительной	B-TERM	O	O	O	O
182	информации	I-TERM	O	O	O	O
183	испытуемому	B-TERM	O	O	O	O
184	или	O	O	O	O	O
185	предоставления	O	O	O	O	O
186	информации	O	O	O	O	O
187	в	O	O	O	O	O
188	любое	O	O	O	O	O
189	время	O	O	O	O	O
190	,	O	O	O	O	O
191	когда	O	O	O	O	O
192	испытуемый	B-TERM	O	O	O	O
193	пожелает	O	O	O	O	O
194	.	O	O	O	O	O
