id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	B-TERM	B-TERM	O
1	автоматизированных	I-TERM	I-TERM	I-TERM	O
2	методов	I-TERM	I-TERM	I-TERM	O
3	представления	I-TERM	I-TERM	I-TERM	B-TERM
4	знаний	I-TERM	I-TERM	I-TERM	I-TERM
5	о	O	O	O	O
6	действиях	B-TERM	B-TERM	B-TERM	O
7	и	O	O	O	O
8	ситуациях	B-TERM	B-TERM	B-TERM	O
9	Статья	O	O	O	O
10	посвящена	O	O	O	O
11	разработке	B-TERM	B-TERM	B-TERM	O
12	автоматизированных	I-TERM	I-TERM	I-TERM	O
13	методов	I-TERM	I-TERM	I-TERM	O
14	интеграции	I-TERM	I-TERM	I-TERM	O
15	знаний	I-TERM	I-TERM	I-TERM	O
16	,	O	O	O	O
17	извлеченных	O	O	O	O
18	из	O	O	O	O
19	текстов	B-TERM	B-TERM	B-TERM	O
20	естественного	I-TERM	I-TERM	I-TERM	B-TERM
21	языка	I-TERM	I-TERM	I-TERM	I-TERM
22	.	O	O	O	O
23	Для	O	O	O	O
24	решения	O	O	O	O
25	этой	O	O	O	O
26	задачи	O	O	B-TERM	O
27	используются	O	O	O	O
28	методы	B-TERM	B-TERM	B-TERM	O
29	преобразования	I-TERM	I-TERM	I-TERM	O
30	предложений	I-TERM	I-TERM	I-TERM	O
31	естественного	I-TERM	I-TERM	I-TERM	B-TERM
32	языка	I-TERM	I-TERM	I-TERM	I-TERM
33	во	O	O	O	O
34	фрагменты	B-TERM	B-TERM	B-TERM	O
35	атомарных	I-TERM	I-TERM	I-TERM	B-TERM
36	диаграмм	I-TERM	I-TERM	I-TERM	I-TERM
37	.	O	O	O	O
38	Знания	B-TERM	B-TERM	B-TERM	O
39	,	O	O	O	O
40	извлеченные	O	O	O	O
41	из	O	O	O	O
42	текстов	B-TERM	B-TERM	B-TERM	O
43	,	O	O	O	O
44	формализуются	O	O	O	O
45	при	O	O	O	O
46	помощи	O	O	O	O
47	атомарных	B-TERM	B-TERM	B-TERM	O
48	предложений	I-TERM	I-TERM	I-TERM	O
49	сигнатуры	I-TERM	I-TERM	I-TERM	O
50	,	O	O	O	O
51	состоящей	O	O	O	O
52	из	O	O	O	O
53	символов	B-TERM	B-TERM	B-TERM	O
54	констант	I-TERM	I-TERM	I-TERM	O
55	,	O	O	O	O
56	двухместных	B-TERM	B-TERM	B-TERM	O
57	предикатов	I-TERM	I-TERM	I-TERM	O
58	и	O	O	O	O
59	дополнительных	B-TERM	B-TERM	B-TERM	O
60	констант	I-TERM	I-TERM	I-TERM	O
61	-	I-TERM	O	I-TERM	O
62	ситуаций	I-TERM	B-TERM	I-TERM	O
63	.	O	O	O	O
64	Разработаны	O	O	O	O
65	методы	B-TERM	B-TERM	B-TERM	O
66	интеграции	I-TERM	I-TERM	I-TERM	O
67	знаний	I-TERM	I-TERM	I-TERM	O
68	,	O	O	O	O
69	содержащихся	O	O	O	O
70	в	O	O	O	O
71	нескольких	O	O	O	O
72	предложениях	B-TERM	B-TERM	B-TERM	O
73	естественного	I-TERM	I-TERM	I-TERM	B-TERM
74	языка	I-TERM	I-TERM	I-TERM	I-TERM
75	,	O	O	O	O
76	позволяющие	O	O	O	O
77	учитывать	O	O	O	O
78	их	O	O	O	O
79	семантические	B-TERM	B-TERM	B-TERM	O
80	контексты	I-TERM	I-TERM	I-TERM	O
81	.	O	O	O	O
