id	token	Настя	Денис	Лена	tag
0	Моделирование	B-TERM	B-TERM	B-TERM	O
1	упругих	I-TERM	I-TERM	I-TERM	O
2	волн	I-TERM	I-TERM	I-TERM	O
3	в	O	O	O	O
4	средах	B-TERM	B-TERM	B-TERM	O
5	со	I-TERM	O	I-TERM	O
6	сложной	I-TERM	O	I-TERM	O
7	топографией	I-TERM	B-TERM	I-TERM	O
8	свободной	I-TERM	I-TERM	I-TERM	O
9	поверхности	I-TERM	I-TERM	I-TERM	O
10	Моделирование	B-TERM	B-TERM	B-TERM	O
11	–	O	O	O	O
12	неотъемлемая	O	O	O	O
13	часть	O	O	O	O
14	исследования	B-TERM	B-TERM	O	O
15	процессов	I-TERM	I-TERM	B-TERM	O
16	распространения	I-TERM	I-TERM	I-TERM	O
17	сейсмических	I-TERM	I-TERM	I-TERM	O
18	волн	I-TERM	I-TERM	I-TERM	O
19	в	O	O	O	O
20	различных	O	O	O	O
21	средах	B-TERM	B-TERM	B-TERM	O
22	.	O	O	O	O
23	Широко	O	O	O	O
24	используемый	O	O	O	O
25	способ	B-TERM	B-TERM	B-TERM	O
26	разбиения	I-TERM	I-TERM	I-TERM	O
27	области	I-TERM	I-TERM	I-TERM	O
28	на	I-TERM	I-TERM	O	O
29	прямоугольные	I-TERM	I-TERM	B-TERM	O
30	ячейки	I-TERM	I-TERM	I-TERM	O
31	обладает	O	O	O	O
32	недостатком	O	O	O	O
33	:	O	O	O	O
34	при	O	O	O	O
35	сложном	B-TERM	B-TERM	B-TERM	O
36	строении	I-TERM	I-TERM	I-TERM	O
37	свободной	I-TERM	I-TERM	I-TERM	O
38	поверхности	I-TERM	I-TERM	I-TERM	O
39	(	O	O	O	O
40	например	O	O	O	O
41	,	O	O	O	O
42	гора	O	B-TERM	B-TERM	O
43	)	O	O	O	O
44	возникают	O	O	O	O
45	эффекты	B-TERM	B-TERM	B-TERM	O
46	при	O	O	O	O
47	отражении	B-TERM	B-TERM	B-TERM	O
48	волны	I-TERM	I-TERM	I-TERM	O
49	от	O	O	O	O
50	этой	O	O	O	O
51	поверхности	B-TERM	B-TERM	B-TERM	O
52	,	O	O	O	O
53	связанные	O	O	O	O
54	с	O	O	O	O
55	тем	O	O	O	O
56	,	O	O	O	O
57	что	O	O	O	O
58	граница	B-TERM	O	B-TERM	O
59	аппроксимируется	I-TERM	O	O	O
60	ступенчатой	I-TERM	B-TERM	B-TERM	O
61	функцией	I-TERM	I-TERM	I-TERM	O
62	для	O	O	O	O
63	численного	B-TERM	B-TERM	B-TERM	O
64	решения	I-TERM	I-TERM	I-TERM	O
65	задачи	I-TERM	I-TERM	I-TERM	O
66	.	O	O	O	O
67	В	O	O	O	O
68	данной	O	O	O	O
69	работе	O	O	O	O
70	предложен	O	O	O	O
71	иной	O	O	O	O
72	подход	B-TERM	B-TERM	B-TERM	O
73	к	I-TERM	I-TERM	I-TERM	O
74	дискретизации	I-TERM	I-TERM	I-TERM	O
75	области	I-TERM	I-TERM	I-TERM	O
76	:	O	O	O	O
77	построение	B-TERM	B-TERM	B-TERM	O
78	криволинейной	I-TERM	I-TERM	I-TERM	O
79	сетки	I-TERM	I-TERM	I-TERM	O
80	,	O	O	O	O
81	хорошо	O	O	O	O
82	согласующейся	O	O	O	O
83	с	O	O	O	O
84	геометрией	B-TERM	B-TERM	B-TERM	O
85	свободной	I-TERM	I-TERM	I-TERM	O
86	поверхности	I-TERM	I-TERM	I-TERM	O
87	.	O	O	O	O
88	Предложен	O	O	O	O
89	алгоритм	B-TERM	B-TERM	B-TERM	O
90	численного	I-TERM	I-TERM	I-TERM	B-TERM
91	моделирования	I-TERM	I-TERM	I-TERM	I-TERM
92	на	O	O	O	O
93	основе	O	O	O	O
94	численного	B-TERM	B-TERM	B-TERM	O
95	решения	I-TERM	I-TERM	I-TERM	O
96	линейной	I-TERM	I-TERM	I-TERM	O
97	2D	I-TERM	I-TERM	I-TERM	O
98	-	I-TERM	I-TERM	I-TERM	O
99	системы	I-TERM	I-TERM	I-TERM	O
100	теории	I-TERM	I-TERM	I-TERM	O
101	упругости	I-TERM	I-TERM	I-TERM	O
102	,	O	O	O	O
103	записанной	O	O	O	O
104	в	O	O	O	O
105	смещениях	B-TERM	O	B-TERM	O
106	,	O	O	O	O
107	с	O	O	O	O
108	использованием	O	O	O	O
109	криволинейной	B-TERM	B-TERM	B-TERM	O
110	сетки	I-TERM	I-TERM	I-TERM	O
111	и	O	O	O	O
112	пошагового	B-TERM	B-TERM	B-TERM	O
113	метода	I-TERM	I-TERM	I-TERM	O
114	Лагерра	I-TERM	I-TERM	I-TERM	O
115	.	O	O	O	O
116	Представлены	O	O	O	O
117	результаты	B-TERM	B-TERM	O	O
118	моделирования	I-TERM	I-TERM	B-TERM	O
119	.	O	O	O	O
120	Также	O	O	O	O
121	были	O	O	O	O
122	реализованы	O	O	O	O
123	две	O	O	O	O
124	параллельные	B-TERM	O	B-TERM	O
125	версии	I-TERM	B-TERM	I-TERM	O
126	алгоритма	I-TERM	I-TERM	I-TERM	O
127	,	O	O	O	O
128	проведены	O	O	O	O
129	расчеты	B-TERM	B-TERM	B-TERM	O
130	на	O	O	O	O
131	различных	O	O	O	O
132	многоядерных	B-TERM	B-TERM	B-TERM	O
133	системах	I-TERM	I-TERM	I-TERM	O
134	(	O	O	O	O
135	на	O	O	O	O
136	классической	B-TERM	O	B-TERM	O
137	многопроцессорной	I-TERM	B-TERM	I-TERM	O
138	архитектуре	I-TERM	I-TERM	I-TERM	O
139	,	O	O	O	O
140	а	O	O	O	O
141	также	O	O	O	O
142	архитектуре	B-TERM	B-TERM	B-TERM	O
143	с	I-TERM	O	O	O
