id	token	Настя	Денис	Лена	tag
0	Программная	B-TERM	B-TERM	B-TERM	B-TERM
1	система	I-TERM	I-TERM	I-TERM	I-TERM
2	для	O	O	O	O
3	определения	B-TERM	B-TERM	B-TERM	O
4	речевых	I-TERM	I-TERM	I-TERM	O
5	действий	I-TERM	I-TERM	I-TERM	O
6	в	O	O	O	O
7	текстах	B-TERM	B-TERM	B-TERM	O
8	естественного	I-TERM	I-TERM	I-TERM	B-TERM
9	языка	I-TERM	I-TERM	I-TERM	I-TERM
10	Статья	O	O	O	O
11	посвящена	O	O	O	O
12	разработке	B-TERM	B-TERM	B-TERM	O
13	методов	I-TERM	I-TERM	I-TERM	O
14	извлечения	I-TERM	I-TERM	I-TERM	O
15	речевых	I-TERM	I-TERM	I-TERM	O
16	действий	I-TERM	I-TERM	I-TERM	O
17	из	O	O	O	O
18	текстов	B-TERM	B-TERM	B-TERM	O
19	естественного	I-TERM	I-TERM	I-TERM	B-TERM
20	языка	I-TERM	I-TERM	I-TERM	I-TERM
21	.	O	O	O	O
22	В	O	O	O	O
23	настоящее	O	O	O	O
24	время	O	O	O	O
25	одной	O	O	O	O
26	из	O	O	O	O
27	наиболее	O	O	O	O
28	важных	O	O	O	O
29	проблем	B-TERM	B-TERM	B-TERM	O
30	является	O	O	O	O
31	проблема	B-TERM	B-TERM	B-TERM	O
32	создания	I-TERM	I-TERM	I-TERM	O
33	человеко	I-TERM	I-TERM	I-TERM	O
34	-	I-TERM	I-TERM	I-TERM	O
35	машинных	I-TERM	I-TERM	I-TERM	O
36	интерфейсов	I-TERM	I-TERM	I-TERM	O
37	.	O	O	O	O
38	В	O	O	O	O
39	данной	O	O	O	O
40	работе	O	O	O	O
41	рассматривается	O	O	O	O
42	задача	B-TERM	B-TERM	B-TERM	O
43	построения	I-TERM	I-TERM	I-TERM	O
44	подобных	I-TERM	O	O	O
45	интерфейсов	I-TERM	B-TERM	B-TERM	O
46	путем	O	O	O	O
47	автоматизированного	B-TERM	B-TERM	B-TERM	O
48	извлечения	I-TERM	I-TERM	I-TERM	O
49	речевых	I-TERM	I-TERM	I-TERM	O
50	действий	I-TERM	I-TERM	I-TERM	O
51	из	O	O	O	O
52	текстов	B-TERM	B-TERM	B-TERM	O
53	естественного	I-TERM	I-TERM	I-TERM	B-TERM
54	языка	I-TERM	I-TERM	I-TERM	I-TERM
55	.	O	O	O	O
56	Использование	O	O	O	O
57	речевых	B-TERM	B-TERM	B-TERM	O
58	действий	I-TERM	I-TERM	I-TERM	O
59	позволяет	O	O	O	O
60	задавать	O	O	O	O
61	контекст	B-TERM	B-TERM	B-TERM	O
62	диалога	I-TERM	I-TERM	I-TERM	O
63	и	O	O	O	O
64	уточнять	O	O	O	O
65	смысл	B-TERM	B-TERM	B-TERM	O
66	употребляемых	I-TERM	O	O	O
67	понятий	I-TERM	B-TERM	B-TERM	O
68	.	O	O	O	O
69	По	O	O	O	O
70	результатам	O	O	O	O
71	исследования	O	B-TERM	B-TERM	O
72	была	O	O	O	O
73	разработана	O	O	O	O
74	программная	B-TERM	B-TERM	B-TERM	B-TERM
75	система	I-TERM	I-TERM	I-TERM	I-TERM
76	,	O	O	O	O
77	которая	O	O	O	O
78	способна	O	O	O	O
79	определять	B-TERM	O	O	O
80	типы	I-TERM	B-TERM	B-TERM	O
81	речевых	I-TERM	I-TERM	I-TERM	O
82	действий	I-TERM	I-TERM	I-TERM	O
83	,	O	O	O	O
84	представленных	O	O	O	O
85	в	O	O	O	O
86	текстах	B-TERM	B-TERM	B-TERM	O
87	естественного	I-TERM	I-TERM	I-TERM	B-TERM
88	языка	I-TERM	I-TERM	I-TERM	I-TERM
89	.	O	O	O	O
90	Одно	O	O	O	O
91	из	O	O	O	O
92	возможных	O	O	O	O
93	применений	O	O	O	O
94	результатов	B-TERM	O	B-TERM	O
95	данного	O	O	O	O
96	исследования	B-TERM	B-TERM	B-TERM	O
97	заключается	O	O	O	O
98	в	O	O	O	O
99	использовании	O	O	O	O
100	разработанной	O	O	O	O
101	программной	B-TERM	B-TERM	B-TERM	B-TERM
102	системы	I-TERM	I-TERM	I-TERM	I-TERM
103	при	O	O	O	O
104	создании	B-TERM	O	O	O
105	чат	I-TERM	B-TERM	B-TERM	O
106	-	I-TERM	I-TERM	I-TERM	O
107	ботов	I-TERM	I-TERM	I-TERM	O
108	.	O	O	O	O
