id	token	Денис	Настя	Лена
0	Система	B-TERM	B-TERM	B-TERM
1	каталогизации	I-TERM	I-TERM	I-TERM
2	и	I-TERM	I-TERM	I-TERM
3	мониторинга	I-TERM	I-TERM	I-TERM
4	территориально	I-TERM	I-TERM	I-TERM
5	распределенных	I-TERM	I-TERM	I-TERM
6	вычислительных	I-TERM	I-TERM	I-TERM
7	узлов	I-TERM	I-TERM	I-TERM
8	в	O	I-TERM	O
9	среде	B-TERM	I-TERM	B-TERM
10	WPS	I-TERM	I-TERM	I-TERM
11	сервисов	I-TERM	I-TERM	I-TERM
12	для	O	O	O
13	решения	O	B-TERM	O
14	геологических	B-TERM	I-TERM	B-TERM
15	задач	I-TERM	I-TERM	I-TERM
16	Данная	O	O	O
17	работа	O	O	O
18	посвящена	O	O	O
19	разработке	O	O	O
20	подхода	O	B-TERM	O
21	к	O	I-TERM	O
22	каталогизации	B-TERM	I-TERM	B-TERM
23	разнородных	I-TERM	I-TERM	I-TERM
24	web	I-TERM	I-TERM	I-TERM
25	-	I-TERM	I-TERM	I-TERM
26	сервисов	I-TERM	I-TERM	I-TERM
27	территориально	I-TERM	I-TERM	I-TERM
28	распределенных	I-TERM	I-TERM	I-TERM
29	вычислительных	I-TERM	I-TERM	I-TERM
30	узлов	I-TERM	I-TERM	I-TERM
31	в	O	I-TERM	O
32	вычислительно	B-TERM	I-TERM	B-TERM
33	-	I-TERM	I-TERM	I-TERM
34	аналитической	I-TERM	I-TERM	I-TERM
35	геологической	I-TERM	I-TERM	I-TERM
36	среде	I-TERM	I-TERM	I-TERM
37	,	O	O	O
38	а	O	O	O
39	также	O	O	O
40	принципов	O	B-TERM	O
41	по	O	I-TERM	O
42	созданию	O	I-TERM	O
43	системы	B-TERM	I-TERM	B-TERM
44	мониторинга	I-TERM	I-TERM	I-TERM
45	web	I-TERM	I-TERM	I-TERM
46	-	I-TERM	I-TERM	I-TERM
47	сервисов	I-TERM	I-TERM	I-TERM
48	,	O	O	O
49	присутствующих	O	O	O
50	в	O	O	O
51	каталоге	B-TERM	O	O
52	.	O	O	O
53	Для	O	O	O
54	этого	O	O	O
55	в	O	O	O
56	статье	O	O	O
57	рассматриваются	O	O	O
58	используемые	O	O	O
59	в	O	O	O
60	мире	O	O	O
61	подходы	O	B-TERM	O
62	по	O	I-TERM	O
63	организации	B-TERM	I-TERM	B-TERM
64	каталогов	I-TERM	I-TERM	I-TERM
65	web	I-TERM	I-TERM	I-TERM
66	-	I-TERM	I-TERM	I-TERM
67	сервисов	I-TERM	I-TERM	I-TERM
68	на	O	I-TERM	O
69	основе	O	I-TERM	O
70	SOAP	B-TERM	I-TERM	B-TERM
71	(	O	O	I-TERM
72	Simple	B-TERM	B-TERM	I-TERM
73	Object	I-TERM	I-TERM	I-TERM
74	Access	I-TERM	I-TERM	I-TERM
75	Protocol	I-TERM	I-TERM	I-TERM
76	)	O	O	I-TERM
77	протокола	B-TERM	O	I-TERM
78	,	O	O	O
79	с	O	O	O
80	использованием	O	O	O
81	UDDI	B-TERM	B-TERM	B-TERM
82	(	O	O	I-TERM
83	Universal	B-TERM	B-TERM	I-TERM
84	Description	I-TERM	I-TERM	I-TERM
85	Discovery	I-TERM	I-TERM	I-TERM
86	and	I-TERM	I-TERM	I-TERM
87	Integration	I-TERM	I-TERM	I-TERM
88	)	O	O	I-TERM
89	реестров	B-TERM	O	I-TERM
90	.	O	O	O
91	На	O	O	O
92	основе	O	O	O
93	исследованного	O	O	O
94	материала	O	O	O
95	предлагается	O	O	O
96	схема	B-TERM	B-TERM	B-TERM
97	для	I-TERM	I-TERM	I-TERM
98	описания	I-TERM	I-TERM	I-TERM
99	разнородных	I-TERM	I-TERM	I-TERM
100	web	I-TERM	I-TERM	I-TERM
101	-	I-TERM	I-TERM	I-TERM
102	сервисов	I-TERM	I-TERM	I-TERM
103	с	O	O	O
104	возможностью	O	O	O
105	дальнейшего	O	O	O
106	создания	O	O	O
107	каталога	B-TERM	B-TERM	B-TERM
108	web	I-TERM	I-TERM	I-TERM
109	-	I-TERM	I-TERM	I-TERM
110	сервисов	I-TERM	I-TERM	I-TERM
111	,	O	O	O
112	включающего	O	O	O
113	функции	B-TERM	O	B-TERM
114	поиска	I-TERM	O	I-TERM
115	и	I-TERM	O	I-TERM
116	получения	I-TERM	O	I-TERM
117	метаинформации	I-TERM	B-TERM	I-TERM
118	о	I-TERM	O	O
119	каждом	I-TERM	O	O
120	сервисе	I-TERM	O	O
121	в	O	O	O
122	каталоге	B-TERM	B-TERM	O
123	.	O	O	O
124	Также	O	O	O
125	в	O	O	O
126	статье	O	O	O
127	кратко	O	O	O
128	описываются	O	O	O
129	принципы	B-TERM	O	O
130	,	O	O	O
131	на	O	O	O
132	основе	O	O	O
133	которых	O	O	O
134	функционирует	O	O	O
135	вычислительно	B-TERM	B-TERM	B-TERM
136	-	I-TERM	I-TERM	I-TERM
137	аналитическая	I-TERM	I-TERM	I-TERM
138	геологическая	I-TERM	I-TERM	I-TERM
139	среда	I-TERM	I-TERM	I-TERM
140	,	O	O	O
141	в	O	O	O
142	рамках	O	O	O
143	которой	O	O	O
144	разрабатывается	O	O	O
145	система	B-TERM	B-TERM	B-TERM
146	каталогизации	I-TERM	I-TERM	I-TERM
147	и	I-TERM	I-TERM	I-TERM
148	мониторинга	I-TERM	I-TERM	I-TERM
149	,	O	O	O
150	и	O	O	O
151	приводится	O	O	O
152	список	B-TERM	O	O
153	территориально	I-TERM	O	B-TERM
154	распределенных	I-TERM	O	I-TERM
155	web	I-TERM	B-TERM	I-TERM
156	-	I-TERM	I-TERM	I-TERM
157	сервисов	I-TERM	I-TERM	I-TERM
158	по	I-TERM	I-TERM	I-TERM
159	обработке	I-TERM	I-TERM	I-TERM
160	разнородных	I-TERM	I-TERM	I-TERM
161	данных	I-TERM	I-TERM	I-TERM
162	,	O	O	O
163	используемых	O	O	O
164	в	O	O	O
165	данной	O	O	O
166	среде	B-TERM	B-TERM	B-TERM
167	.	O	O	O
