id	token	Настя	Денис	Лена	tag
0	Сравнительный	B-TERM	B-TERM	B-TERM	B-TERM
1	анализ	I-TERM	I-TERM	I-TERM	I-TERM
2	использования	I-TERM	O	O	O
3	реляционных	I-TERM	B-TERM	B-TERM	O
4	и	I-TERM	O	O	O
5	графовых	I-TERM	B-TERM	B-TERM	O
6	баз	I-TERM	I-TERM	I-TERM	O
7	данных	I-TERM	I-TERM	I-TERM	O
8	в	O	O	O	O
9	разработке	O	O	O	O
10	цифровых	B-TERM	B-TERM	B-TERM	O
11	образовательных	I-TERM	I-TERM	I-TERM	O
12	систем	I-TERM	I-TERM	I-TERM	O
13	Рассмотрены	O	O	O	O
14	вопросы	O	O	O	O
15	выбора	O	O	O	O
16	варианта	O	O	O	O
17	реализации	B-TERM	O	O	O
18	базы	I-TERM	B-TERM	B-TERM	O
19	данных	I-TERM	I-TERM	I-TERM	O
20	при	O	O	O	O
21	разработке	O	O	O	O
22	цифровых	B-TERM	B-TERM	B-TERM	O
23	образовательных	I-TERM	I-TERM	I-TERM	O
24	систем	I-TERM	I-TERM	I-TERM	O
25	.	O	O	O	O
26	Проведен	O	O	O	O
27	сравнительный	B-TERM	B-TERM	B-TERM	B-TERM
28	анализ	I-TERM	I-TERM	I-TERM	I-TERM
29	реляционного	I-TERM	I-TERM	B-TERM	O
30	и	I-TERM	I-TERM	O	O
31	графового	I-TERM	I-TERM	B-TERM	O
32	подходов	I-TERM	I-TERM	I-TERM	O
33	к	O	O	O	O
34	хранению	O	B-TERM	B-TERM	O
35	базовых	B-TERM	I-TERM	I-TERM	O
36	сущностей	I-TERM	I-TERM	I-TERM	O
37	.	O	O	O	O
38	Продемонстрирован	O	O	O	O
39	ряд	O	O	O	O
40	преимуществ	O	O	O	O
41	графовой	B-TERM	B-TERM	B-TERM	O
42	модели	I-TERM	I-TERM	I-TERM	O
43	в	O	O	O	O
44	контексте	O	O	O	O
45	удобства	B-TERM	B-TERM	B-TERM	O
46	разработки	I-TERM	I-TERM	I-TERM	O
47	и	O	O	O	O
48	эффективности	B-TERM	B-TERM	B-TERM	O
49	реализации	I-TERM	I-TERM	I-TERM	O
50	запросов	I-TERM	I-TERM	I-TERM	O
51	.	O	O	O	O
