id	token	Настя	Денис	Лена	tag
0	Разработка	B-TERM	B-TERM	O	O
1	автоматизированного	I-TERM	I-TERM	B-TERM	O
2	модуля	I-TERM	I-TERM	I-TERM	O
3	минерализации	I-TERM	I-TERM	I-TERM	O
4	поливной	I-TERM	I-TERM	I-TERM	O
5	воды	I-TERM	I-TERM	I-TERM	O
6	Статья	O	O	O	O
7	посвящена	O	O	O	O
8	разработке	B-TERM	B-TERM	O	O
9	системы	I-TERM	I-TERM	B-TERM	B-TERM
10	управления	I-TERM	I-TERM	I-TERM	I-TERM
11	фертигацией	I-TERM	I-TERM	I-TERM	O
12	,	O	O	O	O
13	которая	O	O	O	O
14	позволяет	O	O	O	O
15	осуществлять	O	O	O	O
16	автоматическую	B-TERM	B-TERM	B-TERM	O
17	подачу	I-TERM	I-TERM	I-TERM	O
18	удобрений	I-TERM	I-TERM	I-TERM	O
19	с	O	O	O	O
20	учетом	O	O	O	O
21	показателей	O	B-TERM	B-TERM	O
22	pH	B-TERM	I-TERM	I-TERM	O
23	и	O	O	O	O
24	EC	B-TERM	B-TERM	B-TERM	O
25	,	O	O	O	O
26	полученных	O	O	O	O
27	от	O	O	O	O
28	соответствующих	O	O	O	O
29	датчиков	B-TERM	B-TERM	B-TERM	O
30	.	O	O	O	O
31	Для	O	O	O	O
32	решения	O	O	O	O
33	этой	O	O	O	O
34	задачи	O	O	O	O
35	разработан	O	O	O	O
36	модуль	B-TERM	B-TERM	B-TERM	O
37	минерализации	I-TERM	I-TERM	I-TERM	O
38	,	O	O	O	O
39	состоящий	O	O	O	O
40	из	O	O	O	O
41	двух	O	O	O	O
42	подмодулей	B-TERM	B-TERM	B-TERM	O
43	:	O	O	O	O
44	подмодуль	B-TERM	B-TERM	B-TERM	O
45	измерения	I-TERM	I-TERM	I-TERM	O
46	и	I-TERM	I-TERM	I-TERM	O
47	регулирования	I-TERM	I-TERM	I-TERM	O
48	pH	I-TERM	I-TERM	I-TERM	O
49	и	O	O	O	O
50	подмодуль	B-TERM	B-TERM	B-TERM	O
51	измерения	I-TERM	I-TERM	I-TERM	O
52	и	I-TERM	I-TERM	I-TERM	O
53	регулирования	I-TERM	I-TERM	I-TERM	O
54	EC	I-TERM	I-TERM	I-TERM	O
55	.	O	O	O	O
56	Данные	O	O	O	O
57	передаются	O	O	O	O
58	микроконтроллеру	B-TERM	B-TERM	B-TERM	O
59	для	O	O	O	O
60	дальнейших	O	O	O	O
61	действий	O	O	O	O
62	по	O	O	O	O
63	управлению	O	O	O	O
64	системой	B-TERM	B-TERM	B-TERM	O
65	.	O	O	O	O
66	В	O	O	O	O
67	качестве	O	O	O	O
68	системы	B-TERM	B-TERM	B-TERM	B-TERM
69	принятия	I-TERM	I-TERM	I-TERM	I-TERM
70	решений	I-TERM	I-TERM	I-TERM	I-TERM
71	в	O	O	O	O
72	работе	O	O	O	O
73	использована	O	O	O	O
74	интеллектуальная	B-TERM	B-TERM	B-TERM	B-TERM
75	система	I-TERM	I-TERM	I-TERM	I-TERM
76	на	O	O	O	O
77	основе	O	O	O	O
78	нечеткой	B-TERM	B-TERM	B-TERM	B-TERM
79	логики	I-TERM	I-TERM	I-TERM	I-TERM
80	.	O	O	O	O
