id	token	Настя	Денис	Лена	tag
0	Компьютерный	B-TERM	B-TERM	B-TERM	O
1	анализ	I-TERM	I-TERM	I-TERM	O
2	альтернативного	I-TERM	I-TERM	I-TERM	O
3	сплайсинга	I-TERM	I-TERM	I-TERM	O
4	генов	I-TERM	I-TERM	I-TERM	O
5	в	O	O	O	O
6	культурах	B-TERM	B-TERM	B-TERM	O
7	клеток	I-TERM	I-TERM	I-TERM	O
8	глиом	I-TERM	I-TERM	I-TERM	O
9	по	O	O	O	O
10	данным	O	B-TERM	B-TERM	O
11	RNA	B-TERM	I-TERM	I-TERM	O
12	-	I-TERM	I-TERM	I-TERM	O
13	seq	I-TERM	I-TERM	I-TERM	O
14	Современные	O	O	O	O
15	постгеномные	B-TERM	B-TERM	B-TERM	O
16	методы	I-TERM	I-TERM	I-TERM	O
17	изучения	I-TERM	I-TERM	I-TERM	O
18	экспрессии	I-TERM	I-TERM	B-TERM	O
19	генов	I-TERM	I-TERM	I-TERM	O
20	с	O	O	O	O
21	помощью	O	O	O	O
22	транскриптомного	B-TERM	B-TERM	B-TERM	O
23	профилирования	I-TERM	I-TERM	I-TERM	O
24	имеют	O	O	O	O
25	большое	O	O	O	O
26	значение	O	O	O	O
27	для	O	O	O	O
28	фундаментальных	B-TERM	B-TERM	B-TERM	O
29	биомедицинских	I-TERM	I-TERM	I-TERM	O
30	исследований	I-TERM	I-TERM	I-TERM	O
31	в	O	O	O	O
32	онкологии	B-TERM	B-TERM	B-TERM	O
33	,	O	O	O	O
34	поиска	O	O	O	O
35	новых	O	O	O	O
36	маркеров	B-TERM	B-TERM	B-TERM	O
37	развития	I-TERM	I-TERM	I-TERM	O
38	опухолей	I-TERM	I-TERM	I-TERM	O
39	на	O	O	O	O
40	культурах	B-TERM	B-TERM	B-TERM	O
41	клеток	I-TERM	I-TERM	I-TERM	O
42	глиом	I-TERM	I-TERM	I-TERM	O
43	.	O	O	O	O
44	Такие	O	O	O	O
45	эксперименты	O	B-TERM	B-TERM	O
46	требуют	O	O	O	O
47	разработки	O	O	O	O
48	новых	O	O	O	O
49	компьютерных	B-TERM	B-TERM	B-TERM	O
50	инструментов	I-TERM	I-TERM	I-TERM	O
51	анализа	I-TERM	I-TERM	I-TERM	O
52	объемных	I-TERM	I-TERM	I-TERM	O
53	данных	I-TERM	I-TERM	I-TERM	O
54	секвенирования	I-TERM	I-TERM	I-TERM	O
55	.	O	O	O	O
56	Цель	O	O	O	O
57	представленного	O	O	O	O
58	исследования	O	O	O	O
59	–	O	O	O	O
60	компьютерный	B-TERM	B-TERM	B-TERM	O
61	поиск	I-TERM	I-TERM	I-TERM	O
62	генов	I-TERM	I-TERM	I-TERM	O
63	и	O	O	O	O
64	их	O	O	O	O
65	изоформ	B-TERM	B-TERM	B-TERM	O
66	,	O	O	O	O
67	нарушение	B-TERM	B-TERM	B-TERM	O
68	экспрессии	I-TERM	I-TERM	I-TERM	O
69	которых	O	O	O	O
70	связано	O	O	O	O
71	с	O	O	O	O
72	развитием	O	O	O	O
73	глиобластом	B-TERM	B-TERM	B-TERM	O
74	,	O	O	O	O
75	с	O	O	O	O
76	помощью	O	O	O	O
77	современных	O	O	O	O
78	высокопроизводительных	B-TERM	O	O	O
79	технологий	I-TERM	B-TERM	B-TERM	O
80	секвенирования	I-TERM	I-TERM	I-TERM	O
81	транскриптом	I-TERM	I-TERM	I-TERM	O
82	и	O	O	O	O
83	международных	B-TERM	O	O	O
84	биомедицинских	I-TERM	B-TERM	B-TERM	O
85	банков	I-TERM	I-TERM	I-TERM	O
86	данных	I-TERM	I-TERM	I-TERM	O
87	.	O	O	O	O
88	Поиск	O	O	O	O
89	генов	B-TERM	B-TERM	B-TERM	O
90	–	I-TERM	O	I-TERM	O
91	кандидатов	I-TERM	O	I-TERM	O
92	для	O	O	O	O
93	терапевтического	B-TERM	B-TERM	B-TERM	O
94	воздействия	I-TERM	I-TERM	I-TERM	O
95	в	O	O	O	O
96	опухолях	B-TERM	B-TERM	B-TERM	O
97	,	O	O	O	O
98	в	O	O	O	O
99	том	O	O	O	O
100	числе	O	O	O	O
101	отдельных	O	O	O	O
102	изоформ	B-TERM	B-TERM	B-TERM	O
103	генов	I-TERM	I-TERM	I-TERM	O
104	,	O	O	O	O
105	актуален	O	O	O	O
106	в	O	O	O	O
107	здравоохранении	B-TERM	B-TERM	B-TERM	O
108	и	O	O	O	O
109	современной	O	O	O	O
110	высокотехнологичной	B-TERM	O	O	O
111	медицине	I-TERM	B-TERM	B-TERM	O
112	.	O	O	O	O
113	В	O	O	O	O
114	данной	O	O	O	O
115	работе	O	O	O	O
116	представлены	O	O	O	O
117	задачи	O	B-TERM	O	O
118	биоинформатики	B-TERM	I-TERM	B-TERM	O
119	,	O	O	O	O
120	связанные	O	O	O	O
121	с	O	O	O	O
122	разработкой	O	O	O	O
123	компьютерных	B-TERM	B-TERM	B-TERM	O
124	конвейеров	I-TERM	I-TERM	I-TERM	O
125	обработки	I-TERM	I-TERM	I-TERM	O
126	транскриптомных	I-TERM	I-TERM	I-TERM	O
127	данных	I-TERM	I-TERM	I-TERM	O
128	,	O	O	O	O
129	определения	O	O	O	O
130	дифференциально	B-TERM	B-TERM	B-TERM	O
131	экспрессирующихся	I-TERM	I-TERM	I-TERM	O
132	генов	I-TERM	I-TERM	I-TERM	O
133	,	O	O	O	O
134	анализа	B-TERM	O	O	O
135	альтернативного	I-TERM	B-TERM	B-TERM	O
136	сплайсинга	I-TERM	I-TERM	I-TERM	O
137	,	O	O	O	O
138	описания	O	O	O	O
139	категорий	B-TERM	B-TERM	B-TERM	O
140	генных	I-TERM	I-TERM	I-TERM	O
141	онтологий	I-TERM	I-TERM	I-TERM	O
142	для	O	O	O	O
143	найденных	O	O	O	O
144	групп	B-TERM	B-TERM	B-TERM	O
145	генов	I-TERM	I-TERM	I-TERM	O
146	.	O	O	O	O
147	Рассмотрены	O	O	O	O
148	задачи	O	B-TERM	B-TERM	O
149	автоматического	B-TERM	I-TERM	I-TERM	O
150	поиска	I-TERM	I-TERM	I-TERM	O
151	и	O	I-TERM	I-TERM	O
152	описания	O	I-TERM	I-TERM	O
153	функций	B-TERM	I-TERM	I-TERM	O
154	генов	I-TERM	I-TERM	I-TERM	O
155	в	O	O	O	O
156	связи	O	O	O	O
157	с	O	O	O	O
158	раковыми	B-TERM	B-TERM	B-TERM	O
159	заболеваниями	I-TERM	I-TERM	I-TERM	O
160	,	O	O	O	O
161	визуализации	B-TERM	B-TERM	B-TERM	O
