id	token	Денис	Настя	Лена	auto_tag
0	Обобщенный	O	O	O	O
1	алгоритм	B-TERM	B-TERM	B-TERM	O
2	защищенного	I-TERM	I-TERM	I-TERM	O
3	информационного	I-TERM	I-TERM	I-TERM	B-TERM
4	обмена	I-TERM	I-TERM	I-TERM	I-TERM
5	для	O	O	O	O
6	беспроводных	B-TERM	B-TERM	B-TERM	O
7	систем	I-TERM	I-TERM	I-TERM	O
8	безопасности	I-TERM	I-TERM	I-TERM	O
9	с	O	O	O	O
10	усложненной	O	O	O	O
11	имитовставкой	B-TERM	B-TERM	B-TERM	O
					
12	На	O	O	O	O
13	основании	O	O	O	O
14	обобщенного	O	O	O	O
15	алгоритма	B-TERM	B-TERM	B-TERM	O
16	защищенного	I-TERM	I-TERM	I-TERM	O
17	информационного	I-TERM	I-TERM	I-TERM	B-TERM
18	обмена	I-TERM	I-TERM	I-TERM	I-TERM
19	для	O	O	O	O
20	беспроводных	B-TERM	B-TERM	B-TERM	O
21	систем	I-TERM	I-TERM	I-TERM	O
22	безопасности	I-TERM	I-TERM	I-TERM	O
23	и	O	O	O	O
24	защищенного	O	O	O	O
25	устройства	O	O	O	O
26	управления	O	O	O	O
27	группой	O	O	O	O
28	роботов	O	O	O	O
29	разработан	O	O	O	O
30	обобщенный	O	O	O	O
31	алгоритм	B-TERM	B-TERM	B-TERM	O
32	защищенного	I-TERM	I-TERM	I-TERM	O
33	информационного	I-TERM	I-TERM	I-TERM	B-TERM
34	обмена	I-TERM	I-TERM	I-TERM	I-TERM
35	с	O	O	O	O
36	усложненной	O	O	O	O
37	имитовставкой	B-TERM	B-TERM	B-TERM	O
38	для	O	O	O	O
39	беспроводных	B-TERM	O	B-TERM	O
40	систем	I-TERM	B-TERM	I-TERM	O
41	безопасности	I-TERM	I-TERM	I-TERM	O
42	.	O	O	O	O
43	Данный	O	O	O	O
44	алгоритм	B-TERM	B-TERM	B-TERM	O
45	основан	O	O	O	O
46	на	O	O	O	O
47	использовании	O	O	O	O
48	в	O	O	O	O
49	управляющем	O	O	O	O
50	блоке	O	O	O	O
51	контроля	O	O	O	O
52	программируемого	O	O	O	O
53	постоянного	O	O	O	O
54	запоминающего	O	O	O	O
55	устройства	O	O	O	O
56	уникальных	O	O	O	O
57	идентификационных	B-TERM	O	O	O
58	данных	I-TERM	O	O	O
59	,	O	O	O	O
60	в	O	O	O	O
61	котором	O	O	O	O
62	хранится	O	O	O	O
63	таблица	O	O	O	O
64	уникальных	O	O	O	O
65	кодовых	B-TERM	B-TERM	B-TERM	O
66	последовательностей	I-TERM	I-TERM	I-TERM	O
67	,	O	O	O	O
68	присваиваемых	O	O	O	O
69	каждому	O	O	O	O
70	контролируемому	O	O	O	O
71	объекту	O	O	O	O
72	.	O	O	O	O
73	Имитозащищенность	B-TERM	B-TERM	B-TERM	O
74	передаваемых	O	O	O	O
75	команд	O	O	O	O
76	обеспечивается	O	O	O	O
77	за	O	O	O	O
78	счет	O	O	O	O
79	добавления	O	O	O	O
80	к	O	O	O	O
81	ним	O	O	O	O
82	суммы	O	O	O	O
83	по	O	O	O	O
84	правилу	B-TERM	B-TERM	B-TERM	O
85	XOR	I-TERM	I-TERM	I-TERM	O
86	исходного	I-TERM	O	O	O
87	значения	I-TERM	O	O	O
88	первой	I-TERM	O	O	O
89	псевдослучайной	I-TERM	B-TERM	B-TERM	O
90	последовательности	I-TERM	I-TERM	I-TERM	O
91	ПСП	I-TERM	O	I-TERM	O
92	-	O	O	O	O
93	1	O	O	O	O
94	и	O	O	O	O
95	уникальных	B-TERM	O	O	O
96	идентификационных	I-TERM	O	O	O
97	данных	I-TERM	O	O	O
98	контролируемого	O	O	O	O
99	объекта	O	O	O	O
100	.	O	O	O	O
101	С	O	O	O	O
102	помощью	O	O	O	O
103	разработанного	O	O	O	O
104	алгоритма	B-TERM	B-TERM	B-TERM	O
105	(	O	O	O	O
106	при	O	O	O	O
107	соответствующей	O	O	O	O
108	адаптации	O	O	O	O
109	)	O	O	O	O
110	можно	O	O	O	O
111	затруднить	O	O	O	O
112	стороннему	O	O	O	O
113	наблюдателю	O	O	O	O
114	выявление	O	O	O	O
115	проверяемого	O	O	O	O
116	в	O	O	O	O
117	данный	O	O	O	O
118	момент	O	O	O	O
119	времени	O	O	O	O
120	контролируемого	O	O	O	O
121	объекта	O	O	O	O
122	,	O	O	O	O
123	одновременно	O	O	O	O
124	осуществить	O	O	O	O
125	индивидуальную	O	O	O	O
126	проверку	O	O	O	O
127	требуемого	O	O	O	O
128	контролируемого	O	O	O	O
129	объекта	O	O	O	O
130	на	O	O	O	O
131	подлинность	O	O	O	O
132	и	O	O	O	O
133	наличие	O	O	O	O
134	всех	O	O	O	O
135	контролируемых	O	O	O	O
136	объектов	O	O	O	O
137	в	O	O	O	O
138	радиусе	B-TERM	O	O	O
139	связи	I-TERM	O	O	O
140	.	O	O	O	O
141	Разработанный	O	O	O	O
142	алгоритм	B-TERM	B-TERM	B-TERM	O
143	с	O	O	O	O
144	усложненной	O	O	O	O
145	имитовставкой	O	B-TERM	B-TERM	O
146	может	O	O	O	O
147	найти	O	O	O	O
148	применение	O	O	O	O
149	в	O	O	O	O
150	различных	O	O	O	O
151	областях	O	O	O	O
152	беспроводных	B-TERM	O	B-TERM	O
153	систем	I-TERM	B-TERM	I-TERM	O
154	безопасности	I-TERM	I-TERM	I-TERM	O
155	,	O	O	O	O
156	в	O	O	O	O
157	которых	O	O	O	O
158	требуется	O	O	O	O
159	защита	O	O	O	O
160	передаваемых	O	O	O	O
161	по	O	O	O	O
162	радиоканалу	B-TERM	O	O	O
163	тревожных	O	O	O	O
164	и	O	O	O	O
165	служебных	O	O	O	O
166	сообщений	O	O	O	O
167	от	O	O	O	O
168	несанкционированного	B-TERM	O	O	O
169	доступа	I-TERM	O	O	O
170	.	O	O	O	O
