id	token	Настя	Денис	Лена	tag
0	Сytoscape	B-TERM	B-TERM	B-TERM	O
1	–	O	O	I-TERM	O
2	плагин	B-TERM	B-TERM	I-TERM	O
3	для	I-TERM	O	O	O
4	построения	I-TERM	B-TERM	B-TERM	O
5	структурных	I-TERM	I-TERM	I-TERM	O
6	моделей	I-TERM	I-TERM	I-TERM	O
7	биологических	I-TERM	I-TERM	I-TERM	O
8	сетей	I-TERM	I-TERM	I-TERM	O
9	в	O	O	O	O
10	виде	O	O	O	O
11	случайных	B-TERM	B-TERM	B-TERM	O
12	графов	I-TERM	I-TERM	I-TERM	O
13	Современные	O	O	O	O
14	методы	B-TERM	B-TERM	B-TERM	O
15	экспериментальных	O	I-TERM	I-TERM	O
16	исследований	O	I-TERM	I-TERM	O
17	позволяют	O	O	O	O
18	реконструировать	B-TERM	O	O	O
19	различного	I-TERM	O	O	O
20	типа	I-TERM	O	O	O
21	биологические	I-TERM	B-TERM	B-TERM	O
22	сети	I-TERM	I-TERM	I-TERM	O
23	,	O	O	O	O
24	включая	O	O	O	O
25	генные	B-TERM	B-TERM	B-TERM	O
26	и	O	O	O	O
27	метаболические	B-TERM	B-TERM	B-TERM	O
28	сети	I-TERM	I-TERM	I-TERM	O
29	,	O	O	O	O
30	сети	B-TERM	B-TERM	B-TERM	O
31	интерактомики	I-TERM	I-TERM	I-TERM	O
32	,	O	O	O	O
33	сети	B-TERM	B-TERM	B-TERM	O
34	коэкспрессии	I-TERM	I-TERM	I-TERM	O
35	генов	O	I-TERM	I-TERM	O
36	,	O	O	O	O
37	сети	B-TERM	B-TERM	B-TERM	O
38	заболеваний	I-TERM	I-TERM	I-TERM	O
39	и	O	O	O	O
40	т	O	O	O	O
41	.	O	O	O	O
42	д	O	O	O	O
43	.	O	O	O	O
44	В	O	O	O	O
45	данной	O	O	O	O
46	статье	O	O	O	O
47	представлена	O	O	O	O
48	разработанная	O	O	O	O
49	нами	O	O	O	O
50	система	B-TERM	B-TERM	B-TERM	O
51	построения	I-TERM	I-TERM	I-TERM	O
52	структурных	I-TERM	I-TERM	I-TERM	O
53	моделей	I-TERM	I-TERM	I-TERM	O
54	биологических	I-TERM	I-TERM	I-TERM	O
55	сетей	I-TERM	I-TERM	I-TERM	O
56	в	O	O	O	O
57	виде	O	O	O	O
58	набора	B-TERM	B-TERM	B-TERM	O
59	случайных	I-TERM	I-TERM	I-TERM	O
60	графов	I-TERM	I-TERM	I-TERM	O
61	,	O	O	O	O
62	структурные	B-TERM	B-TERM	B-TERM	O
63	закономерности	I-TERM	I-TERM	I-TERM	O
64	которых	O	O	O	O
65	совпадают	O	O	O	O
66	со	O	O	O	O
67	структурными	B-TERM	B-TERM	B-TERM	O
68	закономерностями	I-TERM	I-TERM	I-TERM	O
69	исходной	O	I-TERM	O	O
70	биологической	B-TERM	I-TERM	B-TERM	O
71	сети	I-TERM	I-TERM	I-TERM	O
72	.	O	O	O	O
73	Такие	O	O	O	O
74	структурные	B-TERM	B-TERM	B-TERM	O
75	модели	I-TERM	I-TERM	I-TERM	O
76	могут	O	O	O	O
77	быть	O	O	O	O
78	использованы	O	O	O	O
79	для	O	O	O	O
80	проверки	O	O	O	O
81	различных	O	O	O	O
82	статистических	B-TERM	B-TERM	B-TERM	O
83	гипотез	I-TERM	I-TERM	I-TERM	O
84	на	O	O	O	O
85	сетях	B-TERM	B-TERM	B-TERM	O
86	,	O	O	O	O
87	в	O	O	O	O
88	исследовании	O	O	O	O
89	влияния	O	O	O	O
90	структурных	B-TERM	B-TERM	B-TERM	O
91	закономерностей	I-TERM	I-TERM	I-TERM	O
92	в	O	O	O	O
93	биологических	B-TERM	B-TERM	B-TERM	O
94	сетях	I-TERM	I-TERM	I-TERM	O
95	на	O	O	O	O
96	их	O	O	O	O
97	функцию	B-TERM	B-TERM	B-TERM	O
98	и	O	O	O	O
99	других	O	O	O	O
100	задачах	B-TERM	B-TERM	B-TERM	O
101	.	O	O	O	O
102	При	O	O	O	O
103	генерации	B-TERM	B-TERM	B-TERM	O
