id	token	Настя	Денис	Лена	tag	tag
0	Исследование	B-TERM	B-TERM	B-TERM	O	O
1	производительности	I-TERM	I-TERM	I-TERM	O	O
2	приложений	I-TERM	I-TERM	I-TERM	O	O
3	баз	I-TERM	I-TERM	I-TERM	O	O
4	данных	I-TERM	I-TERM	I-TERM	O	O
5	:	O	O	O	O	O
6	транзакционная	B-TERM	B-TERM	B-TERM	O	O
7	модель	I-TERM	I-TERM	I-TERM	O	O
8	и	O	O	O	O	O
9	архитектура	B-TERM	B-TERM	B-TERM	O	O
10	имитационной	I-TERM	I-TERM	I-TERM	O	O
11	системы	I-TERM	I-TERM	I-TERM	O	O
12	Высокий	O	O	O	O	O
13	уровень	B-TERM	B-TERM	O	O	O
14	изменчивости	I-TERM	I-TERM	O	O	O
15	программного	I-TERM	I-TERM	O	O	O
16	и	I-TERM	I-TERM	O	O	O
17	технического	I-TERM	I-TERM	O	O	O
18	обеспечения	I-TERM	I-TERM	O	O	O
19	информационных	I-TERM	I-TERM	B-TERM	B-TERM	B-TERM
20	систем	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
21	требует	O	O	O	O	O
22	получения	O	O	O	O	O
23	оценок	O	O	O	O	O
24	их	O	O	O	O	O
25	производительности	B-TERM	B-TERM	B-TERM	O	O
26	за	O	O	O	O	O
27	ограниченные	O	O	O	O	O
28	сроки	O	O	O	O	O
29	на	O	O	O	O	O
30	любых	O	O	O	O	O
31	стадиях	B-TERM	B-TERM	B-TERM	O	O
32	их	O	O	O	O	O
33	жизненного	B-TERM	B-TERM	B-TERM	B-TERM	B-TERM
34	цикла	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
35	.	O	O	O	O	O
36	В	O	O	O	O	O
37	статье	O	O	O	O	O
38	рассматривается	O	O	O	O	O
39	унифицированный	B-TERM	B-TERM	B-TERM	O	O
40	процесс	I-TERM	I-TERM	I-TERM	O	O
41	обработки	I-TERM	I-TERM	I-TERM	O	O
42	данных	I-TERM	I-TERM	I-TERM	O	O
43	в	O	O	O	O	O
44	клиент	B-TERM	B-TERM	B-TERM	O	O
45	-	I-TERM	I-TERM	I-TERM	O	O
46	серверном	I-TERM	I-TERM	I-TERM	O	O
47	приложении	I-TERM	I-TERM	I-TERM	O	O
48	,	O	O	O	O	O
49	которое	O	O	O	O	O
50	взаимодействует	O	O	O	O	O
51	с	O	O	O	O	O
52	базой	B-TERM	B-TERM	B-TERM	O	O
53	данных	I-TERM	I-TERM	I-TERM	O	O
54	,	O	O	O	O	O
55	состоящей	O	O	O	O	O
56	из	O	O	O	O	O
57	стандартных	B-TERM	O	O	O	O
58	компонентов	I-TERM	O	O	O	O
59	.	O	O	O	O	O
60	Формальная	B-TERM	O	O	O	O
61	модель	I-TERM	B-TERM	B-TERM	O	O
62	процесса	I-TERM	I-TERM	I-TERM	O	O
63	представлена	O	O	O	O	O
64	одноканальной	B-TERM	B-TERM	B-TERM	O	O
65	системой	I-TERM	I-TERM	I-TERM	B-TERM	B-TERM
66	массового	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
67	обслуживания	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
68	с	O	O	O	O	O
69	входящим	B-TERM	O	B-TERM	O	O
70	потоком	I-TERM	B-TERM	I-TERM	O	O
71	требований	I-TERM	I-TERM	I-TERM	O	O
72	,	O	O	O	O	O
73	интегрирующим	O	O	O	O	O
74	элементарные	B-TERM	B-TERM	B-TERM	O	O
75	потоки	I-TERM	I-TERM	I-TERM	O	O
76	,	O	O	O	O	O
77	каждый	O	O	O	O	O
78	из	O	O	O	O	O
79	которых	O	O	O	O	O
80	ассоциируется	O	O	O	O	O
81	с	O	O	O	O	O
82	определенным	O	O	O	O	O
83	транзакционным	B-TERM	B-TERM	B-TERM	O	O
84	классом	I-TERM	I-TERM	I-TERM	O	O
85	.	O	O	O	O	O
86	Излагаются	O	O	O	O	O
87	актуальные	O	O	O	O	O
88	вопросы	O	O	O	O	O
89	реализации	O	O	O	O	O
90	модели	B-TERM	B-TERM	B-TERM	O	O
91	и	O	O	O	O	O
92	приводятся	O	O	O	O	O
93	результаты	O	O	O	O	O
94	имитационных	B-TERM	B-TERM	B-TERM	O	O
95	экспериментов	I-TERM	I-TERM	I-TERM	O	O
96	,	O	O	O	O	O
97	отражающие	O	O	O	O	O
98	продолжительность	B-TERM	B-TERM	B-TERM	O	O
99	отклика	I-TERM	I-TERM	I-TERM	O	O
100	системы	I-TERM	I-TERM	I-TERM	O	O
101	на	O	O	O	O	O
102	задаваемую	O	O	O	O	O
103	рабочую	B-TERM	O	B-TERM	O	O
104	нагрузку	I-TERM	O	I-TERM	O	O
105	.	O	O	O	O	O
