id	token	Настя	Денис	Лена	tag	tag
0	Анализ	B-TERM	B-TERM	B-TERM	O	O
1	управления	I-TERM	I-TERM	I-TERM	O	O
2	региональной	I-TERM	I-TERM	I-TERM	O	O
3	защитой	I-TERM	I-TERM	I-TERM	O	O
4	в	O	O	O	O	O
5	чрезвычайных	B-TERM	B-TERM	B-TERM	O	O
6	ситуациях	I-TERM	I-TERM	I-TERM	O	O
7	Исследуются	O	O	O	O	O
8	процессы	B-TERM	B-TERM	B-TERM	O	O
9	развития	I-TERM	I-TERM	I-TERM	O	O
10	чрезвычайных	I-TERM	I-TERM	I-TERM	O	O
11	ситуаций	I-TERM	I-TERM	I-TERM	O	O
12	(	O	O	O	O	O
13	ЧС	B-TERM	B-TERM	B-TERM	O	O
14	)	O	O	O	O	O
15	и	O	O	O	O	O
16	формулируются	O	O	O	O	O
17	задачи	O	O	O	O	O
18	управления	O	O	O	O	O
19	защитными	B-TERM	B-TERM	B-TERM	O	O
20	мероприятиями	I-TERM	I-TERM	I-TERM	O	O
21	.	O	O	O	O	O
22	Уточняются	O	O	O	O	O
23	исходные	B-TERM	B-TERM	B-TERM	O	O
24	понятия	I-TERM	I-TERM	I-TERM	O	O
25	,	O	O	O	O	O
26	и	O	O	O	O	O
27	разрабатывается	O	O	O	O	O
28	общая	B-TERM	O	O	O	O
29	классификация	I-TERM	B-TERM	B-TERM	O	O
30	ЧС	I-TERM	I-TERM	I-TERM	O	O
31	.	O	O	O	O	O
32	Выделяются	O	O	O	O	O
33	существенные	O	O	O	O	O
34	,	O	O	O	O	O
35	определяющие	O	O	O	O	O
36	процессы	O	O	O	O	O
37	проявления	O	O	O	O	O
38	поражающих	B-TERM	B-TERM	B-TERM	O	O
39	воздействий	I-TERM	I-TERM	I-TERM	O	O
40	и	O	O	O	O	O
41	выполнения	O	O	O	O	O
42	защитных	B-TERM	B-TERM	B-TERM	O	O
43	мероприятий	I-TERM	I-TERM	I-TERM	O	O
44	.	O	O	O	O	O
45	Для	O	O	O	O	O
46	структуризации	O	O	O	O	O
47	этих	O	O	O	O	O
48	факторов	O	O	O	O	O
49	и	O	O	O	O	O
50	формулировки	O	O	O	O	O
51	задач	O	O	O	O	O
52	управления	O	O	O	O	O
53	предлагается	O	O	O	O	O
54	система	B-TERM	B-TERM	B-TERM	O	O
55	показателей	I-TERM	I-TERM	I-TERM	O	O
56	защиты	I-TERM	I-TERM	I-TERM	O	O
57	,	O	O	O	O	O
58	которые	O	O	O	O	O
59	допускают	O	O	O	O	O
60	оперативное	B-TERM	B-TERM	B-TERM	O	O
61	измерение	I-TERM	I-TERM	I-TERM	O	O
62	в	O	O	O	O	O
63	реальных	B-TERM	B-TERM	B-TERM	O	O
64	условиях	I-TERM	I-TERM	I-TERM	O	O
65	.	O	O	O	O	O
