id	token	Настя	Денис	Лена	tag
0	Бинарные	B-TERM	B-TERM	B-TERM	O
1	операции	I-TERM	I-TERM	I-TERM	O
2	в	O	O	O	O
3	информационной	B-TERM	B-TERM	B-TERM	B-TERM
4	системе	I-TERM	I-TERM	I-TERM	I-TERM
5	«	O	O	I-TERM	O
6	Молекулярная	O	B-TERM	I-TERM	O
7	спектроскопия	O	I-TERM	I-TERM	O
8	»	O	O	I-TERM	O
9	Представлен	O	O	O	O
10	подход	B-TERM	O	B-TERM	O
11	,	O	O	O	O
12	использованный	O	O	O	O
13	при	O	O	O	O
14	разработке	O	O	O	O
15	и	O	O	O	O
16	реализации	O	O	O	O
17	модуля	B-TERM	B-TERM	B-TERM	O
18	,	O	O	O	O
19	выполняющего	O	O	O	O
20	бинарные	B-TERM	B-TERM	B-TERM	O
21	операции	I-TERM	I-TERM	I-TERM	O
22	над	O	O	O	O
23	данными	O	B-TERM	B-TERM	O
24	в	O	O	O	O
25	ИС	B-TERM	B-TERM	B-TERM	O
26	«	O	O	I-TERM	O
27	Молекулярная	O	B-TERM	I-TERM	O
28	спектроскопия	O	I-TERM	I-TERM	O
29	».	O	O	I-TERM	O
30	Приводится	O	O	O	O
31	формализация	O	O	O	O
32	бинарных	B-TERM	B-TERM	B-TERM	O
33	операций	I-TERM	I-TERM	I-TERM	O
34	над	O	O	O	O
35	наборами	B-TERM	B-TERM	B-TERM	O
36	спектроскопических	I-TERM	I-TERM	I-TERM	O
37	данных	I-TERM	I-TERM	I-TERM	O
38	с	O	O	O	O
39	учетом	O	O	O	O
40	особенностей	O	O	O	O
41	предметной	B-TERM	B-TERM	B-TERM	B-TERM
42	области	I-TERM	I-TERM	I-TERM	I-TERM
43	.	O	O	O	O
44	Описываются	O	O	O	O
45	алгоритм	B-TERM	B-TERM	B-TERM	O
46	действий	O	I-TERM	I-TERM	O
47	и	O	O	O	O
48	интерфейс	B-TERM	B-TERM	B-TERM	O
49	пользователя	I-TERM	I-TERM	I-TERM	O
50	для	O	O	O	O
51	проведения	O	O	O	O
52	бинарных	B-TERM	B-TERM	B-TERM	O
53	операций	I-TERM	I-TERM	I-TERM	O
54	–	O	O	O	O
55	единые	O	O	O	O
56	для	O	O	O	O
57	имеющихся	O	O	O	O
58	баз	B-TERM	B-TERM	B-TERM	O
59	данных	I-TERM	I-TERM	I-TERM	O
60	по	O	O	O	O
61	различным	O	O	O	O
62	веществам	O	B-TERM	B-TERM	O
63	и	O	O	O	O
64	нескольким	O	O	O	O
65	типам	O	O	O	O
66	спектроскопических	B-TERM	B-TERM	B-TERM	O
67	данных	I-TERM	I-TERM	I-TERM	O
68	.	O	O	O	O
