id	token	Настя	Денис	Лена	tag
0	Программы	B-TERM	B-TERM	B-TERM	O
1	статистической	B-TERM	I-TERM	I-TERM	B-TERM
2	обработки	I-TERM	I-TERM	I-TERM	I-TERM
3	,	O	O	O	O
4	кластеризации	B-TERM	B-TERM	B-TERM	O
5	и	O	O	O	O
6	визуализации	B-TERM	B-TERM	B-TERM	O
7	распределения	I-TERM	I-TERM	O	O
8	сайтов	I-TERM	I-TERM	B-TERM	O
9	связывания	I-TERM	I-TERM	I-TERM	O
10	транскрипционных	I-TERM	I-TERM	I-TERM	O
11	факторов	I-TERM	I-TERM	I-TERM	O
12	в	I-TERM	O	O	O
13	геноме	I-TERM	B-TERM	B-TERM	O
14	Исследование	O	O	O	O
15	регуляции	B-TERM	B-TERM	B-TERM	O
16	транскрипции	I-TERM	I-TERM	I-TERM	O
17	генов	I-TERM	I-TERM	I-TERM	O
18	на	O	O	O	O
19	основе	O	O	O	O
20	данных	O	B-TERM	B-TERM	O
21	современных	O	O	O	O
22	технологий	B-TERM	B-TERM	B-TERM	O
23	высокопроизводительного	I-TERM	I-TERM	I-TERM	O
24	секвенирования	I-TERM	I-TERM	I-TERM	O
25	является	O	O	O	O
26	актуальной	O	O	O	O
27	задачей	O	B-TERM	O	O
28	биоинформатики	B-TERM	I-TERM	B-TERM	O
29	,	O	O	O	O
30	требующей	O	O	O	O
31	развития	O	B-TERM	O	O
32	новых	O	O	O	O
33	компьютерных	B-TERM	B-TERM	B-TERM	O
34	средств	I-TERM	I-TERM	I-TERM	O
35	,	O	O	O	O
36	в	O	O	O	O
37	том	O	O	O	O
38	числе	O	O	O	O
39	на	O	O	O	O
40	основе	O	O	O	O
41	суперкомпьютерных	B-TERM	B-TERM	B-TERM	O
42	вычислений	I-TERM	I-TERM	I-TERM	O
43	.	O	O	O	O
44	Рассмотрены	O	O	O	O
45	задачи	O	B-TERM	O	O
46	обработки	O	I-TERM	B-TERM	O
47	данных	B-TERM	I-TERM	I-TERM	O
48	полногеномных	I-TERM	I-TERM	I-TERM	O
49	профилей	I-TERM	I-TERM	I-TERM	O
50	ChIP	I-TERM	I-TERM	I-TERM	O
51	-	I-TERM	I-TERM	I-TERM	O
52	seq	I-TERM	I-TERM	I-TERM	O
53	связывания	B-TERM	I-TERM	B-TERM	O
54	транскрипционных	I-TERM	I-TERM	I-TERM	O
55	факторов	I-TERM	I-TERM	I-TERM	O
56	в	I-TERM	O	O	O
57	геномах	I-TERM	B-TERM	B-TERM	O
58	,	O	O	O	O
59	определения	B-TERM	O	O	O
60	пиков	I-TERM	B-TERM	B-TERM	O
61	профилей	I-TERM	I-TERM	I-TERM	O
62	и	O	O	O	O
63	поиска	B-TERM	O	O	O
64	сайтов	I-TERM	B-TERM	B-TERM	O
65	связывания	I-TERM	I-TERM	I-TERM	O
66	в	I-TERM	O	O	O
67	нуклеотидных	I-TERM	B-TERM	B-TERM	O
68	последовательностях	I-TERM	I-TERM	I-TERM	O
69	таких	O	O	O	O
70	пиков	B-TERM	B-TERM	B-TERM	O
71	.	O	O	O	O
72	Разработаны	O	O	O	O
73	программы	O	B-TERM	B-TERM	O
74	для	O	O	O	O
75	анализа	B-TERM	B-TERM	B-TERM	O
76	положения	I-TERM	I-TERM	I-TERM	O
77	сайтов	I-TERM	I-TERM	I-TERM	O
78	связывания	I-TERM	I-TERM	I-TERM	O
79	в	I-TERM	O	O	O
80	геноме	I-TERM	B-TERM	B-TERM	O
81	относительно	O	O	O	O
82	районов	B-TERM	O	B-TERM	O
83	генов	I-TERM	B-TERM	I-TERM	O
84	,	O	O	O	O
85	расчета	B-TERM	B-TERM	O	O
86	кластеров	I-TERM	I-TERM	B-TERM	O
87	таких	O	O	O	O
88	сайтов	I-TERM	B-TERM	B-TERM	O
89	и	O	O	O	O
90	визуализации	B-TERM	B-TERM	B-TERM	O
91	их	O	O	O	O
92	положения	I-TERM	O	O	O
93	в	I-TERM	O	O	O
94	геноме	I-TERM	B-TERM	B-TERM	O
95	.	O	O	O	O
