id	token	Настя	Денис	Лена	tag
0	Описание	B-TERM	O	O	O
1	долговременной	I-TERM	B-TERM	B-TERM	O
2	эволюции	I-TERM	I-TERM	I-TERM	O
3	берегового	I-TERM	I-TERM	I-TERM	O
4	профиля	I-TERM	I-TERM	I-TERM	O
5	на	O	O	O	O
6	основе	O	O	O	O
7	диффузионной	B-TERM	B-TERM	B-TERM	O
8	модели	I-TERM	I-TERM	I-TERM	O
9	Рассматривается	O	O	O	O
10	диффузионная	B-TERM	B-TERM	B-TERM	O
11	модель	I-TERM	I-TERM	I-TERM	O
12	для	I-TERM	O	O	O
13	описания	I-TERM	O	O	O
14	долговременной	I-TERM	B-TERM	B-TERM	O
15	эволюции	I-TERM	I-TERM	I-TERM	O
16	профиля	I-TERM	I-TERM	I-TERM	O
17	глубин	I-TERM	I-TERM	I-TERM	O
18	в	O	O	O	O
19	прибрежной	B-TERM	B-TERM	B-TERM	O
20	зоне	I-TERM	I-TERM	I-TERM	O
21	.	O	O	O	O
22	Для	O	O	O	O
23	калибровки	B-TERM	B-TERM	B-TERM	O
24	модели	I-TERM	O	I-TERM	O
25	решалась	O	O	O	O
26	обратная	B-TERM	B-TERM	B-TERM	B-TERM
27	задача	I-TERM	I-TERM	I-TERM	I-TERM
28	восстановления	I-TERM	I-TERM	I-TERM	O
29	коэффициентов	I-TERM	I-TERM	I-TERM	O
30	по	O	O	O	O
31	дополнительным	O	O	O	O
32	граничным	B-TERM	B-TERM	B-TERM	B-TERM
33	условиям	I-TERM	I-TERM	I-TERM	I-TERM
34	путем	O	O	O	O
35	минимизации	B-TERM	O	B-TERM	O
36	функционала	I-TERM	O	I-TERM	O
37	невязки	I-TERM	O	I-TERM	O
38	.	O	O	O	O
39	Многомерная	B-TERM	B-TERM	B-TERM	O
40	оптимизация	I-TERM	I-TERM	I-TERM	O
41	функционала	I-TERM	O	I-TERM	O
42	проводилась	O	O	O	O
43	методом	O	B-TERM	B-TERM	O
44	дифференциальной	B-TERM	I-TERM	I-TERM	O
45	эволюции	I-TERM	I-TERM	I-TERM	O
46	.	O	O	O	O
47	Для	O	O	O	O
48	вычисления	O	O	O	O
49	профиля	O	B-TERM	B-TERM	O
50	глубин	O	I-TERM	I-TERM	O
51	применялся	O	O	O	O
52	метод	B-TERM	B-TERM	B-TERM	B-TERM
53	конечных	B-TERM	I-TERM	I-TERM	B-TERM
54	элементов	I-TERM	I-TERM	I-TERM	I-TERM
55	.	O	O	O	O
56	Тестирование	O	O	O	O
57	проводилось	O	O	O	O
58	на	O	O	O	O
59	базе	B-TERM	B-TERM	B-TERM	O
60	данных	I-TERM	I-TERM	I-TERM	O
61	JARKUS	I-TERM	I-TERM	I-TERM	O
62	при	O	O	O	O
63	различных	O	O	O	O
64	пространственных	B-TERM	B-TERM	B-TERM	O
65	и	I-TERM	O	O	O
66	временных	I-TERM	B-TERM	B-TERM	B-TERM
67	интервалах	I-TERM	I-TERM	I-TERM	I-TERM
68	.	O	O	O	O
69	Достигнута	O	O	O	O
70	относительная	B-TERM	B-TERM	B-TERM	O
71	погрешность	I-TERM	I-TERM	I-TERM	O
72	описания	O	O	O	O
73	эволюции	B-TERM	B-TERM	B-TERM	O
74	берегового	I-TERM	I-TERM	I-TERM	O
75	профиля	I-TERM	I-TERM	I-TERM	O
76	на	O	O	O	O
77	уровне	O	O	O	O
78	не	O	O	O	O
79	более	O	O	O	O
80	5	O	O	O	O
81	%.	O	O	O	O
