id	token	Настя	Денис	Лена	tag
0	Экспериментальное	B-TERM	B-TERM	O	O
1	исследование	I-TERM	I-TERM	O	O
2	точности	I-TERM	I-TERM	O	O
3	методов	I-TERM	I-TERM	B-TERM	O
4	прогноза	I-TERM	I-TERM	I-TERM	O
5	,	O	O	O	O
6	базирующихся	O	O	O	O
7	на	O	O	O	O
8	архиваторах	B-TERM	B-TERM	B-TERM	O
9	В	O	O	O	O
10	теории	B-TERM	B-TERM	B-TERM	O
11	информации	I-TERM	I-TERM	I-TERM	O
12	известно	O	O	O	O
13	,	O	O	O	O
14	что	O	O	O	O
15	методы	B-TERM	B-TERM	B-TERM	O
16	сжатия	I-TERM	I-TERM	I-TERM	O
17	данных	I-TERM	I-TERM	I-TERM	O
18	могут	O	O	O	O
19	быть	O	O	O	O
20	использованы	O	O	O	O
21	для	O	O	O	O
22	прогнозирования	B-TERM	B-TERM	B-TERM	O
23	стационарных	I-TERM	I-TERM	I-TERM	O
24	процессов	I-TERM	I-TERM	I-TERM	O
25	.	O	O	O	O
26	В	O	O	O	O
27	данной	O	O	O	O
28	работе	O	O	O	O
29	предложен	O	O	O	O
30	базирующийся	O	O	O	O
31	на	O	O	O	O
32	архиваторах	B-TERM	B-TERM	B-TERM	O
33	алгоритм	B-TERM	B-TERM	B-TERM	O
34	прогнозирования	I-TERM	I-TERM	I-TERM	B-TERM
35	временных	I-TERM	I-TERM	I-TERM	B-TERM
36	рядов	I-TERM	I-TERM	I-TERM	I-TERM
37	и	O	O	O	O
38	проведено	O	O	O	O
39	экспериментальное	O	B-TERM	O	O
40	исследование	O	I-TERM	O	O
41	его	O	O	O	O
42	эффективности	B-TERM	B-TERM	B-TERM	O
43	.	O	O	O	O
44	В	O	O	O	O
45	процессе	O	O	O	O
46	работы	O	O	O	O
47	описанного	O	O	O	O
48	алгоритма	B-TERM	B-TERM	B-TERM	O
49	могут	O	O	O	O
50	быть	O	O	O	O
51	использованы	O	O	O	O
52	произвольные	O	O	O	O
53	методы	B-TERM	B-TERM	B-TERM	O
54	сжатия	I-TERM	I-TERM	I-TERM	O
55	данных	I-TERM	I-TERM	I-TERM	O
56	,	O	O	O	O
57	причем	O	O	O	O
58	прогнозные	B-TERM	B-TERM	B-TERM	O
59	значения	I-TERM	I-TERM	I-TERM	O
60	от	O	O	O	O
61	разных	O	O	O	O
62	методов	B-TERM	B-TERM	B-TERM	O
63	комбинируются	O	O	O	O
64	,	O	O	O	O
65	и	O	O	O	O
66	наибольшее	O	O	O	O
67	влияние	O	O	O	O
68	на	O	O	O	O
69	конечный	O	O	O	O
70	результат	O	O	O	O
71	оказывает	O	O	O	O
72	метод	B-TERM	B-TERM	B-TERM	O
73	,	O	O	O	O
74	способный	O	O	O	O
75	сильнее	O	O	O	O
76	других	O	O	O	O
77	сжать	B-TERM	O	O	O
78	временной	I-TERM	B-TERM	B-TERM	B-TERM
79	ряд	I-TERM	I-TERM	I-TERM	I-TERM
80	.	O	O	O	O
81	Данный	O	O	O	O
82	алгоритм	B-TERM	B-TERM	B-TERM	O
83	может	O	O	O	O
84	быть	O	O	O	O
85	использован	O	O	O	O
86	для	O	O	O	O
87	прогнозирования	B-TERM	B-TERM	B-TERM	O
88	рядов	I-TERM	I-TERM	I-TERM	O
89	с	I-TERM	O	O	O
90	дискретными	I-TERM	B-TERM	B-TERM	O
91	и	I-TERM	O	O	O
92	непрерывными	I-TERM	B-TERM	B-TERM	O
93	алфавитами	I-TERM	I-TERM	I-TERM	O
94	.	O	O	O	O
95	Для	O	O	O	O
96	повышения	O	O	O	O
97	точности	O	B-TERM	B-TERM	O
98	прогноза	B-TERM	I-TERM	I-TERM	O
99	возможно	O	O	O	O
100	применение	O	O	O	O
101	существующих	O	O	O	O
102	методов	B-TERM	B-TERM	B-TERM	O
103	предварительной	I-TERM	I-TERM	I-TERM	O
104	обработки	I-TERM	I-TERM	I-TERM	O
105	данных	I-TERM	I-TERM	I-TERM	O
106	.	O	O	O	O
107	Экспериментальное	O	B-TERM	O	O
108	исследование	O	I-TERM	O	O
109	эффективности	B-TERM	I-TERM	O	O
110	предложенного	O	O	O	O
111	алгоритма	B-TERM	B-TERM	B-TERM	O
112	проводилось	O	O	O	O
113	на	O	O	O	O
114	временных	B-TERM	B-TERM	B-TERM	B-TERM
115	рядах	I-TERM	I-TERM	I-TERM	I-TERM
116	из	I-TERM	O	O	O
117	M3	I-TERM	B-TERM	B-TERM	O
118	Competition	I-TERM	I-TERM	I-TERM	O
119	и	O	O	O	O
120	ряде	B-TERM	B-TERM	B-TERM	O
121	T	I-TERM	I-TERM	I-TERM	O
122	-	I-TERM	I-TERM	I-TERM	O
123	индекса	I-TERM	I-TERM	I-TERM	O
124	,	O	O	O	O
125	при	O	O	O	O
126	этом	O	O	O	O
127	были	O	O	O	O
128	использованы	O	O	O	O
129	хорошо	O	O	O	O
130	известные	O	O	O	O
131	архиваторы	B-TERM	B-TERM	B-TERM	O
132	.	O	O	O	O
133	Результаты	O	O	O	O
134	вычислений	O	O	O	O
135	показали	O	O	O	O
136	,	O	O	O	O
137	что	O	O	O	O
138	полученный	O	O	O	O
139	метод	B-TERM	B-TERM	B-TERM	O
140	обладает	O	O	O	O
141	сравнительно	O	O	O	O
142	высокой	O	O	O	O
143	точностью	B-TERM	B-TERM	B-TERM	O
144	и	O	O	O	O
145	быстродействием	B-TERM	B-TERM	B-TERM	O
146	.	O	O	O	O
