id	token	Настя	Денис	Лена	tag
0	Использование	O	O	O	O
1	горизонтально	B-TERM	B-TERM	B-TERM	O
2	масштабируемой	I-TERM	I-TERM	I-TERM	O
3	инфраструктуры	I-TERM	I-TERM	I-TERM	O
4	при	O	O	O	O
5	поиске	B-TERM	O	B-TERM	O
6	сходства	I-TERM	B-TERM	I-TERM	O
7	в	I-TERM	O	O	O
8	геномных	I-TERM	B-TERM	B-TERM	O
9	данных	I-TERM	I-TERM	I-TERM	O
10	экосистем	I-TERM	I-TERM	I-TERM	O
11	Рассмотрена	O	O	O	O
12	проблема	O	O	O	O
13	выявления	O	O	O	O
14	генетического	B-TERM	B-TERM	B-TERM	O
15	сходства	I-TERM	I-TERM	I-TERM	O
16	при	O	O	O	O
17	анализе	O	B-TERM	B-TERM	O
18	баз	B-TERM	I-TERM	I-TERM	O
19	данных	I-TERM	I-TERM	I-TERM	O
20	(	O	O	O	O
21	БД	B-TERM	B-TERM	B-TERM	O
22	)	O	O	O	O
23	геномов	B-TERM	B-TERM	B-TERM	O
24	организмов	I-TERM	I-TERM	I-TERM	O
25	.	O	O	O	O
26	Такая	O	O	O	O
27	проблема	O	O	O	O
28	возникает	O	O	O	O
29	с	O	O	O	O
30	развитием	O	O	O	O
31	методов	B-TERM	B-TERM	B-TERM	O
32	метагеномики	I-TERM	I-TERM	I-TERM	O
33	,	O	O	O	O
34	сравнительной	O	B-TERM	B-TERM	O
35	геномики	B-TERM	I-TERM	I-TERM	O
36	,	O	O	O	O
37	технологий	B-TERM	B-TERM	B-TERM	O
38	высокопроизводительного	I-TERM	I-TERM	I-TERM	O
39	секвенирования	I-TERM	I-TERM	I-TERM	O
40	ДНК	I-TERM	I-TERM	I-TERM	O
41	,	O	O	O	O
42	а	O	O	O	O
43	также	O	O	O	O
44	инструментов	B-TERM	B-TERM	B-TERM	O
45	оценки	I-TERM	I-TERM	I-TERM	O
46	и	O	O	O	O
47	прогнозирования	B-TERM	B-TERM	B-TERM	O
48	состояния	I-TERM	I-TERM	I-TERM	O
49	экосистем	I-TERM	I-TERM	I-TERM	O
50	.	O	O	O	O
51	Для	O	O	O	O
52	быстрого	O	O	O	O
53	сравнения	O	B-TERM	B-TERM	O
54	геномов	B-TERM	I-TERM	I-TERM	O
55	с	O	O	O	O
56	целью	O	O	O	O
57	выявления	O	O	O	O
58	повторяющихся	O	O	O	O
59	наборов	B-TERM	B-TERM	B-TERM	O
60	нуклеотидов	I-TERM	I-TERM	I-TERM	O
61	разработана	O	O	O	O
62	специализированная	O	O	O	O
63	компьютерная	B-TERM	B-TERM	B-TERM	B-TERM
64	система	I-TERM	I-TERM	I-TERM	I-TERM
65	.	O	O	O	O
66	Из	O	O	O	O
67	-	O	O	O	O
68	за	O	O	O	O
69	большого	O	O	O	O
70	объема	O	O	O	O
71	данных	O	O	O	O
72	,	O	O	O	O
73	возникающих	O	O	O	O
74	при	O	O	O	O
75	обработке	O	O	O	O
76	исходной	B-TERM	B-TERM	B-TERM	O
77	информации	I-TERM	I-TERM	I-TERM	O
78	,	O	O	O	O
79	осуществлен	O	O	O	O
80	переход	O	O	O	O
81	к	O	O	O	O
82	нереляционным	B-TERM	B-TERM	B-TERM	O
83	БД	I-TERM	I-TERM	I-TERM	O
84	,	O	O	O	O
85	как	O	O	O	O
86	к	O	O	O	O
87	более	O	O	O	O
88	гибким	O	O	O	O
89	и	O	O	O	O
90	масштабируемым	O	O	O	O
91	.	O	O	O	O
92	В	O	O	O	O
93	качестве	O	O	O	O
94	основы	O	O	O	O
95	подхода	O	O	O	O
96	использованы	O	O	O	O
97	распределенная	O	B-TERM	B-TERM	O
98	нереляционная	B-TERM	I-TERM	I-TERM	O
99	БД	I-TERM	I-TERM	I-TERM	O
100	MongoDB	I-TERM	I-TERM	I-TERM	O
101	и	O	O	O	O
102	алгоритм	B-TERM	B-TERM	B-TERM	O
103	обработки	I-TERM	I-TERM	I-TERM	O
104	данных	I-TERM	I-TERM	I-TERM	O
105	Winnowing	I-TERM	I-TERM	I-TERM	O
106	.	O	O	O	O
107	При	O	O	O	O
108	использовании	O	O	O	O
109	нереляционной	B-TERM	B-TERM	B-TERM	O
110	БД	I-TERM	I-TERM	I-TERM	O
111	для	O	O	O	O
112	выявления	O	O	O	O
113	генетического	B-TERM	B-TERM	B-TERM	O
114	сходства	I-TERM	I-TERM	I-TERM	O
115	предложен	O	O	O	O
116	вариант	O	O	O	O
117	представления	O	O	O	O
118	отпечатков	B-TERM	B-TERM	B-TERM	O
119	структурных	I-TERM	I-TERM	I-TERM	O
120	вариаций	I-TERM	I-TERM	I-TERM	O
121	геномов	I-TERM	I-TERM	I-TERM	O
122	в	O	O	O	O
123	виде	O	O	O	O
124	«	O	O	O	O
125	ключ	O	O	O	O
126	–	O	O	O	O
127	значение	O	O	O	O
128	».	O	O	O	O
129	Выполнена	O	O	O	O
130	программная	O	B-TERM	B-TERM	O
131	реализация	O	I-TERM	I-TERM	O
132	разработанной	O	O	O	O
133	модели	B-TERM	B-TERM	B-TERM	O
134	.	O	O	O	O
135	Проведены	O	O	O	O
136	вычислительные	O	O	O	O
137	эксперименты	O	O	O	O
138	:	O	O	O	O
139	1	O	O	O	O
140	)	O	O	O	O
141	загрузка	O	O	O	O
142	данных	O	O	O	O
143	в	O	O	O	O
144	БД	B-TERM	B-TERM	B-TERM	O
145	с	O	O	O	O
146	использованием	O	O	O	O
147	одной	O	O	O	O
148	и	O	O	O	O
149	трех	O	O	O	O
150	шард	B-TERM	B-TERM	B-TERM	O
151	(	O	O	O	O
152	серверов	B-TERM	B-TERM	B-TERM	O
153	,	O	O	O	O
154	где	O	O	O	O
155	хранятся	O	O	O	O
156	данные	O	O	O	O
157	и	O	O	O	O
158	осуществляются	O	O	O	O
159	поиск	O	B-TERM	B-TERM	O
160	и	O	O	O	O
161	обработка	B-TERM	B-TERM	B-TERM	B-TERM
162	информации	I-TERM	I-TERM	I-TERM	I-TERM
163	);	O	O	O	O
164	2	O	O	O	O
165	)	O	O	O	O
166	поиск	O	O	O	O
167	совпадений	O	O	O	O
168	выбранных	O	O	O	O
169	наборов	B-TERM	B-TERM	B-TERM	O
170	нуклеотидов	I-TERM	I-TERM	I-TERM	O
171	с	O	O	O	O
172	БД	B-TERM	B-TERM	B-TERM	O
173	геномов	I-TERM	I-TERM	I-TERM	O
174	с	O	O	O	O
175	использованием	O	O	O	O
176	одной	O	O	O	O
177	и	O	O	O	O
178	трех	O	O	O	O
179	шард	B-TERM	B-TERM	B-TERM	O
180	;	O	O	O	O
181	3	O	O	O	O
182	)	O	O	O	O
183	расчет	O	O	O	O
184	скорости	O	O	O	O
185	поиска	O	O	O	O
186	геномов	B-TERM	B-TERM	B-TERM	O
187	в	O	O	O	O
188	БД	B-TERM	B-TERM	B-TERM	O
189	;	O	O	O	O
190	4	O	O	O	O
191	)	O	O	O	O
192	расчет	O	O	O	O
193	скорости	O	O	O	O
194	загрузки	O	O	O	O
195	геномов	B-TERM	B-TERM	B-TERM	O
196	в	O	O	O	O
197	БД	B-TERM	B-TERM	B-TERM	O
198	.	O	O	O	O
199	Результатом	O	O	O	O
200	экспериментов	O	O	O	O
201	стало	O	O	O	O
202	подтверждение	O	O	O	O
203	возможности	O	O	O	O
204	использования	O	O	O	O
205	предложенного	O	O	O	O
206	способа	O	O	O	O
207	поиска	O	O	O	O
208	генетического	B-TERM	B-TERM	B-TERM	O
209	сходства	I-TERM	I-TERM	I-TERM	O
210	.	O	O	O	O
211	Продолжение	O	O	O	O
212	работы	O	O	O	O
213	может	O	O	O	O
214	быть	O	O	O	O
215	в	O	O	O	O
216	направлениях	O	O	O	O
217	:	O	O	O	O
218	1	O	O	O	O
219	)	O	O	O	O
220	решения	O	O	O	O
221	задачи	O	O	O	O
222	об	O	O	O	O
223	определении	O	O	O	O
224	момента	B-TERM	O	O	O
225	,	O	O	O	O
226	когда	O	O	O	O
227	необходимо	O	O	O	O
228	добавлять	O	O	O	O
229	узел	B-TERM	B-TERM	B-TERM	O
230	к	O	O	O	O
231	кластеру	B-TERM	B-TERM	B-TERM	O
232	при	O	O	O	O
233	возрастании	O	O	O	O
234	рассматриваемого	O	O	O	O
235	количества	O	O	O	O
236	выбранных	O	O	O	O
237	наборов	B-TERM	B-TERM	B-TERM	O
238	нуклеотидов	I-TERM	I-TERM	I-TERM	O
239	и	O	O	O	O
240	увеличении	O	O	O	O
241	числа	O	O	O	O
242	геномов	B-TERM	B-TERM	B-TERM	O
243	в	O	O	O	O
244	БД	B-TERM	B-TERM	B-TERM	O
245	организмов	I-TERM	I-TERM	I-TERM	O
246	;	O	O	O	O
247	2	O	O	O	O
248	)	O	O	O	O
249	практического	O	O	O	O
250	наполнения	O	O	O	O
251	создаваемой	O	O	O	O
252	БД	B-TERM	B-TERM	B-TERM	O
253	как	O	O	O	O
254	можно	O	O	O	O
255	большим	O	O	O	O
256	количеством	O	O	O	O
257	реальных	O	O	O	O
258	геномов	B-TERM	B-TERM	B-TERM	O
259	организмов	O	I-TERM	I-TERM	O
260	;	O	O	O	O
261	3	O	O	O	O
262	)	O	O	O	O
263	исследования	O	O	O	O
264	геномных	B-TERM	B-TERM	B-TERM	O
265	нарушений	I-TERM	I-TERM	I-TERM	O
266	с	O	O	O	O
267	целью	O	O	O	O
268	оценки	O	O	O	O
269	вероятности	B-TERM	O	O	O
270	генетических	I-TERM	B-TERM	B-TERM	O
271	отклонений	I-TERM	I-TERM	I-TERM	O
272	на	O	O	O	O
273	этапе	O	O	O	O
274	распознавания	O	O	O	O
275	потенциально	O	O	O	O
276	возможного	O	O	O	O
277	неблагоприятного	O	O	O	O
278	развития	O	B-TERM	B-TERM	O
279	организма	B-TERM	I-TERM	I-TERM	O
280	.	O	O	O	O
