id	token	Денис	Настя	Лена		
0	Опыт	O	O	O		
1	разработки	O	B-TERM	B-TERM		
2	и	O	I-TERM	O		
3	внедрения	O	I-TERM	B-TERM		
4	информационной	B-TERM	I-TERM	I-TERM		
5	системы	I-TERM	I-TERM	I-TERM		
6	для	O	O	O		
7	поддержки	O	O	O		
8	процесса	O	O	B-TERM		
9	направления	O	O	I-TERM		
10	студентов	O	O	I-TERM		
11	на	O	O	I-TERM		
12	практику	O	O	I-TERM		
13	в	O	O	O		
14	НИУ	B-TERM	O	O		
15	МЭИ	I-TERM	O	O		
16	В	O	O	O		
17	статье	O	O	O		
18	рассмотрен	O	O	O		
19	обязательный	O	O	O		
20	для	O	O	O		
21	высших	B-TERM	B-TERM	B-TERM		
22	образовательных	I-TERM	I-TERM	I-TERM		
23	учреждений	I-TERM	I-TERM	I-TERM		
24	РФ	I-TERM	I-TERM	I-TERM		
25	процесс	B-TERM	O	B-TERM		
26	проведения	I-TERM	O	I-TERM		
27	практических	I-TERM	B-TERM	I-TERM		
28	занятий	I-TERM	I-TERM	I-TERM		
29	студентов	O	O	O		
30	,	O	O	O		
31	приведены	O	O	O		
32	ссылки	O	O	O		
33	на	O	O	O		
34	нормативные	B-TERM	O	B-TERM		
35	документы	I-TERM	O	I-TERM		
36	,	O	O	O		
37	описан	O	O	O		
38	подход	B-TERM	B-TERM	B-TERM		
39	,	O	O	O		
40	устоявшийся	O	O	O		
41	в	O	O	O		
42	НИУ	B-TERM	O	O		
43	МЭИ	I-TERM	O	O		
44	.	O	O	O		
45	До	O	O	O		
46	начала	O	O	O		
47	проведения	O	O	O		
48	практики	O	B-TERM	B-TERM		
49	каждый	O	O	O		
50	студент	O	O	B-TERM		
51	должен	O	O	O		
52	быть	O	O	O		
53	прикреплен	O	O	O		
54	к	O	O	O		
55	определённой	O	O	O		
56	базе	B-TERM	B-TERM	B-TERM		
57	практики	I-TERM	I-TERM	I-TERM		
58	–	O	O	O		
59	учреждению	O	O	B-TERM		
60	с	O	O	O		
61	соответствующей	O	B-TERM	O		
62	профилю	B-TERM	I-TERM	B-TERM		
63	подготовки	I-TERM	I-TERM	I-TERM		
64	обучающегося	I-TERM	I-TERM	I-TERM		
65	специализацией	B-TERM	I-TERM	B-TERM		
66	,	O	O	O		
67	которое	O	O	O		
68	будет	O	O	O		
69	осуществлять	O	O	O		
70	проведение	B-TERM	B-TERM	B-TERM		
71	и	O	I-TERM	O		
72	контроль	B-TERM	I-TERM	B-TERM		
73	практических	I-TERM	I-TERM	I-TERM		
