id	token	Настя	Денис	Лена	tag
0	Автоматизация	B-TERM	B-TERM	B-TERM	O
1	построения	I-TERM	I-TERM	I-TERM	O
2	трехмерных	I-TERM	I-TERM	I-TERM	O
3	геоэлектрических	I-TERM	I-TERM	I-TERM	O
4	моделей	I-TERM	I-TERM	I-TERM	O
5	для	O	O	O	O
6	метода	B-TERM	B-TERM	B-TERM	O
7	зонди	I-TERM	I-TERM	I-TERM	O
8	-	I-TERM	I-TERM	I-TERM	O
9	рования	I-TERM	I-TERM	I-TERM	O
10	становлением	I-TERM	I-TERM	I-TERM	O
11	поля	I-TERM	I-TERM	I-TERM	O
12	в	O	O	O	O
13	ближней	B-TERM	B-TERM	B-TERM	O
14	зоне	I-TERM	I-TERM	I-TERM	O
15	на	O	O	O	O
16	основе	O	O	O	O
17	результатов	O	O	O	O
18	одномерной	B-TERM	B-TERM	B-TERM	O
19	инверсии	I-TERM	I-TERM	I-TERM	O
20	Предложен	O	O	O	O
21	алгоритм	B-TERM	B-TERM	B-TERM	O
22	автоматизации	I-TERM	I-TERM	I-TERM	O
23	построения	I-TERM	I-TERM	I-TERM	O
24	трехмерных	I-TERM	I-TERM	I-TERM	O
25	геоэлектрических	I-TERM	I-TERM	I-TERM	O
26	моделей	I-TERM	I-TERM	I-TERM	O
27	для	O	O	O	O
28	метода	B-TERM	B-TERM	B-TERM	O
29	зондирования	I-TERM	I-TERM	I-TERM	O
30	становлением	I-TERM	I-TERM	I-TERM	O
31	поля	I-TERM	I-TERM	I-TERM	O
32	в	O	O	O	O
33	ближней	B-TERM	B-TERM	B-TERM	O
34	зоне	I-TERM	I-TERM	I-TERM	O
35	на	O	O	O	O
36	основе	O	O	O	O
37	результатов	O	O	O	O
38	одномерной	B-TERM	B-TERM	B-TERM	O
39	инверсии	I-TERM	I-TERM	I-TERM	O
40	с	O	O	O	O
41	целью	O	O	O	O
42	расчета	O	O	O	O
43	синтетических	B-TERM	B-TERM	B-TERM	O
44	сигналов	I-TERM	I-TERM	I-TERM	O
45	для	O	O	O	O
46	трехмерных	B-TERM	B-TERM	B-TERM	O
47	моделей	I-TERM	I-TERM	I-TERM	O
48	,	O	O	O	O
49	а	O	O	O	O
50	также	O	O	O	O
51	ускорения	B-TERM	O	O	O
52	получения	I-TERM	O	O	O
53	качественной	I-TERM	B-TERM	O	O
54	оценки	I-TERM	I-TERM	O	O
55	полевых	I-TERM	I-TERM	B-TERM	O
56	материалов	I-TERM	I-TERM	I-TERM	O
57	и	O	O	O	O
58	сведения	O	O	O	O
59	к	O	O	O	O
60	минимуму	O	O	O	O
61	ошибок	B-TERM	B-TERM	B-TERM	O
62	интерпретации	I-TERM	I-TERM	I-TERM	O
63	.	O	O	O	O
64	Важной	O	O	O	O
65	частью	O	O	O	O
66	алгоритма	B-TERM	B-TERM	B-TERM	O
67	является	O	O	O	O
68	автоматическое	B-TERM	B-TERM	B-TERM	O
69	формирование	I-TERM	I-TERM	I-TERM	O
70	трехмерных	I-TERM	I-TERM	I-TERM	O
71	расчетных	I-TERM	I-TERM	I-TERM	O
72	сетей	I-TERM	I-TERM	I-TERM	O
73	,	O	O	O	O
74	необходимых	O	O	O	O
75	для	O	O	O	O
76	расчета	O	O	O	O
77	синтетических	B-TERM	B-TERM	B-TERM	O
78	сигналов	I-TERM	I-TERM	I-TERM	O
79	в	O	O	O	O
80	моделях	B-TERM	B-TERM	B-TERM	O
81	.	O	O	O	O
82	Результаты	O	O	O	O
83	работы	O	O	O	O
84	алгоритма	B-TERM	B-TERM	B-TERM	O
85	представляют	O	O	O	O
86	собой	O	O	O	O
87	подготовленные	B-TERM	O	O	O
88	трехмерные	I-TERM	B-TERM	B-TERM	O
89	модели	I-TERM	I-TERM	I-TERM	O
90	изучаемой	I-TERM	I-TERM	I-TERM	O
91	среды	I-TERM	I-TERM	I-TERM	O
92	с	O	O	O	O
93	рассчитанным	O	O	O	O
94	синтетическим	B-TERM	B-TERM	B-TERM	O
95	электромагнитным	I-TERM	I-TERM	I-TERM	O
96	сигналом	I-TERM	I-TERM	I-TERM	O
97	.	O	O	O	O
98	Алгоритм	B-TERM	B-TERM	B-TERM	O
99	апробирован	O	O	O	O
100	на	O	O	O	O
101	данных	O	O	O	O
102	электромагнитного	B-TERM	B-TERM	B-TERM	O
103	мониторинга	I-TERM	I-TERM	I-TERM	O
104	последствий	I-TERM	I-TERM	I-TERM	O
105	землетрясения	I-TERM	I-TERM	I-TERM	O
106	,	O	O	O	O
107	произошедшего	O	O	O	O
108	в	O	O	O	O
109	2003	O	O	O	O
110	г	O	O	O	O
111	.	O	O	O	O
112	в	O	O	O	O
113	Республике	O	O	O	O
114	Алтай	O	O	O	O
115	.	O	O	O	O
