id	token	Настя	Денис	Лена	tag
0	Обзор	B-TERM	B-TERM	O	O
1	объектно	I-TERM	I-TERM	B-TERM	O
2	-	I-TERM	I-TERM	I-TERM	O
3	ориентированной	I-TERM	I-TERM	I-TERM	O
4	парадигмы	I-TERM	I-TERM	I-TERM	O
5	в	O	O	O	O
6	приложении	B-TERM	B-TERM	O	O
7	к	I-TERM	O	O	O
8	разработке	I-TERM	B-TERM	O	O
9	баз	I-TERM	I-TERM	B-TERM	O
10	данных	I-TERM	I-TERM	I-TERM	O
11	В	O	O	O	O
12	статье	O	O	O	O
13	приводится	O	O	O	O
14	обзор	B-TERM	B-TERM	O	O
15	проектов	I-TERM	I-TERM	O	O
16	,	O	O	O	O
17	технологий	I-TERM	B-TERM	O	O
18	,	O	O	O	O
19	программных	I-TERM	B-TERM	B-TERM	O
20	продуктов	I-TERM	I-TERM	I-TERM	O
21	,	O	O	O	O
22	разрабатываемых	O	O	O	O
23	для	O	O	O	O
24	реализации	O	B-TERM	O	O
25	идей	B-TERM	I-TERM	O	O
26	объектно	I-TERM	I-TERM	B-TERM	O
27	-	I-TERM	I-TERM	I-TERM	O
28	ориентированного	I-TERM	I-TERM	I-TERM	O
29	подхода	I-TERM	I-TERM	I-TERM	O
30	к	O	O	O	O
31	проектированию	B-TERM	B-TERM	B-TERM	O
32	баз	I-TERM	I-TERM	I-TERM	O
33	данных	I-TERM	I-TERM	I-TERM	O
34	.	O	O	O	O
35	В	O	O	O	O
36	1980	O	O	O	O
37	-	O	O	O	O
38	е	O	O	O	O
39	гг	O	O	O	O
40	.	O	O	O	O
41	велось	O	O	O	O
42	множество	O	O	O	O
43	проектов	O	B-TERM	O	O
44	,	O	O	O	O
45	посвященных	O	O	O	O
46	идее	B-TERM	B-TERM	O	O
47	ООБД	I-TERM	I-TERM	B-TERM	O
48	,	O	O	O	O
49	многие	O	O	O	O
50	специалисты	O	O	O	O
51	ожидали	O	O	O	O
52	,	O	O	O	O
53	что	O	O	O	O
54	в	O	O	O	O
55	ближайшее	O	O	O	O
56	время	O	O	O	O
57	реляционные	B-TERM	B-TERM	B-TERM	O
58	базы	I-TERM	I-TERM	I-TERM	O
59	данных	I-TERM	I-TERM	I-TERM	O
60	будут	O	O	O	O
61	вытеснены	O	O	O	O
62	объектно	B-TERM	B-TERM	B-TERM	O
63	-	I-TERM	I-TERM	I-TERM	O
64	ориентированными	I-TERM	I-TERM	I-TERM	O
65	.	O	O	O	O
66	Несмотря	O	O	O	O
67	на	O	O	O	O
68	впечатляющее	O	O	O	O
69	количество	O	O	O	O
70	проектов	B-TERM	B-TERM	O	O
71	,	O	O	O	O
72	проводимых	O	O	O	O
73	как	O	O	O	O
74	коллективами	O	B-TERM	O	O
75	ученых	O	I-TERM	O	O
76	,	O	O	O	O
77	так	O	O	O	O
78	и	O	O	O	O
79	коммерческими	O	B-TERM	O	O
80	компаниями	O	I-TERM	O	O
81	,	O	O	O	O
82	ориентированными	O	O	O	O
83	на	O	O	O	O
84	практическое	O	B-TERM	O	O
