id	token	Настя	Денис	Лена	tag
0	Применение	O	O	O	O
1	модельно	B-TERM	B-TERM	B-TERM	O
2	-	I-TERM	I-TERM	I-TERM	O
3	ориентированного	I-TERM	I-TERM	I-TERM	O
4	проектирования	I-TERM	I-TERM	I-TERM	O
5	к	O	O	O	O
6	созданию	B-TERM	O	O	O
7	АСУ	I-TERM	B-TERM	B-TERM	O
8	ТП	I-TERM	I-TERM	I-TERM	O
9	опасных	I-TERM	I-TERM	I-TERM	O
10	промышленных	I-TERM	I-TERM	I-TERM	O
11	объектов	I-TERM	I-TERM	I-TERM	O
12	Представлена	O	O	O	O
13	реализация	O	O	O	O
14	подхода	B-TERM	B-TERM	B-TERM	O
15	«	I-TERM	O	I-TERM	O
16	модельно	I-TERM	B-TERM	I-TERM	O
17	-	I-TERM	I-TERM	I-TERM	O
18	ориентированного	I-TERM	I-TERM	I-TERM	O
19	проектирования	I-TERM	I-TERM	I-TERM	O
20	»	I-TERM	O	I-TERM	O
21	для	O	O	O	O
22	решения	O	O	O	O
23	задачи	O	O	O	O
24	создания	O	O	O	O
25	автоматизированных	B-TERM	B-TERM	B-TERM	B-TERM
26	систем	B-TERM	I-TERM	I-TERM	B-TERM
27	управления	I-TERM	I-TERM	I-TERM	I-TERM
28	технологическими	B-TERM	I-TERM	I-TERM	B-TERM
29	процессами	I-TERM	I-TERM	I-TERM	I-TERM
30	(	O	O	O	O
31	АСУ	B-TERM	B-TERM	B-TERM	O
32	ТП	I-TERM	I-TERM	I-TERM	O
33	)	O	O	O	O
34	горнодобывающих	B-TERM	B-TERM	B-TERM	O
35	предприятий	I-TERM	I-TERM	I-TERM	O
36	.	O	O	O	O
37	Подход	B-TERM	O	B-TERM	O
38	«	I-TERM	O	I-TERM	O
39	модельно	I-TERM	B-TERM	I-TERM	O
40	-	I-TERM	I-TERM	I-TERM	O
41	ориентированного	I-TERM	I-TERM	I-TERM	O
42	проектирования	I-TERM	I-TERM	I-TERM	O
43	»	I-TERM	O	I-TERM	O
44	заключается	O	O	O	O
45	в	O	O	O	O
46	организации	O	B-TERM	O	O
47	контура	B-TERM	I-TERM	B-TERM	O
48	тестирования	I-TERM	I-TERM	I-TERM	O
49	,	O	O	O	O
50	в	O	O	O	O
51	котором	O	O	O	O
52	испытуемый	B-TERM	B-TERM	B-TERM	O
53	объект	I-TERM	I-TERM	I-TERM	O
54	функционирует	O	O	O	O
55	в	O	O	O	O
56	среде	B-TERM	B-TERM	B-TERM	O
57	,	O	O	O	O
58	идентичной	O	O	O	O
59	реальному	O	B-TERM	B-TERM	O
60	процессу	O	I-TERM	I-TERM	O
61	по	O	O	O	O
62	входным	B-TERM	B-TERM	B-TERM	B-TERM
63	сигналам	I-TERM	I-TERM	I-TERM	I-TERM
64	.	O	O	O	O
65	Подход	B-TERM	O	B-TERM	O
66	основан	O	O	O	O
67	на	O	O	O	O
68	использовании	O	O	O	O
69	математических	B-TERM	B-TERM	B-TERM	B-TERM
70	моделей	I-TERM	I-TERM	I-TERM	I-TERM
71	,	O	O	O	O
72	имитирующих	O	O	O	O
73	протекание	O	B-TERM	O	O
74	технологического	B-TERM	I-TERM	B-TERM	B-TERM
