id	token	Настя	Денис	Лена	tag
0	Применение	O	O	O	O
1	FPGA	B-TERM	B-TERM	B-TERM	O
2	для	O	O	O	O
3	ускорения	B-TERM	B-TERM	B-TERM	O
4	расчета	I-TERM	I-TERM	I-TERM	O
5	волнового	I-TERM	I-TERM	I-TERM	O
6	фронта	I-TERM	I-TERM	I-TERM	O
7	цунами	I-TERM	I-TERM	I-TERM	O
8	Рассматривается	O	O	O	O
9	вопрос	B-TERM	O	O	O
10	ускорения	I-TERM	B-TERM	B-TERM	O
11	численного	I-TERM	I-TERM	I-TERM	O
12	расчёта	I-TERM	I-TERM	I-TERM	O
13	распространения	I-TERM	I-TERM	I-TERM	O
14	волны	I-TERM	I-TERM	I-TERM	O
15	цунами	I-TERM	I-TERM	I-TERM	O
16	от	O	O	O	O
17	очага	B-TERM	B-TERM	B-TERM	O
18	до	O	O	O	O
19	берега	B-TERM	B-TERM	B-TERM	O
20	в	O	O	O	O
21	рамках	O	O	O	O
22	дифференциальной	B-TERM	B-TERM	B-TERM	O
23	модели	I-TERM	I-TERM	I-TERM	O
24	мелкой	I-TERM	I-TERM	I-TERM	O
25	воды	I-TERM	I-TERM	I-TERM	O
26	с	O	O	O	O
27	применением	O	O	O	O
28	аппаратного	B-TERM	B-TERM	B-TERM	O
29	ускорения	I-TERM	I-TERM	I-TERM	O
30	на	I-TERM	O	O	O
31	базе	I-TERM	O	O	O
32	FPGA	I-TERM	B-TERM	B-TERM	O
33	.	O	O	O	O
34	Разработана	O	O	O	O
35	программная	B-TERM	B-TERM	B-TERM	O
36	архитектура	I-TERM	I-TERM	I-TERM	O
37	для	I-TERM	O	O	O
38	расчета	I-TERM	B-TERM	B-TERM	O
39	системы	I-TERM	I-TERM	I-TERM	O
40	мелкой	I-TERM	I-TERM	I-TERM	O
41	воды	I-TERM	I-TERM	I-TERM	O
42	без	O	O	O	O
43	учёта	O	O	O	O
44	внешних	B-TERM	B-TERM	B-TERM	O
45	сил	I-TERM	I-TERM	I-TERM	O
46	,	O	O	O	O
47	являющейся	O	O	O	O
48	эквивалентной	O	O	O	O
49	используемой	O	O	O	O
50	в	O	O	O	O
51	пакете	B-TERM	B-TERM	B-TERM	O
52	MOST	I-TERM	I-TERM	I-TERM	O
53	для	O	O	O	O
54	численного	B-TERM	B-TERM	B-TERM	B-TERM
55	моделирования	I-TERM	I-TERM	I-TERM	I-TERM
56	движения	I-TERM	I-TERM	I-TERM	O
57	волны	I-TERM	I-TERM	I-TERM	O
58	цунами	I-TERM	I-TERM	I-TERM	O
59	по	O	O	O	O
60	водной	B-TERM	B-TERM	B-TERM	O
61	акватории	I-TERM	I-TERM	I-TERM	O
62	.	O	O	O	O
63	Численная	B-TERM	B-TERM	B-TERM	O
64	реализация	I-TERM	I-TERM	I-TERM	O
65	системы	I-TERM	I-TERM	I-TERM	O
66	мелкой	I-TERM	I-TERM	I-TERM	O
67	воды	I-TERM	I-TERM	I-TERM	O
68	осуществлялась	O	O	O	O
69	по	O	O	O	O
70	схеме	B-TERM	B-TERM	B-TERM	O
71	Мак	I-TERM	I-TERM	I-TERM	O
72	-	I-TERM	I-TERM	I-TERM	O
73	Кормака	I-TERM	I-TERM	I-TERM	O
74	.	O	O	O	O
75	Точность	B-TERM	B-TERM	B-TERM	O
76	вычислений	I-TERM	I-TERM	I-TERM	O
77	разработанного	I-TERM	O	O	O
78	решателя	I-TERM	B-TERM	B-TERM	O
79	была	O	O	O	O
80	проверена	O	O	O	O
81	сравнением	B-TERM	O	O	O
82	с	I-TERM	O	O	O
83	точным	I-TERM	O	O	O
84	решением	I-TERM	B-TERM	B-TERM	O
85	,	O	O	O	O
86	известным	O	O	O	O
87	в	O	O	O	O
88	случае	B-TERM	O	O	O
89	плоского	I-TERM	B-TERM	B-TERM	O
90	наклонного	I-TERM	I-TERM	I-TERM	O
91	дна	I-TERM	I-TERM	I-TERM	O
92	.	O	O	O	O
93	Достигнутая	B-TERM	O	O	O
94	точность	I-TERM	B-TERM	B-TERM	O
95	не	O	O	O	O
96	уступает	O	O	O	O
97	,	O	O	O	O
98	а	O	O	O	O
99	местами	O	O	O	O
100	и	O	O	O	O
101	превосходит	O	O	O	O
102	точность	B-TERM	B-TERM	B-TERM	O
103	известного	I-TERM	O	O	O
104	программного	I-TERM	B-TERM	B-TERM	B-TERM
105	пакета	I-TERM	I-TERM	I-TERM	I-TERM
106	MOST	I-TERM	I-TERM	I-TERM	O
107	.	O	O	O	O
