id	token	Настя	Денис	Лена	tag
0	Коллаборативная	B-TERM	B-TERM	B-TERM	O
1	фильтрация	I-TERM	I-TERM	I-TERM	O
2	для	O	O	O	O
3	построения	O	O	O	O
4	рекомендаций	B-TERM	B-TERM	B-TERM	O
5	на	O	O	O	O
6	основе	O	O	O	O
7	данных	B-TERM	B-TERM	B-TERM	O
8	о	I-TERM	I-TERM	I-TERM	O
9	заказах	I-TERM	I-TERM	I-TERM	O
10	Рассматривается	O	O	O	O
11	возможность	O	O	O	O
12	применения	O	O	O	O
13	методов	B-TERM	B-TERM	B-TERM	O
14	коллаборативной	I-TERM	I-TERM	I-TERM	O
15	фильтрации	I-TERM	I-TERM	I-TERM	O
16	в	O	O	O	O
17	процессе	O	O	O	O
18	создания	O	O	O	O
19	рекомендательной	B-TERM	B-TERM	B-TERM	O
20	системы	I-TERM	I-TERM	I-TERM	O
21	на	O	O	O	O
22	основе	O	O	O	O
23	данных	B-TERM	B-TERM	B-TERM	O
24	о	I-TERM	I-TERM	I-TERM	O
25	заказах	I-TERM	I-TERM	I-TERM	O
26	документов	O	I-TERM	I-TERM	O
27	из	O	I-TERM	O	O
28	библиотечного	O	I-TERM	B-TERM	O
29	фонда	O	I-TERM	I-TERM	O
30	.	O	O	O	O
31	Приводится	O	O	O	O
32	сравнительный	B-TERM	B-TERM	B-TERM	O
33	экспериментальный	I-TERM	I-TERM	I-TERM	O
34	анализ	I-TERM	I-TERM	I-TERM	O
35	трех	O	O	O	O
36	методов	B-TERM	B-TERM	B-TERM	O
37	коллаборативной	I-TERM	I-TERM	I-TERM	O
38	фильтрации	I-TERM	I-TERM	I-TERM	O
39	:	O	O	O	O
40	на	O	O	O	O
41	основе	O	O	O	O
42	документов	B-TERM	B-TERM	B-TERM	O
43	,	O	O	O	O
44	на	O	O	O	O
45	основе	O	O	O	O
46	пользователей	B-TERM	B-TERM	B-TERM	O
47	и	O	O	O	O
48	на	O	O	O	O
49	основе	O	O	O	O
50	гибридного	B-TERM	B-TERM	B-TERM	O
51	метода	I-TERM	I-TERM	I-TERM	O
52	,	O	O	O	O
53	являющегося	O	O	O	O
54	комбинацией	O	O	O	O
55	первых	O	O	O	O
56	двух	O	O	O	O
57	методов	B-TERM	B-TERM	B-TERM	O
58	.	O	O	O	O
