id	token	Настя	Денис	Лена	tag
0	Об	O	O	O	O
1	опыте	O	O	O	O
2	миграции	B-TERM	B-TERM	B-TERM	O
3	приложений	I-TERM	I-TERM	I-TERM	O
4	на	O	O	O	O
5	свободно	O	O	O	O
6	распространяемое	O	O	O	O
7	программное	B-TERM	B-TERM	B-TERM	B-TERM
8	обеспечение	I-TERM	I-TERM	I-TERM	I-TERM
9	с	O	O	O	O
10	открытым	B-TERM	B-TERM	B-TERM	O
11	кодом	I-TERM	I-TERM	I-TERM	O
12	Важной	O	O	O	O
13	проблемой	O	O	O	O
14	современного	O	O	O	O
15	программирования	B-TERM	B-TERM	B-TERM	O
16	является	O	O	O	O
17	поддержка	O	O	O	O
18	и	O	O	O	O
19	сопровождение	O	O	O	O
20	наследственного	B-TERM	O	O	O
21	программного	I-TERM	B-TERM	B-TERM	B-TERM
22	обеспечения	I-TERM	I-TERM	I-TERM	I-TERM
23	(	O	O	O	O
24	ПО	O	B-TERM	B-TERM	O
25	).	B-TERM	O	O	O
26	Функциональность	B-TERM	B-TERM	B-TERM	O
27	приложений	I-TERM	I-TERM	I-TERM	O
28	,	O	O	O	O
29	написанных	O	O	O	O
30	в	O	O	O	O
31	старых	O	O	O	O
32	окружениях	B-TERM	B-TERM	B-TERM	O
33	,	O	O	O	O
34	ценна	O	O	O	O
35	и	O	O	O	O
36	по	O	O	O	O
37	-	O	O	O	O
38	прежнему	O	O	O	O
39	актуальна	O	O	O	O
40	.	O	O	O	O
41	Устаревшее	B-TERM	O	O	O
42	ПО	I-TERM	B-TERM	B-TERM	O
43	не	O	O	O	O
44	позволяет	O	O	O	O
45	использовать	O	O	O	O
46	их	O	O	O	O
47	на	O	O	O	O
48	современных	O	O	O	O
49	машинах	O	B-TERM	B-TERM	O
50	и	O	O	O	O
51	развивать	O	O	O	O
52	в	O	O	O	O
53	дальнейшем	O	O	O	O
54	.	O	O	O	O
55	В	O	O	O	O
56	работе	O	O	O	O
57	описан	O	O	O	O
58	опыт	O	O	O	O
59	миграции	B-TERM	B-TERM	B-TERM	O
60	на	O	O	O	O
61	примере	O	O	O	O
62	двух	O	O	O	O
63	приложений	O	B-TERM	B-TERM	O
64	–	O	O	O	O
65	Архива	B-TERM	O	O	O
66	академика	I-TERM	O	O	O
67	А	I-TERM	O	O	O
68	.	I-TERM	O	O	O
69	П	I-TERM	O	O	O
70	.	I-TERM	O	O	O
71	Ершова	I-TERM	O	O	O
72	и	O	O	O	O
73	системы	B-TERM	B-TERM	O	O
74	«	I-TERM	O	O	O
75	Библиотека	I-TERM	B-TERM	O	O
76	»,	I-TERM	O	O	O
77	которые	O	O	O	O
78	используются	O	O	O	O
79	в	O	O	O	O
80	ИСИ	O	O	O	O
81	СО	O	O	O	O
82	РАН	O	O	O	O
83	не	O	O	O	O
84	один	O	O	O	O
85	десяток	O	O	O	O
86	лет	O	O	O	O
87	.	O	O	O	O
88	В	O	O	O	O
89	качестве	O	O	O	O
90	платформы	O	O	B-TERM	O
91	с	O	O	O	O
92	открытым	B-TERM	B-TERM	B-TERM	O
93	кодом	I-TERM	I-TERM	I-TERM	O
94	для	O	O	O	O
95	создания	O	O	O	O
96	новых	O	O	O	O
97	приложений	B-TERM	O	B-TERM	O
98	был	O	O	O	O
99	выбран	O	O	O	O
100	CMF	B-TERM	B-TERM	B-TERM	O
101	Drupal	I-TERM	I-TERM	I-TERM	O
102	,	O	O	O	O
103	который	O	O	O	O
104	значительно	O	O	O	O
105	облегчает	O	O	O	O
106	разработку	O	O	O	O
107	и	O	O	O	O
108	перенос	O	O	O	O
109	модели	B-TERM	B-TERM	B-TERM	O
110	данных	I-TERM	I-TERM	I-TERM	O
111	.	O	O	O	O
112	Миграция	B-TERM	B-TERM	B-TERM	O
113	включает	O	O	O	O
114	в	O	O	O	O
115	себя	O	O	O	O
116	реинжиниринг	B-TERM	B-TERM	B-TERM	O
117	приложения	I-TERM	I-TERM	I-TERM	O
118	с	O	O	O	O
119	сохранением	O	O	O	O
120	бизнес	B-TERM	B-TERM	B-TERM	O
121	-	I-TERM	I-TERM	I-TERM	O
122	логики	I-TERM	I-TERM	I-TERM	O
123	,	O	O	O	O
124	модели	B-TERM	B-TERM	B-TERM	O
125	данных	I-TERM	I-TERM	I-TERM	O
126	,	O	O	O	O
127	а	O	O	O	O
128	также	O	O	O	O
129	перенос	O	O	O	O
130	самих	O	O	O	O
131	данных	O	B-TERM	B-TERM	O
132	.	O	O	O	O
